Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
24-Jul-2023,M25 Edwardsville,3,Hard,R32,864,794,0,,,Kareem Allaf,Adam Neff,3-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
10-Jul-2023,M25 Dallas,3,Hard,R32,,,0,,,Nicholas Godsick,Adam Neff,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M25 Tulsa,3,Hard,QF,896,491,0,WC,6,Alfredo Perez,Adam Neff,6-1 1-0 RET,,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M25 Tulsa,3,Hard,R16,896,,1,WC,Q,Adam Neff,Alejandro Moreno,4-6 7-6(6) 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M25 Tulsa,3,Hard,R32,896,376,1,WC,4,Adam Neff,Colin Sinclair,4-6 7-5 7-5,,,,,,,,,,,,,,,,,,,,,
12-Jun-2023,M25 Wichita,3,Hard,R32,890,1795,0,WC,Q,Nicaise Muamba,Adam Neff,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jun-2023,Tyler CH,3,Hard,QF,,333,0,WC,Q,Peter Gojowczyk,Adam Neff,3-6 6-3 6-2,0.82,14.5%,10.5%,55.3%,78.6%,47.1%,2/5,46.5%,29.1%,19.0%,20.0%,41.2%,1/3,155,11,8,76,42,34,15,1:30
5-Jun-2023,Tyler CH,3,Hard,R16,,353,1,WC,LL,Adam Neff,Christian Langmo,7-6(4) 7-6(6),0.98,18.3%,6.1%,51.2%,88.1%,60.0%,3/3,50.6%,25.0%,26.3%,13.5%,50.0%,0/0,158,15,5,82,42,40,20,1:39
5-Jun-2023,Tyler CH,3,Hard,R32,,272,1,WC,,Adam Neff,Joao Lucas Reis Da Silva,4-6 6-2 6-3,1.20,18.2%,2.3%,60.2%,73.6%,54.3%,4/6,53.8%,40.7%,4.9%,26.9%,65.5%,4/7,169,16,2,88,53,35,4,1:44
27-Jun-2022,M25 Dallas TX,3,Hard,R32,,1335,0,WC,WC,Tyler Zink,Adam Neff,7-6(3) 4-1 RET,,,,,,,,,,,,,,,,,,,,,
7-Feb-2022,Dallas,3,Hard,Q1,,182,0,WC,8,Thomas Fabbiano,Adam Neff,6-1 6-4,0.61,15.8%,12.3%,54.4%,74.2%,23.1%,8/12,41.1%,30.0%,6.0%,14.3%,66.7%,1/1,107,9,7,57,31,26,3,1:00
11-Jun-2018,USA F14,3,Clay,R32,,1230,0,Q,,Lucas Renard,Adam Neff,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
