Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
25-Jul-2022,Zug CH,3,Clay,Q1,948,322,0,WC,4,Viktor Durasovic,Adrian Bodmer,7-6(3) 7-6(5),0.62,12.6%,5.7%,51.7%,80.0%,54.8%,4/4,46.5%,20.0%,14.3%,13.3%,32.0%,0/0,157,11,5,87,45,42,10,1:46
18-Jul-2022,M15 Innsbruck,3,Clay,R16,951,621,0,Q,,Max Houkes,Adrian Bodmer,6-7(8) 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
18-Jul-2022,M15 Innsbruck,3,Clay,R32,951,723,1,Q,8,Adrian Bodmer,Cayetano March,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
27-Jun-2022,M15 Bern,3,Clay,R32,1093,664,0,WC,4,Mark Lajal,Adrian Bodmer,6-1 7-6(7),,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M15 Raanana,3,Hard,SF,1126,652,0,,2,Ben Patael,Adrian Bodmer,6-7(0) 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M15 Raanana,3,Hard,QF,1126,1910,1,,,Adrian Bodmer,Samir Banerjee,6-7(2) 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M15 Raanana,3,Hard,R16,1126,906,1,,,Adrian Bodmer,Rotem Sobol,6-3 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M15 Raanana,3,Hard,R32,1126,670,1,,3,Adrian Bodmer,Giles Hussey,6-1 6-7(5) 6-2,,,,,,,,,,,,,,,,,,,,,
13-Jun-2022,M15 Raanana,3,Hard,R16,1134,656,0,,3,Giles Hussey,Adrian Bodmer,6-4 6-7(4) 6-3,,,,,,,,,,,,,,,,,,,,,
13-Jun-2022,M15 Raanana,3,Hard,R32,1134,1992,1,,WC,Adrian Bodmer,Alon Elia,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
30-May-2022,M15 Heraklion,3,Hard,QF,1271,676,0,Q,4,Jerome Kym,Adrian Bodmer,7-6(5) 6-2,,,,,,,,,,,,,,,,,,,,,
30-May-2022,M15 Heraklion,3,Hard,R16,1271,711,1,Q,6,Adrian Bodmer,Saba Purtseladze,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
30-May-2022,M15 Heraklion,3,Hard,R32,1271,,1,Q,WC,Adrian Bodmer,Ioannis Xilas,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
9-May-2022,M15 Heraklion,3,Hard,SF,,687,0,Q,3,Dominik Palan,Adrian Bodmer,6-4 7-6(5),,,,,,,,,,,,,,,,,,,,,
