Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Jul-2023,Pozoblanco CH,3,Hard,R32,826,237,0,WC,8,Cem Ilkel,Adrian Menendez Maceiras,6-7(4) 6-4 7-6(2),0.94,3.4%,0.0%,56.0%,67.7%,58.8%,3/7,48.5%,33.9%,7.4%,27.4%,40.7%,3/7,237,4,0,116,65,51,9,3:31
3-Oct-2022,Alicante CH,3,Hard,Q1,400,352,0,,4,Stuart Parker,Adrian Menendez Maceiras,6-4 6-0,0.59,2.1%,8.5%,57.4%,55.6%,35.0%,2/7,38.8%,31.4%,17.6%,25.7%,43.8%,1/6,98,1,4,47,27,20,9,1:17
29-Aug-2022,Manacor CH,3,Hard,R16,407,654,0,Q,WC,Abedallah Shelbayh,Adrian Menendez Maceiras,6-1 4-1 RET,0.58,2.0%,2.0%,60.8%,45.2%,45.0%,4/8,38.9%,31.8%,20.5%,25.9%,41.2%,0/3,95,1,1,51,31,20,9,1:20
29-Aug-2022,Manacor CH,3,Hard,R32,407,831,1,Q,Q,Adrian Menendez Maceiras,Daniil Glinka,6-4 3-6 6-3,1.06,3.3%,0.0%,67.4%,72.6%,56.7%,5/6,51.1%,34.4%,17.8%,23.6%,51.4%,2/6,182,3,0,92,62,30,16,2:19
29-Aug-2022,Manacor CH,3,Hard,Q2,407,258,1,10,1,Adrian Menendez Maceiras,Skander Mansouri,4-6 6-2 7-6(4),1.25,0.0%,1.1%,70.5%,74.6%,57.1%,7/8,53.0%,38.1%,15.2%,26.6%,56.1%,2/9,200,0,1,95,67,28,16,2:44
29-Aug-2022,Manacor CH,3,Hard,Q1,407,1060,1,10,Alt,Adrian Menendez Maceiras,Ben Jones,6-2 6-2,2.02,2.4%,0.0%,76.2%,78.1%,70.0%,0/0,60.4%,48.1%,7.4%,47.1%,50.0%,4/9,96,1,0,42,32,10,4,1:06
22-Aug-2022,Prague CH,3,Clay,R32,410,881,0,Q,WC,Jakub Mensik,Adrian Menendez Maceiras,6-3 4-0 RET,0.65,2.0%,0.0%,60.0%,56.7%,35.0%,5/9,41.2%,34.0%,6.4%,30.0%,37.0%,0/0,97,1,0,50,30,20,3,1:26
22-Aug-2022,Prague CH,3,Clay,Q2,410,729,1,5,,Adrian Menendez Maceiras,Mircea Alexandru Jecan,6-2 6-4,1.39,5.9%,0.0%,66.7%,70.6%,52.9%,3/5,56.3%,49.2%,1.6%,43.6%,59.1%,5/13,112,3,0,51,34,17,1,1:28
22-Aug-2022,Prague CH,3,Clay,Q1,410,1564,1,5,Alt,Adrian Menendez Maceiras,Matthew William Donald,6-4 6-0,1.53,0.0%,0.0%,60.8%,58.1%,65.0%,2/4,60.4%,60.0%,0.0%,54.1%,72.2%,6/10,106,0,0,51,31,20,0,1:25
25-Jul-2022,El Espinar CH,3,Hard,R32,411,250,0,Q,,Nicola Kuhn,Adrian Menendez Maceiras,6-2 6-4,0.72,1.6%,1.6%,59.7%,56.8%,48.0%,1/5,43.8%,33.9%,11.9%,25.0%,44.4%,1/2,121,1,1,62,37,25,7,1:37
