Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
6-Aug-2018,Poland F6,3,Clay,R32,1695,1067,0,Q,,Tyler Mercier,Aitor Aramburu,6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
26-Mar-2018,San Luis Potosi CH,3,Clay,Q1,1681,341,0,WC,,Jose Rubin Statham,Aitor Aramburu,6-0 6-1,0.41,2.4%,7.3%,75.6%,45.2%,20.0%,7/12,32.1%,25.0%,12.5%,18.2%,33.3%,0/1,81,1,3,41,31,10,5,0:51
13-Nov-2017,Mexico F5,3,Hard,R16,,629,0,Q,,Manuel Sanchez,Aitor Aramburu,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
13-Nov-2017,Mexico F5,3,Hard,R32,,1505,1,Q,,Aitor Aramburu,Jose Daniel Bendeck,0-6 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
28-Aug-2017,Belgium F11,3,Clay,R32,,1020,0,Q,,Mateusz Terczynski,Aitor Aramburu,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
7-Mar-2016,Puebla CH,3,Hard,Q2,,648,0,WC,,Andres Molteni,Aitor Aramburu,6-2 6-0,0.45,0.0%,14.9%,48.9%,47.8%,29.2%,7/12,33.3%,27.5%,5.0%,8.3%,56.3%,0/0,87,0,7,47,23,24,2,0:51
7-Mar-2016,Puebla CH,3,Hard,Q1,,558,1,WC,,Aitor Aramburu,Federico Zeballos,6-3 6-3,1.19,0.0%,8.7%,69.6%,62.5%,42.9%,4/6,54.1%,51.9%,0.0%,44.7%,58.5%,5/15,148,0,6,69,48,21,0,1:34
15-Feb-2016,Morelos CH,3,Hard,Q1,,740,0,WC,,Ruan Roelofse,Aitor Aramburu,6-3 6-2,0.60,0.0%,6.0%,68.0%,55.9%,43.8%,4/8,40.4%,28.6%,14.3%,12.5%,44.0%,1/3,99,0,3,50,34,16,7,0:55
23-Feb-2015,Acapulco Q,3,Hard,Q1,,92,0,WC,3,Alejandro Gonzalez,Aitor Aramburu,6-0 6-2,0.32,0.0%,5.6%,83.3%,33.3%,0.0%,2/8,25.4%,22.9%,8.6%,14.3%,35.7%,1/4,71,0,2,36,30,6,3,0:44
25-Aug-2014,Mexico F10,3,Hard,R32,,,0,Q,Q,Jarryd Chaplin,Aitor Aramburu,7-6(5) 7-6(5),,,,,,,,,,,,,,,,,,,,,
29-Apr-2013,Mexico F6,3,Hard,R32,,780,0,WC,,Gianni Mina,Aitor Aramburu,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
