Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
25-Sep-1967,Madrid Real,3,Clay,R32,,,0,,,Nicola Pietrangeli,Alberto Esplugas,6-4 8-6,,,,,,,,,,,,,,,,,,,,,
18-May-1966,Barcelona Godo,3,Clay,R32,,,0,,,Fred Stolle,Alberto Esplugas,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
31-May-1965,Barcelona Godo,3,Clay,R32,,,0,,,Rafael Osuna,Alberto Esplugas,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
28-Dec-1964,Valencia,3,Clay,R16,,,0,,,William Alvarez,Alberto Esplugas,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
28-Dec-1964,Valencia,3,Clay,R32,,,1,,,Alberto Esplugas,Miguel Martinez,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
5-Oct-1964,Barcelona Natls,3,Clay,QF,,,0,,,Jose Maria Gisbert,Alberto Esplugas,12-10 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
5-Oct-1964,Barcelona Natls,3,Clay,R16,,,1,,,Alberto Esplugas,Antonio Solana,6-2 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
1-Jun-1964,Barcelona Godo,3,Clay,QF,,,0,,,Roy Emerson,Alberto Esplugas,6-3 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
1-Jun-1964,Barcelona Godo,3,Clay,R16,,,1,,,Alberto Esplugas,Jaime Bartroli,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
1-Jun-1964,Barcelona Godo,3,Clay,R32,,,1,,,Alberto Esplugas,Jaidip Mukerjea,W/O,,,,,,,,,,,,,,,,,,,,,
8-Oct-1963,Spanish National Championships,3,Clay,R16,,,0,,,Jose Luis Arilla,Alberto Esplugas,6-3 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
5-Oct-1963,Barcelona Fall,3,,R32,,,0,,,Jose Edison Mandarino,Alberto Esplugas,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
3-Jun-1963,Barcelona Godo,3,Clay,R32,,,0,,,Eduardo Soriano,Alberto Esplugas,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
27-Aug-1962,San Sebastian,3,Clay,R16,,,0,,,Ramanathan Krishnan,Alberto Esplugas,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
15-Aug-1962,Vigo,3,,R16,,,0,,,Eduardo Soriano,Alberto Esplugas,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
2-Oct-1961,Barcelona Nationals,3,Clay,R16,,,0,,,Antonio Martinez,Alberto Esplugas,6-2 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
2-Oct-1961,Barcelona Nationals,3,Clay,R32,,,1,,,Alberto Esplugas,Jorge Sindreu,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
6-Sep-1960,San Sebastian,3,Clay,R16,,,0,,,Manuel Santana,Alberto Esplugas,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
