Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Jul-2017,Spain F22,3,Clay,R32,1196,1162,0,WC,,Javier Barranco Cosano,Alejandro Artunedo,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Spain F20,3,Clay,R16,1267,235,0,Q,1,Ricardo Ojeda Lara,Alejandro Artunedo,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Spain F20,3,Clay,R32,1267,,1,Q,Q,Alejandro Artunedo,Alejandro Garcia,7-6(4) 6-1,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Spain F17,3,Hard,R32,1231,594,0,WC,,Jaume Pla Malfeito,Alejandro Artunedo,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
5-Jun-2017,Spain F16,3,Clay,R32,1243,211,0,WC,1,Attila Balazs,Alejandro Artunedo,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
3-Apr-2017,Italy F7,3,Clay,R32,1241,261,0,Q,6,Yannick Maden,Alejandro Artunedo,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
27-Mar-2017,Italy F6,3,Clay,R32,1243,210,0,Q,3,Lorenzo Giustino,Alejandro Artunedo,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
28-Nov-2016,Spain F39,3,Hard,R32,1268,2068,0,,WC,Sergi Perez Contri,Alejandro Artunedo,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
7-Nov-2016,Spain F36,3,Hard,R16,1321,400,0,,5,Pablo Vivero Gonzalez,Alejandro Artunedo,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
7-Nov-2016,Spain F36,3,Hard,R32,1321,2043,1,,WC,Alejandro Artunedo,Alexandru Vasile Manole,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
24-Oct-2016,Spain F35,3,Clay,R32,1314,534,0,WC,,Ivan Gakhov,Alejandro Artunedo,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
17-Oct-2016,Spain F34,3,Clay,R32,1303,,0,WC,,Jaime Fermosell,Alejandro Artunedo,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
10-Oct-2016,Spain F33,3,Hard,R32,1301,361,0,Q,1,Ricardo Ojeda Lara,Alejandro Artunedo,7-6(3) 7-6(5),,,,,,,,,,,,,,,,,,,,,
19-Sep-2016,Spain F31,3,Clay,R16,1399,375,0,Q,3,Jaume Munar,Alejandro Artunedo,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
19-Sep-2016,Spain F31,3,Clay,R32,1399,844,1,Q,,Alejandro Artunedo,Jean Marc Werner,2-6 7-6(5) 2-0 RET,,,,,,,,,,,,,,,,,,,,,
