Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
14-Feb-2022,M15 Monastir,3,Hard,R32,882,917,0,,,Viktor Jovic,Alessandro Ingarao,6-3 RET,,,,,,,,,,,,,,,,,,,,,
24-Jan-2022,M15 Monastir,3,Hard,R32,875,1040,0,,PR,Andrea Guerrieri,Alessandro Ingarao,6-1 7-6(6),,,,,,,,,,,,,,,,,,,,,
17-Jan-2022,M15 Monastir,3,Hard,R32,875,908,0,,Q,Raphael Collignon,Alessandro Ingarao,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
8-Nov-2021,M15 Benicarlo,3,Clay,R32,871,588,0,,,Edoardo Lavagno,Alessandro Ingarao,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
1-Nov-2021,M15 Torello,3,Hard,R32,873,1474,0,8,WC,Mario Mansilla Diez,Alessandro Ingarao,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
20-Sep-2021,M15 Ulcinj,3,Clay,R32,836,509,0,,1,Titouan Droguet,Alessandro Ingarao,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
13-Sep-2021,M15 Ulcinj,3,Clay,QF,828,598,0,,3,Alejo Lorenzo Lingua Lavallen,Alessandro Ingarao,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
13-Sep-2021,M15 Ulcinj,3,Clay,R16,828,1093,1,,WC,Alessandro Ingarao,Hamid Reza Nadaf,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
13-Sep-2021,M15 Ulcinj,3,Clay,R32,828,836,1,,,Alessandro Ingarao,Aziz Kijametovic,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
23-Aug-2021,M15 Huy,3,Clay,R32,832,1469,0,,,Guy Den Ouden,Alessandro Ingarao,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
16-Aug-2021,M15 Pescara,3,Clay,R16,829,498,0,,1,Alexis Gautier,Alessandro Ingarao,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
16-Aug-2021,M15 Pescara,3,Clay,R32,829,1757,1,,,Alessandro Ingarao,Biagio Gramaticopolo,6-0 7-5,,,,,,,,,,,,,,,,,,,,,
2-Aug-2021,M15 Telavi,3,Clay,R16,949,798,0,,6,Oleg Prihodko,Alessandro Ingarao,6-0 7-5,,,,,,,,,,,,,,,,,,,,,
2-Aug-2021,M15 Telavi,3,Clay,R32,949,818,1,,,Alessandro Ingarao,Yurii Dzhavakian,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jul-2021,M25 Telavi,3,Clay,SF,928,516,0,,2,Alexandar Lazarov,Alessandro Ingarao,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jul-2021,M25 Telavi,3,Clay,QF,928,577,1,,4,Alessandro Ingarao,Yanki Erel,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
26-Jul-2021,M25 Telavi,3,Clay,R16,928,587,1,,5,Alessandro Ingarao,Michal Dembek,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
26-Jul-2021,M25 Telavi,3,Clay,R32,928,1734,1,,WC,Alessandro Ingarao,Saba Purtseladze,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
