Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
26-Jul-2021,M25 Telavi,3,Clay,R32,1658,587,0,Q,5,Michal Dembek,Alexander Boborykin,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
31-May-2021,M15 Shymkent,3,Clay,R32,1589,526,0,Q,5,Vladyslav Manafov,Alexander Boborykin,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
17-May-2021,M15 Tbilisi,3,Hard,R32,1558,,0,Q,WC,Zura Tkemaladze,Alexander Boborykin,6-3 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
29-Jul-2019,M15 Tabarka,3,Clay,R16,,,0,,,Fermin Tenti,Alexander Boborykin,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
29-Jul-2019,M15 Tabarka,3,Clay,R32,,,1,,WC,Alexander Boborykin,Kevin Portmann,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
22-Jul-2019,M15 Tabarka,3,Clay,R32,,,0,,,Giovanni Calvano,Alexander Boborykin,4-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
29-Apr-2019,M15 Tbilisi,3,Hard,R32,,,0,,,Aliaksandr Bulitski,Alexander Boborykin,7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,
15-Apr-2019,M25 Shymkent,3,Clay,R16,,,0,,,Alexander Vasilenko,Alexander Boborykin,4-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
15-Apr-2019,M25 Shymkent,3,Clay,R32,,,1,,Q,Alexander Boborykin,Yan Bondarevskiy,2-6 7-6(5) 6-3,,,,,,,,,,,,,,,,,,,,,
10-Dec-2018,Turkey F40,3,Clay,R32,952,630,0,,,Dragos Nicolae Madaras,Alexander Boborykin,1-6 6-4 6-0,,,,,,,,,,,,,,,,,,,,,
3-Dec-2018,Turkey F39,3,Clay,QF,948,406,0,,2,Pavel Kotov,Alexander Boborykin,2-6 6-1 7-6(1),,,,,,,,,,,,,,,,,,,,,
3-Dec-2018,Turkey F39,3,Clay,R16,948,531,1,,,Alexander Boborykin,Ronald Slobodchikov,7-6(4) 2-6 7-6(4),,,,,,,,,,,,,,,,,,,,,
3-Dec-2018,Turkey F39,3,Clay,R32,948,,1,,Q,Alexander Boborykin,Viktor Nikitin,7-6(4) 6-1,,,,,,,,,,,,,,,,,,,,,
26-Nov-2018,Turkey F38,3,Clay,R32,952,613,0,,6,Dejan Katic,Alexander Boborykin,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
19-Nov-2018,Egypt F28,3,Hard,R32,946,777,0,,,Ryan Nijboer,Alexander Boborykin,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Russia F8,3,Clay,QF,959,,0,,WC,Savriyan Danilov,Alexander Boborykin,6-3 RET,,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Russia F8,3,Clay,R16,959,836,1,,,Alexander Boborykin,Maxim Ratniuk,6-1 7-6(4),,,,,,,,,,,,,,,,,,,,,
27-Aug-2018,Russia F8,3,Clay,R32,959,1953,1,,Q,Alexander Boborykin,Philipp Klimov,6-7(4) 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
20-Aug-2018,Russia F7,3,Clay,R32,949,939,0,,,Dimitriy Voronin,Alexander Boborykin,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
13-Aug-2018,Russia F6,3,Clay,R32,971,734,0,,,Bogdan Bobrov,Alexander Boborykin,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Russia F5,3,Clay,R16,974,825,0,,8,Maxim Ratniuk,Alexander Boborykin,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
6-Aug-2018,Russia F5,3,Clay,R32,974,983,1,,,Alexander Boborykin,Dimitriy Voronin,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
30-Jul-2018,Russia F4,3,Clay,R32,974,609,0,,,Kristian Lozan,Alexander Boborykin,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
9-Jul-2018,Georgia F1,3,Clay,R32,973,818,0,LL,,Oleg Prihodko,Alexander Boborykin,6-3 3-2 RET,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,Tunisia F24,3,Clay,R16,1003,1177,0,,Q,Juan Pablo Grassi Mazzuchi,Alexander Boborykin,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,Tunisia F24,3,Clay,R32,1003,803,1,,,Alexander Boborykin,Timur Kiuamov,6-4 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Turkey F19,3,Clay,SF,1398,353,0,,,Marsel Ilhan,Alexander Boborykin,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Turkey F19,3,Clay,QF,1398,507,1,,,Alexander Boborykin,Tomas Lipovsek Puches,6-0 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Turkey F19,3,Clay,R16,1398,994,1,,,Alexander Boborykin,Florian Fallert,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
14-May-2018,Turkey F19,3,Clay,R32,1398,665,1,,6,Alexander Boborykin,Antonio Massara,6-4 6-7(6) 7-5,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,QF,1393,465,0,WC,4,Mate Delic,Alexander Boborykin,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,R16,1393,1762,1,WC,Q,Alexander Boborykin,Razvan Marius Codescu,4-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Turkey F18,3,Clay,R32,1393,,1,WC,,Alexander Boborykin,Max Houkes,6-4 5-7 6-4,,,,,,,,,,,,,,,,,,,,,
23-Apr-2018,Turkey F16,3,Clay,R32,1383,415,0,,2,Marc Sieber,Alexander Boborykin,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
12-Mar-2018,Russia F3,3,Hard,R16,,313,0,WC,,Teymuraz Gabashvili,Alexander Boborykin,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
12-Mar-2018,Russia F3,3,Hard,R32,,,1,WC,,Alexander Boborykin,Savriyan Danilov,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
5-Mar-2018,Russia F2,3,Hard,QF,,663,0,,,Shalva Dzhanashia,Alexander Boborykin,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
5-Mar-2018,Russia F2,3,Hard,R16,,1433,1,,Q,Alexander Boborykin,Petr Arkhipov,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
5-Mar-2018,Russia F2,3,Hard,R32,,463,1,,4,Alexander Boborykin,Roman Safiullin,6-7(4) 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
23-Oct-2017,Turkey F40,3,Clay,R32,,839,0,,,Duje Kekez,Alexander Boborykin,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
14-Aug-2017,Russia F7,3,Clay,R32,,633,0,Q,6,Alexander Zhurbin,Alexander Boborykin,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
7-Aug-2017,Russia F6,3,Clay,R32,,618,0,Q,3,Ilya Vasilyev,Alexander Boborykin,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
31-Jul-2017,Russia F5,3,Hard,R32,,,0,WC,Q,Matvey Minin,Alexander Boborykin,7-6(8) 6-4,,,,,,,,,,,,,,,,,,,,,
24-Jul-2017,Russia F4,3,Hard,R32,,687,0,WC,4,Alexander Lobkov,Alexander Boborykin,3-6 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Russia F3,3,Hard,R32,,845,0,WC,,Maxim Ratniuk,Alexander Boborykin,6-7(5) 7-6(0) 1-0 RET,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Russia F2,3,Hard,R32,,436,0,WC,1,Evgeny Tyurnev,Alexander Boborykin,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
3-Oct-2016,Kazakhstan F7,3,Clay,R32,1304,1449,0,,,Timur Kiuamov,Alexander Boborykin,6-3 RET,,,,,,,,,,,,,,,,,,,,,
30-May-2016,Uzbekistan F4,3,Hard,R32,949,1024,0,,,Denis Yevseyev,Alexander Boborykin,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
23-May-2016,Uzbekistan F3,3,Hard,R32,949,557,0,,7,Christopher Rungkat,Alexander Boborykin,6-2 5-1 RET,,,,,,,,,,,,,,,,,,,,,
14-Mar-2016,Kazan CH,3,Hard,R32,930,162,0,WC,6,Norbert Gombos,Alexander Boborykin,6-4 7-6(3),0.90,4.2%,2.8%,62.5%,57.8%,51.9%,4/8,47.0%,40.2%,5.4%,32.0%,50.0%,3/15,164,3,2,72,45,27,5,1:43
15-Feb-2016,Israel F2,3,Hard,QF,962,412,0,Q,4,Antal Van Der Duim,Alexander Boborykin,4-2 RET,,,,,,,,,,,,,,,,,,,,,
15-Feb-2016,Israel F2,3,Hard,R16,962,550,1,Q,,Alexander Boborykin,Evgeny Elistratov,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
15-Feb-2016,Israel F2,3,Hard,R32,962,900,1,Q,Q,Alexander Boborykin,Paul Monteban,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
2-Nov-2015,Turkey F44,3,Clay,R32,968,300,0,,1,Aleksandre Metreveli,Alexander Boborykin,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
26-Oct-2015,Turkey F43,3,Hard,QF,973,442,0,,2,Cem Ilkel,Alexander Boborykin,3-6 7-6(3) 6-2,,,,,,,,,,,,,,,,,,,,,
26-Oct-2015,Turkey F43,3,Hard,R16,973,994,1,,,Alexander Boborykin,Gleb Alekseenko,W/O,,,,,,,,,,,,,,,,,,,,,
26-Oct-2015,Turkey F43,3,Hard,R32,973,604,1,,5,Alexander Boborykin,Altug Celikbilek,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
12-Oct-2015,Kazakhstan F6,3,Clay,R32,971,449,0,,4,Ivan Gakhov,Alexander Boborykin,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
14-Sep-2015,Turkey F37,3,Hard,F,1438,403,0,Q,1,Tom Jomby,Alexander Boborykin,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
14-Sep-2015,Turkey F37,3,Hard,SF,1438,476,1,Q,2,Alexander Boborykin,Peter Heller,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
14-Sep-2015,Turkey F37,3,Hard,QF,1438,1045,1,Q,,Alexander Boborykin,Baptiste Crepatte,6-7(2) 7-6(6) 6-0,,,,,,,,,,,,,,,,,,,,,
14-Sep-2015,Turkey F37,3,Hard,R16,1438,1056,1,Q,,Alexander Boborykin,Sarp Agabigun,3-6 7-5 6-1,,,,,,,,,,,,,,,,,,,,,
14-Sep-2015,Turkey F37,3,Hard,R32,1438,482,1,Q,4,Alexander Boborykin,Romain Barbosa,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Turkey F36,3,Hard,R32,1469,1093,0,,,Lucas Catarina,Alexander Boborykin,6-1 7-6(2),,,,,,,,,,,,,,,,,,,,,
10-Aug-2015,Russia F6,3,Clay,R32,1276,594,0,Q,,Joao Pedro Sorgi,Alexander Boborykin,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
