Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
18-Sep-2017,St. Petersburg,3,Hard,Q1,373,108,0,,1,Radu Albot,Alexander Kudryavtsev,7-5 7-5,0.92,7.1%,4.1%,52.0%,52.9%,48.9%,11/17,48.3%,45.0%,2.5%,42.6%,48.5%,4/8,178,7,4,98,51,47,2,1:56
11-Sep-2017,Shanghai CH,3,Hard,R32,365,322,0,,,Shuichi Sekiguchi,Alexander Kudryavtsev,4-6 6-4 6-2,0.83,4.5%,3.6%,52.7%,63.8%,53.8%,8/11,47.8%,34.1%,12.1%,29.4%,47.8%,1/7,201,5,4,110,58,52,11,2:11
4-Sep-2017,Zhangjiagang CH,3,Hard,R16,363,221,0,,7,Di Wu,Alexander Kudryavtsev,6-4 6-3,0.61,5.5%,1.8%,56.4%,83.9%,33.3%,5/7,42.3%,23.2%,3.6%,15.4%,41.2%,0/3,111,3,1,55,31,24,2,1:04
4-Sep-2017,Zhangjiagang CH,3,Hard,R32,363,426,1,,Q,Alexander Kudryavtsev,Marinko Matosevic,7-6(4) 6-7(5) 6-2,1.14,6.9%,0.9%,58.6%,75.0%,56.3%,7/8,52.1%,37.5%,4.2%,37.2%,38.1%,3/13,236,8,1,116,68,48,5,2:48
7-Aug-2017,Jinan CH,3,Hard,R16,332,204,0,,7,Soon Woo Kwon,Alexander Kudryavtsev,6-2 3-6 7-6(5),0.89,10.2%,2.8%,51.9%,75.0%,51.9%,8/10,48.8%,32.0%,18.6%,22.6%,48.6%,1/9,205,11,3,108,56,52,18,2:17
7-Aug-2017,Jinan CH,3,Hard,R32,332,436,1,,,Alexander Kudryavtsev,Sasi Kumar Mukund,6-3 6-2,1.84,20.0%,0.0%,57.8%,69.2%,78.9%,2/3,60.0%,49.1%,3.6%,40.0%,60.0%,5/9,100,9,0,45,26,19,2,1:06
31-Jul-2017,Chengdu CH,3,Hard,R32,329,257,0,,,Yusuke Takahashi,Alexander Kudryavtsev,6-4 6-2,0.68,5.7%,9.4%,49.1%,73.1%,44.4%,1/4,42.7%,28.1%,10.5%,12.1%,50.0%,0/0,110,3,5,53,26,27,6,1:14
17-Jul-2017,Astana CH,3,Hard,R16,327,92,0,,1,Evgeny Donskoy,Alexander Kudryavtsev,7-6(8) 6-4,0.64,10.5%,2.6%,48.7%,75.7%,51.3%,6/8,45.0%,23.4%,9.4%,7.7%,48.0%,1/2,140,8,2,76,37,39,6,1:28
17-Jul-2017,Astana CH,3,Hard,R32,327,400,1,,Q,Alexander Kudryavtsev,Evgeny Tyurnev,6-7(2) 6-0 6-4,1.36,2.3%,3.4%,43.7%,76.3%,59.2%,1/3,55.4%,45.4%,10.3%,23.5%,69.6%,6/13,184,2,3,87,38,49,10,1:46
3-Jul-2017,Recanati CH,3,Hard,R32,286,184,0,,,Ramkumar Ramanathan,Alexander Kudryavtsev,4-6 6-2 6-3,0.66,9.6%,9.6%,44.7%,64.3%,55.8%,5/8,45.0%,26.7%,12.0%,22.0%,36.0%,1/4,169,9,9,94,42,52,9,1:37
26-Jun-2017,Antalya,3,Grass,Q1,281,257,0,,3,Lloyd George Muirhead Harris,Alexander Kudryavtsev,7-6(5) 7-6(5),0.99,9.8%,2.4%,57.3%,83.0%,60.0%,5/5,48.8%,26.7%,24.4%,16.7%,41.7%,0/7,172,8,2,82,47,35,22,1:42
19-Jun-2017,Fergana CH,3,Hard,R32,276,330,0,6,,Hubert Hurkacz,Alexander Kudryavtsev,4-6 6-4 7-6(4),0.98,10.3%,6.0%,53.0%,75.8%,50.9%,7/9,50.5%,35.2%,16.2%,27.0%,47.6%,2/3,222,12,7,117,62,55,17,2:02
22-May-2017,Shymkent CH,3,Clay,R32,266,347,0,8,,Ivan Nedelko,Alexander Kudryavtsev,4-6 6-0 6-1,0.70,2.5%,7.6%,45.6%,66.7%,37.2%,6/12,43.2%,34.8%,10.1%,25.0%,48.3%,2/4,148,2,6,79,36,43,7,1:44
15-May-2017,Samarkand CH,3,Clay,R32,263,236,0,,,Aleksandr Nedovyesov,Alexander Kudryavtsev,6-4 6-2,0.53,1.8%,8.8%,49.1%,60.7%,41.4%,3/7,39.8%,26.1%,13.0%,21.4%,33.3%,1/2,103,1,5,57,28,29,6,1:02
8-May-2017,Karshi CH,3,Hard,QF,236,203,0,,5,Dmitry Popko,Alexander Kudryavtsev,6-3 6-4,0.91,3.6%,1.8%,56.4%,64.5%,58.3%,4/7,47.1%,34.8%,12.1%,30.3%,39.4%,1/6,121,2,1,55,31,24,8,1:11
8-May-2017,Karshi CH,3,Hard,R16,236,288,1,,,Alexander Kudryavtsev,Marek Jaloviec,6-2 6-1,2.00,12.2%,7.3%,68.3%,82.1%,53.8%,0/0,61.9%,53.6%,3.6%,50.0%,60.0%,5/11,97,5,3,41,28,13,2,0:55
8-May-2017,Karshi CH,3,Hard,R32,236,151,1,,2,Alexander Kudryavtsev,Teymuraz Gabashvili,6-3 5-7 6-4,1.08,13.3%,1.1%,60.0%,77.8%,52.8%,2/4,50.8%,34.7%,13.7%,25.0%,51.4%,3/7,185,12,1,90,54,36,13,1:59
24-Apr-2017,Anning CH,3,Clay,R32,231,119,0,,4,Andrej Martin,Alexander Kudryavtsev,6-1 3-6 6-1,0.49,3.2%,6.5%,74.2%,69.6%,25.0%,4/8,39.7%,20.3%,5.1%,17.9%,25.0%,1/4,121,2,4,62,46,16,3,1:19
