Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
24-Oct-2005,St. Petersburg,3,Carpet,R32,241,205,0,,Q,Sergiy Stakhovsky,Alexander Popp,6-3 4-6 6-4,0.78,1.1%,8.0%,47.1%,63.4%,54.3%,7/11,45.4%,32.2%,5.7%,22.2%,48.5%,3/5,174,1,7,87,41,46,5,1:40
10-Oct-2005,Moscow,3,Carpet,R32,254,37,0,,6,Nicolas Kiefer,Alexander Popp,6-4 6-1,0.70,1.9%,7.4%,51.9%,50.0%,50.0%,3/7,42.6%,35.2%,1.9%,26.7%,45.8%,1/2,108,1,4,54,28,26,1,1:23
3-Oct-2005,Tokyo,3,Hard,R32,276,21,0,,3,Robby Ginepri,Alexander Popp,6-4 6-0,0.38,8.2%,4.1%,63.3%,54.8%,50.0%,4/8,37.5%,17.9%,15.4%,20.0%,14.3%,0/0,88,4,2,49,31,18,6,0:50
3-Oct-2005,Tokyo,3,Hard,R64,276,274,1,,WC,Alexander Popp,Gouichi Motomura,6-2 6-4,1.59,14.5%,1.8%,65.5%,83.3%,52.6%,0/0,58.3%,43.4%,1.9%,34.8%,50.0%,3/3,108,8,1,55,36,19,1,1:10
26-Sep-2005,Ho Chi Minh City,3,Carpet,R32,283,14,0,,2,Thomas Johansson,Alexander Popp,4-6 6-4 6-3,0.95,6.8%,4.1%,64.4%,78.7%,65.4%,4/6,48.1%,24.7%,8.6%,11.6%,39.5%,1/2,154,5,3,73,47,26,7,1:41
29-Aug-2005,US Open,5,Hard,R128,294,108,0,,LL,Bjorn Phau,Alexander Popp,6-1 6-3 6-3,0.52,6.0%,7.2%,57.8%,50.0%,60.0%,4/10,40.7%,23.9%,9.0%,12.0%,31.0%,0/1,150,5,6,83,48,35,6,1:26
1-Aug-2005,Washington,3,Hard,R32,286,35,0,,8,Sebastien Grosjean,Alexander Popp,6-2 6-3,0.65,2.3%,6.8%,59.1%,76.9%,33.3%,2/5,41.2%,26.4%,9.4%,13.6%,35.5%,0/5,97,1,3,44,26,18,5,1:07
1-Aug-2005,Washington,3,Hard,R64,286,105,1,,,Alexander Popp,Bjorn Phau,7-6(4) 2-6 6-3,0.92,6.2%,9.3%,60.8%,72.9%,44.7%,8/12,48.9%,35.2%,5.5%,37.0%,33.3%,3/9,188,6,9,97,59,38,5,1:51
25-Jul-2005,Granby CH,3,Hard,R32,288,363,0,,,Rohan Bopanna,Alexander Popp,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
18-Jul-2005,Indianapolis,3,Hard,R64,299,124,0,,,Antony Dupuis,Alexander Popp,7-5 6-1,0.62,3.4%,10.3%,53.4%,71.0%,33.3%,6/10,41.6%,29.1%,5.5%,25.8%,33.3%,1/4,113,2,6,58,31,27,3,1:12
