Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
3-Apr-1998,Davis Cup G2 QF: HAI vs CUB,3,Hard,RR,839,519,0,,,Ronald Agenor,Armando Perez,6-2 6-2 6-0,,,,,,,,,,,,,,,,,,,,,
3-Apr-1998,Davis Cup G2 QF: HAI vs CUB,3,Hard,RR,839,398,0,,,Bertrand Madsen,Armando Perez,6-3 4-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
5-Apr-1996,Davis Cup G2 SF: CUB vs ECU,3,Hard,RR,400,99,0,,,Nicolas Lapentti,Armando Perez,6-1 6-0 6-2,,,,,,,,,,,,,,,,,,,,,
9-Feb-1996,Davis Cup G2 QF: CUB vs PAR,3,Hard,RR,423,772,0,,,Ricardo Mena,Armando Perez,1-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
9-Feb-1996,Davis Cup G2 QF: CUB vs PAR,3,Hard,RR,423,313,0,,,Ramon Delgado,Armando Perez,7-6(5) 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
31-Mar-1995,Davis Cup G2 PO: BOL vs CUB,3,Clay,RR,635,UNR,1,,,Armando Perez,Carlos Martin Navarro Vergara,6-4 5-7 6-2,,,,,,,,,,,,,,,,,,,,,
31-Mar-1995,Davis Cup G2 PO: BOL vs CUB,3,Clay,RR,635,UNR,1,,,Armando Perez,Jose Medrano,6-7(3) 6-4 6-2 1-6 6-3,,,,,,,,,,,,,,,,,,,,,
3-Feb-1995,Davis Cup G2 QF: ECU vs CUB,3,Clay,RR,634,627,0,,,Nicolas Lapentti,Armando Perez,6-1 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
3-Feb-1995,Davis Cup G2 QF: ECU vs CUB,3,Clay,RR,634,247,1,,,Armando Perez,Luis Adrian Morejon,2-6 2-6 6-2 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
25-Mar-1994,Davis Cup G1 PO: MEX vs CUB,3,Clay,RR,761,174,0,,,Luis Herrera,Armando Perez,4-6 6-2 6-4 6-0,,,,,,,,,,,,,,,,,,,,,
