Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
25-Jun-2012,Wimbledon Q,3,Grass,Q1,143,160,0,23,,Kenny De Schepper,Arnaud Clement,6-7(8) 7-6(5) 6-3,,,,,,,,,,,,,,,,,,,,,
27-May-2012,Roland Garros,5,Clay,R64,139,109,0,WC,LL,David Goffin,Arnaud Clement,3-6 7-6(2) 0-6 6-2 6-1,0.93,5.7%,2.5%,59.9%,60.6%,42.9%,15/23,49.1%,43.2%,8.5%,26.4%,56.9%,7/14,275,9,4,157,94,63,10,3:35
27-May-2012,Roland Garros,5,Clay,R128,139,46,1,WC,,Arnaud Clement,Alex Bogomolov Jr,6-2 3-6 4-6 7-6(2) 5-4 RET,1.11,11.0%,6.1%,56.4%,82.6%,42.3%,2/7,51.5%,38.9%,4.0%,34.4%,51.1%,4/18,338,18,10,163,92,71,7,4:19
14-May-2012,Bordeaux CH,3,Clay,R16,142,162,0,,Q,Teymuraz Gabashvili,Arnaud Clement,W/O,,,,,,,,,,,,,,,,,,,,,
14-May-2012,Bordeaux CH,3,Clay,R32,142,144,1,,,Arnaud Clement,Rik De Voest,7-6(2) 6-3,1.33,1.5%,1.5%,70.6%,72.9%,60.0%,2/3,53.6%,41.0%,7.2%,34.7%,50.0%,2/10,151,1,1,68,48,20,6,1:42
6-May-2012,Madrid Masters Q,3,Clay,Q1,138,137,0,,14,Daniel Gimeno Traver,Arnaud Clement,6-0 6-1,0.37,0.0%,3.2%,47.6%,43.3%,39.4%,8/14,34.7%,21.9%,25.0%,5.6%,42.9%,0/0,95,0,2,63,30,33,8,1:03
15-Apr-2012,Monte Carlo Masters Q,3,Clay,Q1,137,68,0,,2,Mikhail Kukushkin,Arnaud Clement,6-2 6-2,0.74,6.9%,1.7%,58.6%,50.0%,54.2%,4/8,43.6%,35.6%,8.5%,35.7%,35.3%,0/2,117,4,1,58,34,24,5,1:20
27-Mar-2012,Le Gosier CH,3,Hard,R32,153,291,0,,Q,Daniel Evans,Arnaud Clement,6-4 6-4,0.87,6.3%,1.6%,56.3%,63.9%,39.3%,2/6,46.1%,40.9%,9.1%,40.0%,42.1%,2/6,152,4,1,64,36,28,8,1:56
21-Mar-2012,Miami Masters,3,Hard,R64,153,26,0,Q,26,Milos Raonic,Arnaud Clement,7-6(7) 6-2,0.66,1.2%,1.2%,49.4%,61.9%,51.2%,6/9,45.1%,28.8%,28.8%,20.0%,41.7%,1/1,144,1,1,85,42,43,17,1:44
21-Mar-2012,Miami Masters,3,Hard,R128,153,61,1,Q,,Arnaud Clement,Dudi Sela,6-3 6-3,1.27,5.7%,2.9%,54.3%,65.8%,65.6%,6/6,54.6%,43.7%,7.0%,31.8%,63.0%,3/9,141,4,2,70,38,32,5,1:36
21-Mar-2012,Miami Masters Q,3,Hard,Q2,153,119,1,,22,Arnaud Clement,Paul Capdeville,7-5 6-1,1.53,5.1%,1.7%,50.8%,63.3%,69.0%,1/3,59.1%,51.8%,1.8%,44.4%,65.0%,5/7,115,3,1,59,30,29,1,1:23
21-Mar-2012,Miami Masters Q,3,Hard,Q1,153,98,1,,8,Arnaud Clement,Igor Andreev,6-7(8) 6-4 6-2,1.43,3.1%,2.0%,66.3%,81.5%,48.5%,6/7,55.1%,42.2%,5.2%,34.7%,54.5%,4/16,214,3,2,98,65,33,6,2:37
27-Feb-2012,Cherbourg CH,3,Hard,QF,157,136,0,7,2,Thomas Schoorel,Arnaud Clement,7-5 6-3,0.59,1.4%,2.8%,63.9%,69.6%,30.8%,7/11,43.2%,26.4%,18.9%,9.7%,50.0%,1/1,125,1,2,72,46,26,10,1:32
27-Feb-2012,Cherbourg CH,3,Hard,R16,157,196,1,7,,Arnaud Clement,Martin Fischer,7-5 7-5,1.17,2.7%,2.7%,49.3%,66.7%,56.8%,3/6,52.9%,45.0%,3.8%,35.6%,57.1%,5/9,153,2,2,73,36,37,3,1:50
27-Feb-2012,Cherbourg CH,3,Hard,R32,157,205,1,7,,Arnaud Clement,Jerzy Janowicz,4-6 6-3 6-4,1.04,5.0%,5.0%,65.0%,75.4%,37.1%,6/9,50.8%,39.4%,6.1%,31.1%,52.6%,4/17,199,5,5,100,65,35,6,2:19
20-Feb-2012,Marseille,3,Hard,R32,155,84,0,WC,,Nicolas Mahut,Arnaud Clement,6-3 6-4,0.81,8.0%,4.0%,60.0%,66.7%,50.0%,2/5,44.6%,32.3%,19.4%,21.4%,55.0%,1/4,112,4,2,50,30,20,12,1:22
13-Feb-2012,Bergamo CH,3,Hard,SF,171,163,0,,,Alexander Kudryavtsev,Arnaud Clement,6-2 7-5,0.54,3.1%,4.7%,60.9%,76.9%,28.0%,4/7,41.9%,22.6%,17.0%,15.6%,33.3%,0/1,117,2,3,64,39,25,9,1:16
13-Feb-2012,Bergamo CH,3,Hard,QF,171,194,1,,,Arnaud Clement,Konstantin Kravchuk,6-4 6-2,1.29,6.3%,1.6%,60.9%,71.8%,52.0%,3/4,55.9%,46.3%,11.1%,42.1%,56.3%,4/7,118,4,1,64,39,25,6,1:27
13-Feb-2012,Bergamo CH,3,Hard,R16,171,199,1,,,Arnaud Clement,Martin Fischer,6-2 4-6 6-3,1.31,9.6%,2.7%,64.4%,76.6%,57.7%,0/2,54.4%,39.5%,11.8%,42.2%,35.5%,4/6,149,7,2,73,47,26,9,1:49
13-Feb-2012,Bergamo CH,3,Hard,R32,171,211,1,,,Arnaud Clement,Harri Heliovaara,3-6 6-4 6-4,1.13,10.9%,3.3%,60.9%,76.8%,44.4%,7/10,52.5%,40.4%,13.5%,36.5%,45.9%,3/8,181,10,3,92,56,36,12,1:56
