Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Oct-2015,USA F29,3,Hard,R16,1187,215,0,Q,1,Liam Broady,Axel Alvarez Llamas,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
5-Oct-2015,USA F29,3,Hard,R32,1187,876,1,Q,,Axel Alvarez Llamas,Ronald Slobodchikov,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jul-2015,Portugal F11,3,Hard,SF,UNR,521,0,Q,3,Pablo Vivero Gonzalez,Axel Alvarez Llamas,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jul-2015,Portugal F11,3,Hard,QF,UNR,787,1,Q,7,Axel Alvarez Llamas,Carlos Gomez Herrera,6-4 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jul-2015,Portugal F11,3,Hard,R16,UNR,911,1,Q,,Axel Alvarez Llamas,Matthew Short,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
27-Jul-2015,Portugal F11,3,Hard,R32,UNR,1277,1,Q,Q,Axel Alvarez Llamas,Aaron Addison,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
17-Sep-2012,USA F25,3,Hard,R16,1302,552,0,Q,5,Dennis Lajola,Axel Alvarez Llamas,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
17-Sep-2012,USA F25,3,Hard,R32,1302,1129,1,Q,,Axel Alvarez Llamas,Arthur Karagezian,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
31-Oct-2011,Spain F41,3,Clay,R16,1170,426,0,SE,3,Jordi Samper Montana,Axel Alvarez Llamas,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
31-Oct-2011,Spain F41,3,Clay,R32,1170,920,1,SE,Q,Axel Alvarez Llamas,Marcos Esparcia Omedas,1-6 6-3 7-6(0),,,,,,,,,,,,,,,,,,,,,
24-Oct-2011,Spain F39,3,Clay,R16,1173,493,0,LL,,Taro Daniel,Axel Alvarez Llamas,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
