Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
3-Jul-2017,Wimbledon,5,Grass,Q2,230,117,0,,9,Illya Marchenko,Benjamin Becker,3-6 7-6(3) 6-4,,,,,,,,,,,,,,,,,,,,,
3-Jul-2017,Wimbledon,5,Grass,Q1,230,186,1,,,Benjamin Becker,Yasutaka Uchiyama,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Halle,3,Grass,Q1,208,88,0,,7,Mikhail Youzhny,Benjamin Becker,6-3 6-4,0.79,15.1%,3.8%,69.8%,73.0%,50.0%,4/6,45.9%,26.8%,10.7%,23.7%,33.3%,0/0,109,8,2,53,37,16,6,1:01
12-Jun-2017,'s-Hertogenbosch,3,Grass,Q1,170,192,0,6,,Stefanos Tsitsipas,Benjamin Becker,6-7(5) 6-3 7-5,0.93,8.6%,4.3%,63.4%,74.6%,41.2%,3/7,47.5%,34.9%,13.8%,26.5%,48.8%,2/6,202,8,4,93,59,34,15,1:57
5-Jun-2017,Surbiton CH,3,Grass,Q2,170,236,0,1,,Roberto Quiroz,Benjamin Becker,7-6(10) 6-7(5) 6-4,0.97,7.8%,2.6%,69.0%,72.5%,55.6%,3/4,49.0%,31.7%,7.3%,24.4%,48.6%,0/4,239,9,3,116,80,36,9,2:10
5-Jun-2017,Surbiton CH,3,Grass,Q1,170,834,1,1,WC,Benjamin Becker,Jonathan Gray,6-2 7-5,1.27,16.1%,0.0%,64.5%,67.5%,50.0%,1/3,54.8%,49.3%,2.7%,48.3%,53.3%,5/10,135,10,0,62,40,22,2,1:14
29-May-2017,Roland Garros,5,Clay,Q1,170,135,0,,28,Laslo Djere,Benjamin Becker,6-2 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
10-Apr-2017,Houston,3,Clay,Q2,167,163,0,,7,Maximo Gonzalez,Benjamin Becker,6-3 6-2,0.62,5.5%,10.9%,60.0%,66.7%,40.9%,4/7,41.8%,27.3%,10.9%,16.2%,50.0%,0/2,110,3,6,55,33,22,6,1:07
10-Apr-2017,Houston,3,Clay,Q1,167,125,1,,2,Benjamin Becker,Guido Andreozzi,6-0 7-5,1.61,11.9%,5.1%,52.5%,77.4%,50.0%,2/4,61.1%,57.4%,0.0%,46.4%,69.2%,6/9,113,7,3,59,31,28,0,1:14
20-Mar-2017,Miami Masters,3,Hard,R128,163,65,0,Q,,Adrian Mannarino,Benjamin Becker,7-6(6) 6-3,0.93,9.0%,3.0%,53.7%,77.8%,61.3%,1/2,48.2%,27.8%,4.2%,23.9%,34.6%,0/0,139,6,2,67,36,31,3,1:30
