Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
26-Mar-1975,Jackson,3,Carpet,R16,166,151,0,,,John Feaver,Bill Bowrey,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
21-Dec-1974,Australian Open,5,Grass,R32,181,103,0,,,John Andrews,Bill Bowrey,6-2 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
21-Dec-1974,Australian Open,5,Grass,R64,181,249,1,,,Bill Bowrey,Sachio Kato,6-3 6-0 6-3,,,,,,,,,,,,,,,,,,,,,
16-Dec-1974,Sydney Outdoor,3,Grass,R32,202,25,0,,,John Alexander,Bill Bowrey,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
16-Dec-1974,Sydney Outdoor,3,Grass,R64,202,,1,,,Bill Bowrey,Paul Mcnamee,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
16-Nov-1974,Bombay,3,Clay,R16,202,109,0,,,Dick Dell,Bill Bowrey,4-6 6-4 11-9,,,,,,,,,,,,,,,,,,,,,
16-Nov-1974,Bombay,3,Clay,R32,202,137,1,,,Bill Bowrey,Jasjit Singh,6-7 7-5 7-5,,,,,,,,,,,,,,,,,,,,,
20-Oct-1974,Sydney Indoor,3,Hard,R16,,31,0,,7,Phil Dent,Bill Bowrey,3-6 7-6 6-2,,,,,,,,,,,,,,,,,,,,,
20-Oct-1974,Sydney Indoor,3,Hard,R32,,95,1,,,Bill Bowrey,Bob Giltinan,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
5-Aug-1973,Louisville,3,Clay,R64,,,0,,,Antonio Munoz,Bill Bowrey,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
23-Jul-1973,Washington,3,Clay,R64,,,0,,8,Harold Solomon,Bill Bowrey,6-0 4-6 7-5,,,,,,,,,,,,,,,,,,,,,
26-Dec-1972,Australian Open,5,Grass,R64,,,0,,,Chris Kachel,Bill Bowrey,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-1972,Las Vegas WCT,3,Hard,R32,,,0,,,Brian Fairlie,Bill Bowrey,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
30-Apr-1972,Denver WCT,3,Carpet,R32,,,0,,,Fred Stolle,Bill Bowrey,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
23-Apr-1972,Charlotte WCT,3,Clay,QF,,,0,,,Cliff Drysdale,Bill Bowrey,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
23-Apr-1972,Charlotte WCT,3,Clay,R16,,,1,,,Bill Bowrey,Ismail El Shafei,6-4 4-6 7-6,,,,,,,,,,,,,,,,,,,,,
23-Apr-1972,Charlotte WCT,3,Clay,R32,,,1,,,Bill Bowrey,Roy Barth,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
16-Apr-1972,Quebec WCT,3,,R32,,,0,,,Rod Laver,Bill Bowrey,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
9-Apr-1972,Houston WCT,3,Clay,QF,,,0,,,Rod Laver,Bill Bowrey,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
9-Apr-1972,Houston WCT,3,Clay,R16,,,1,,,Bill Bowrey,Marty Riessen,6-2 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
16-Mar-1972,Chicago WCT,3,Carpet,R32,,,0,,,Charlie Pasarell,Bill Bowrey,2-6 1-6 8-6,,,,,,,,,,,,,,,,,,,,,
5-Mar-1972,Miami WCT,3,Hard,R32,,,0,,6,Robert Lutz,Bill Bowrey,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
20-Feb-1972,Toronto WCT,3,Carpet,R32,,,0,,,Roger Taylor,Bill Bowrey,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
8-Feb-1972,Philadelphia WCT,3,Carpet,R32,,,0,,,Ron Holmberg,Bill Bowrey,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
6-Feb-1972,Richmond WCT,3,Carpet,R32,,,0,,,Roy Emerson,Bill Bowrey,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
6-Dec-1971,Auckland,3,Grass,QF,,,0,,,John Alexander,Bill Bowrey,6-7 6-2 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
6-Dec-1971,Auckland,3,Grass,R16,,,1,,,Bill Bowrey,Phil Dent,6-4 4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
6-Dec-1971,Auckland,3,Grass,R32,,,1,,,Bill Bowrey,Joel Ross,6-3 7-5 6-0,,,,,,,,,,,,,,,,,,,,,
14-Nov-1971,Bologna WCT,3,Carpet,R64,,,0,,,Roger Taylor,Bill Bowrey,6-4 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
1-Nov-1971,Wembley,3,Hard,R32,,,0,,,Roy Emerson,Bill Bowrey,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
1-Nov-1971,Stockholm Open,3,Hard,R64,,,0,,,Ismail El Shafei,Bill Bowrey,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
18-Oct-1971,Barcelona WCT,3,Clay,R64,,,0,,,Ken Rosewall,Bill Bowrey,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
17-Oct-1971,Cologne WCT,3,Carpet,R32,,,0,,,Rod Laver,Bill Bowrey,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-1971,Vancouver WCT,3,,R32,,,0,,,John Alexander,Bill Bowrey,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
27-Sep-1971,Berkeley,3,Hard,R64,,,0,,3,Tom Okker,Bill Bowrey,6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
1-Sep-1971,US Open,5,Grass,R32,,,0,,,Nikola Pilic,Bill Bowrey,6-2 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
1-Sep-1971,South Orange,3,Hard,R32,,,0,,,Clark Graebner,Bill Bowrey,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
1-Sep-1971,US Open,5,Grass,R64,,,1,,,Bill Bowrey,Rod Brent,7-5 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-Sep-1971,South Orange,3,Hard,R64,,,1,,,Bill Bowrey,Raymond Moore,6-7 7-6 7-5,,,,,,,,,,,,,,,,,,,,,
1-Sep-1971,US Open,5,Grass,R128,,,1,,,Bill Bowrey,Steve Faulk,3-6 6-7 7-5 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
22-Aug-1971,Fort Worth WCT,3,Hard,R16,,,0,,,Cliff Drysdale,Bill Bowrey,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
22-Aug-1971,Fort Worth WCT,3,Hard,R32,,,1,,,Bill Bowrey,Ray Ruffels,W/O,,,,,,,,,,,,,,,,,,,,,
10-Aug-1971,Montreal / Toronto,3,Clay,R16,,,0,,3,Ken Rosewall,Bill Bowrey,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
10-Aug-1971,Montreal / Toronto,3,Clay,R32,,,1,,,Bill Bowrey,Haroon Rahim,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
10-Aug-1971,Montreal / Toronto,3,Clay,R64,,,1,,,Bill Bowrey,Phil Dent,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
8-Aug-1971,Boston WCT,3,Hard,R32,,,0,,,Charlie Pasarell,Bill Bowrey,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
1-Aug-1971,Quebec WCT,3,,R32,,,0,,,Cliff Drysdale,Bill Bowrey,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
24-Jul-1971,Louisville WCT,3,Clay,R16,,,0,,,Ray Ruffels,Bill Bowrey,7-5 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
24-Jul-1971,Louisville WCT,3,Clay,R32,,,1,,,Bill Bowrey,Rod Laver,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
17-Jul-1971,Washington WTC,3,Clay,R32,,,0,,,Tom Okker,Bill Bowrey,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
17-Jul-1971,Washington WTC,3,Clay,R64,,,1,,,Bill Bowrey,Jaime Fillol,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jul-1971,Dublin,3,Grass,R16,,,0,,,Patricio Cornejo,Bill Bowrey,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jul-1971,Dublin,3,Grass,R32,,,1,,,Bill Bowrey,Des Hill,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
21-Jun-1971,Wimbledon,5,Grass,R128,,,0,,,John Alexander,Bill Bowrey,6-0 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
14-Jun-1971,Queen's Club,3,Grass,R64,,,0,,,Robert Lutz,Bill Bowrey,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
7-Jun-1971,Bristol,3,Grass,R32,,,0,,5,Tom Okker,Bill Bowrey,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
22-May-1971,Bournemouth,3,Clay,R32,,,0,,,Roger Taylor,Bill Bowrey,6-4 5-7 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
21-May-1971,Roland Garros,5,Clay,R32,,,0,,,Istvan Gulyas,Bill Bowrey,6-2 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
21-May-1971,Roland Garros,5,Clay,R64,,,1,,,Bill Bowrey,Barry Phillips Moore,6-1 6-3 3-6 1-6 8-6,,,,,,,,,,,,,,,,,,,,,
21-May-1971,Roland Garros,5,Clay,R128,,,1,,13,Bill Bowrey,Ion Tiriac,6-3 6-2 8-6,,,,,,,,,,,,,,,,,,,,,
15-May-1971,Tehran WCT,3,Clay,R16,,,0,,8,Tony Roche,Bill Bowrey,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
15-May-1971,Tehran WCT,3,Clay,R32,,,1,,,Bill Bowrey,Robert Lutz,2-6 7-6 6-4,,,,,,,,,,,,,,,,,,,,,
