Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
12-Aug-1967,Eastbourne Slazenger Pro,3,,QF,,,0,,,Mcadam Walker,Bob Griffin,2-6 6-2 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
12-Aug-1967,Eastbourne Slazenger Pro,3,,R16,,,1,,,Bob Griffin,G P Ferrier,6-4 6-4 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
12-Aug-1967,Eastbourne Slazenger Pro,3,,R32,,,1,,,Bob Griffin,B Haskew,6-2 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
6-Aug-1966,Eastbourne Slazenger Cup,3,,SF,,,1,,,Bob Griffin,Mcadam Walker,6-2 6-2 7-5,,,,,,,,,,,,,,,,,,,,,
6-Aug-1966,Eastbourne Slazenger Cup,3,,QF,,,1,,,Bob Griffin,R G W Smith,3-6 6-3 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
6-Aug-1966,Eastbourne Slazenger Cup,3,,R16,,,1,,,Bob Griffin,David Jones,6-3 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
6-Aug-1966,Eastbourne Slazenger Cup,3,,R32,,,1,,,Bob Griffin,John Pannell,6-2 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
28-May-1966,Bad Ems Pro,3,,R32,,,0,,,Laci Legenstein,Bob Griffin,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
7-Aug-1965,Eastbourne Slazenger Pro,3,,F,,,0,,,Bill Moss,Bob Griffin,0-6 6-2 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
7-Aug-1965,Eastbourne Slazenger Pro,3,,SF,,,1,,,Bob Griffin,Gordon Mudge,6-2 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
7-Aug-1965,Eastbourne Slazenger Pro,3,,QF,,,1,,,Bob Griffin,J S Beirne,6-4 4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
7-Aug-1965,Eastbourne Slazenger Pro,3,,R16,,,1,,,Bob Griffin,J K Draper,6-2 6-2 1-6 6-1,,,,,,,,,,,,,,,,,,,,,
8-Aug-1964,Eastbourne British Pro,3,Grass,SF,,,0,,,John Melhuish,Bob Griffin,4-6 6-1 6-4 6-0,,,,,,,,,,,,,,,,,,,,,
8-Aug-1964,Eastbourne British Pro,3,Grass,QF,,,1,,,Bob Griffin,J M Watson,6-2 6-0 6-1,,,,,,,,,,,,,,,,,,,,,
8-Aug-1964,Eastbourne British Pro,3,Grass,R16,,,1,,,Bob Griffin,D B Nicholls,6-0 8-6 6-2,,,,,,,,,,,,,,,,,,,,,
5-Aug-1963,Eastbourne British Pro,3,Grass,QF,,,0,,,Bill Moss,Bob Griffin,6-3 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
5-Aug-1963,Eastbourne British Pro,3,Grass,R16,,,1,,,Bob Griffin,Dudley Georgeson,6-2 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
29-Jul-1963,Eastbourne Slazenger Pro,3,Grass,R32,,,0,,,Jozsef Asboth,Bob Griffin,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
29-Jul-1963,Eastbourne Slazenger Pro,3,Grass,R64,,,1,,,Bob Griffin,David Jones,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
29-Jul-1963,Eastbourne Slazenger Pro,3,Grass,R128,,,1,,,Bob Griffin,Manfred Loehr,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
