Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Oct-2024,M25 Kampala,3,Clay,R32,1217,812,0,,8,Maximilian Neuchrist,Brandon Perez,7-6(5) 6-1,,,,,,,,,,,,,,,,,,,,,
30-Sep-2024,M25 Kigali,3,Clay,R16,1217,700,0,,6,Aziz Ouakaa,Brandon Perez,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
30-Sep-2024,M25 Kigali,3,Clay,R32,1217,,1,,WC,Brandon Perez,Etienne Niyigena,6-4 6-7(5) 6-2,,,,,,,,,,,,,,,,,,,,,
23-Sep-2024,M25 Kigali,3,Clay,QF,1214,416,0,,4,Corentin Denolly,Brandon Perez,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
23-Sep-2024,M25 Kigali,3,Clay,R16,1214,910,1,,,Brandon Perez,Preston Brown,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
23-Sep-2024,M25 Kigali,3,Clay,R32,1214,636,1,,8,Brandon Perez,Aryan Shah,4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
9-Sep-2024,M25 Sapporo,3,Hard,R32,1216,2057,0,Q,Q,Yusuke Kusuhara,Brandon Perez,7-6(8) 6-1,,,,,,,,,,,,,,,,,,,,,
2-Sep-2024,M25 Sapporo,3,Hard,R32,1222,600,0,Q,,Ryotaro Taguchi,Brandon Perez,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
5-Aug-2024,Bogota CH,3,Clay,Q2,1433,,0,,WC,Mateo Castaneda,Brandon Perez,7-6(8) 2-6 6-4,1.00,9.9%,2.7%,53.2%,67.8%,48.1%,4/8,50.5%,41.6%,1.0%,39.5%,48.0%,5/13,212,11,3,111,59,52,1,2:35
5-Aug-2024,Bogota CH,3,Clay,Q1,1433,657,1,,3,Brandon Perez,Juan Bautista Otegui,6-0 6-4,2.12,2.1%,4.3%,57.4%,81.5%,65.0%,5/5,64.2%,54.2%,4.2%,39.1%,68.0%,4/6,95,1,2,47,27,20,2,1:04
29-Jul-2024,M15 HUAMANTLA,3,Hard,R16,1347,795,0,,7,Juan Alejandro Hernandez Serrano,Brandon Perez,6-3 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
29-Jul-2024,M15 HUAMANTLA,3,Hard,R32,1347,1113,1,,,Brandon Perez,Ricardo Rodriguez,6-1 4-0 RET,,,,,,,,,,,,,,,,,,,,,
22-Jul-2024,M15 HUAMANTLA,3,Hard,R32,1331,1715,0,,,Evan Bynoe,Brandon Perez,6-3 6-7(5) 7-6(4),,,,,,,,,,,,,,,,,,,,,
