Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
11-Aug-2014,Ecuador F2,3,Hard,R32,1278,1492,0,,Q,Alan Kohen,Carl Eguez,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
4-Aug-2014,Ecuador F1,3,Clay,R32,1276,408,0,Q,1,Gabriel Alejandro Hidalgo,Carl Eguez,7-6(5) 6-2,,,,,,,,,,,,,,,,,,,,,
14-Jul-2014,Canada F6,3,Hard,R16,1468,864,0,Q,6,Alexander Sarkissian,Carl Eguez,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
14-Jul-2014,Canada F6,3,Hard,R32,1468,1374,1,Q,,Carl Eguez,Patrick Davidson,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
7-Jul-2014,Canada F5,3,Hard,R16,1449,617,0,,6,Tyler Hochwalt,Carl Eguez,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
7-Jul-2014,Canada F5,3,Hard,R32,1449,822,1,,,Carl Eguez,Dekel Bar,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
30-Jun-2014,Canada F4,3,Hard,R32,1623,793,0,,7,Theo Fournerie,Carl Eguez,6-4 6-7(2) 6-2,,,,,,,,,,,,,,,,,,,,,
23-Jun-2014,Canada F3,3,Hard,R16,1623,682,0,,5,Rik De Voest,Carl Eguez,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jun-2014,Canada F3,3,Hard,R32,1623,UNR,1,,Q,Carl Eguez,Zeke Hindle,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
11-Nov-2013,Colombia F6,3,Hard,R32,1545,284,0,,1,Theodoros Angelinos,Carl Eguez,RET,,,,,,,,,,,,,,,,,,,,,
7-Oct-2013,Mexico F14,3,Hard,QF,UNR,460,0,Q,2,Christopher Diaz Figueroa,Carl Eguez,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
7-Oct-2013,Mexico F14,3,Hard,R16,UNR,UNR,1,Q,WC,Carl Eguez,Rogelio Siller,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
7-Oct-2013,Mexico F14,3,Hard,R32,UNR,569,1,Q,6,Carl Eguez,Dean Obrien,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
26-Aug-2013,Ecuador F3,3,Clay,R32,UNR,1276,0,Q,,Devin Mccarthy,Carl Eguez,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
5-Aug-2013,Venezuela F3,3,Hard,R32,UNR,1363,0,Q,,Jhonatan Gonzalez,Carl Eguez,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
8-Jul-2013,Canada F4,3,Hard,R32,UNR,302,0,Q,2,Tennys Sandgren,Carl Eguez,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
