Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Aug-2024,M25 Montesilvano,3,Clay,R32,1336,1106,0,Q,WC,Giulio Perego,Carlo Alberto Fossati,7-6(5) 7-5,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M15 Split,3,Clay,R32,1029,1568,0,Q,,Lorenzo Sciahbasi,Carlo Alberto Fossati,6-0 4-0 RET,,,,,,,,,,,,,,,,,,,,,
1-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R16,1070,303,0,,2,Ergi Kirkin,Carlo Alberto Fossati,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
1-Apr-2024,M25 Santa Margherita di Pula,3,Clay,R32,1070,,1,,WC,Carlo Alberto Fossati,Vincent Jonah Strauch,6-7(3) 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
25-Mar-2024,M25 Santa Margherita di Pula,3,Clay,R16,1064,353,0,Q,6,Nino Serdarusic,Carlo Alberto Fossati,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
25-Mar-2024,M25 Santa Margherita di Pula,3,Clay,R32,1064,,1,Q,WC,Carlo Alberto Fossati,Vincent Jonah Strauch,6-1 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Sharm ElSheikh,3,Hard,R16,1087,1854,0,,Q,Renlong Pang,Carlo Alberto Fossati,6-1 0-6 7-6(6),,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Sharm ElSheikh,3,Hard,R32,1087,415,1,,1,Carlo Alberto Fossati,Kris Van Wyk,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M15 Zahra,3,,R32,1065,600,0,,6,Sander Jong,Carlo Alberto Fossati,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M15 Sharm ElSheikh,3,,R32,1059,,0,,WC,Alexey Aleshchev,Carlo Alberto Fossati,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
30-Oct-2023,M15 Selva Gardena,3,Hard,R32,1020,979,0,,,Federico Bondioli,Carlo Alberto Fossati,6-7(2) 6-2 7-6(5),,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Pozzuoli,3,Hard,R16,991,388,0,,4,Arthur Fery,Carlo Alberto Fossati,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Pozzuoli,3,Hard,R32,991,,1,,WC,Carlo Alberto Fossati,Fabio De Michele,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
21-Aug-2023,M15 Caslano,3,Clay,R16,1013,549,0,,2,Jakub Paul,Carlo Alberto Fossati,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
21-Aug-2023,M15 Caslano,3,Clay,R32,1013,1463,1,,,Carlo Alberto Fossati,Niklas Waldner,6-1 4-6 7-6(4),,,,,,,,,,,,,,,,,,,,,
31-Jul-2023,M25 Bolzano,3,Clay,R32,1019,,0,,Q,Giulio Perego,Carlo Alberto Fossati,7-6(5) 7-6(5),,,,,,,,,,,,,,,,,,,,,
3-Jul-2023,M25 Biella,3,Clay,R16,1107,390,0,,3,Stefano Napolitano,Carlo Alberto Fossati,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
3-Jul-2023,M25 Biella,3,Clay,R32,1107,1850,1,,Q,Carlo Alberto Fossati,Gabriel Schenekenberg,1-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
26-Jun-2023,M15 Bergamo,3,Clay,QF,1127,548,0,,6,Federico Iannaccone,Carlo Alberto Fossati,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
26-Jun-2023,M15 Bergamo,3,Clay,R16,1127,1070,1,,Q,Carlo Alberto Fossati,Samuele Pieri,4-6 6-3 7-6(5),,,,,,,,,,,,,,,,,,,,,
26-Jun-2023,M15 Bergamo,3,Clay,R32,1127,,1,,WC,Carlo Alberto Fossati,Gianluca Cadenasso,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M25 Cattolica,3,Clay,R16,1125,538,0,,8,Marcello Serafini,Carlo Alberto Fossati,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M25 Cattolica,3,Clay,R32,1125,1091,1,,WC,Carlo Alberto Fossati,Samuele Pieri,6-7(3) 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
24-Apr-2023,M25 Santa Margherita di Pula,3,Clay,QF,1304,571,0,Q,,Lorenzo Rottoli,Carlo Alberto Fossati,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
24-Apr-2023,M25 Santa Margherita di Pula,3,Clay,R16,1304,,1,Q,Q,Carlo Alberto Fossati,Mariano Tammaro,7-6(5) 7-5,,,,,,,,,,,,,,,,,,,,,
