Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
11-Jul-2016,Brazil F3,3,Clay,R32,1692,1063,0,,,Tiago Lopes,Carlos Oliveira,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Brazil F5,3,Clay,R16,UNR,362,0,Q,2,Emilio Gomez,Carlos Oliveira,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
24-Aug-2015,Brazil F5,3,Clay,R32,UNR,600,1,Q,,Carlos Oliveira,Maximiliano Estevez,1-6 6-3 7-6(4),,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Brazil F20,3,Clay,R16,973,525,0,WC,5,Joao Pedro Sorgi,Carlos Oliveira,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
6-Aug-2012,Brazil F20,3,Clay,R32,973,1027,1,WC,,Carlos Oliveira,Raul Francisquiny,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
27-Feb-2012,Chile F4,3,Clay,R32,910,1312,0,,Q,Alex Blumenberg,Carlos Oliveira,6-3 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
24-Oct-2011,Sao Jose Do Rio Preto CH,3,Clay,R32,921,136,0,WC,,Wayne Odesnik,Carlos Oliveira,6-0 6-4,0.64,0.0%,1.7%,49.2%,48.3%,43.3%,2/7,40.7%,34.7%,12.2%,29.6%,40.9%,1/2,108,0,1,59,29,30,6,1:23
17-Oct-2011,Brazil F35,3,Clay,R16,902,472,0,,6,Jose Pereira,Carlos Oliveira,6-3 7-6(1),,,,,,,,,,,,,,,,,,,,,
17-Oct-2011,Brazil F35,3,Clay,R32,902,UNR,1,,WC,Carlos Oliveira,Marcelo Zormann Da Silva,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
10-Oct-2011,Bolivia F4,3,Clay,R16,897,1257,0,,,Hugo Dellien,Carlos Oliveira,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-2011,Bolivia F4,3,Clay,R32,897,466,1,,2,Carlos Oliveira,Thales Turini,5-7 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
3-Oct-2011,Bolivia F3,3,Clay,R32,920,553,0,Q,4,Juan Manuel Valverde,Carlos Oliveira,6-3 5-7 6-2,,,,,,,,,,,,,,,,,,,,,
26-Sep-2011,Bolivia F2,3,Clay,R16,953,511,0,,1,Guido Pella,Carlos Oliveira,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
26-Sep-2011,Bolivia F2,3,Clay,R32,953,1523,1,,Q,Carlos Oliveira,Ismael Merino,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-2011,Bolivia F1,3,Clay,QF,958,947,0,,,Rodrigo Scattareggia,Carlos Oliveira,7-5 4-6 6-0,,,,,,,,,,,,,,,,,,,,,
19-Sep-2011,Bolivia F1,3,Clay,R16,958,UNR,1,,LL,Carlos Oliveira,Juan Ignacio Troglia,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
