Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
24-Jul-1967,Montana,3,Clay,R32,,,0,,,Colin Stubs,Cesare Guerci Lena,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jul-1966,Montana,3,Clay,R32,,,0,,,Jean Claude Barclay,Cesare Guerci Lena,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
2-May-1966,Rome,3,Clay,R64,,,0,,,Fred Stolle,Cesare Guerci Lena,6-1 6-0 7-5,,,,,,,,,,,,,,,,,,,,,
25-Apr-1966,Reggio Calabria,3,Clay,R32,,,0,,,Pancho Guzman,Cesare Guerci Lena,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
18-Apr-1966,Naples,3,Clay,R64,,,0,,,Aleksandr Ivanov,Cesare Guerci Lena,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
12-Jul-1965,Gstaad,3,Clay,R32,,,0,,,John Newcombe,Cesare Guerci Lena,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
3-May-1965,Rome,3,Clay,R64,,,0,,,Cliff Richey,Cesare Guerci Lena,6-2 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
4-May-1964,Rome,3,Clay,R64,,,0,,,Eduardo Zuleta,Cesare Guerci Lena,4-6 6-1 6-0 6-4,,,,,,,,,,,,,,,,,,,,,
6-May-1963,Rome,3,Clay,R128,,,0,,,Bob Bowditch,Cesare Guerci Lena,6-2 6-4 2-6 7-5,,,,,,,,,,,,,,,,,,,,,
29-Apr-1963,Naples,3,,R32,,,0,,,Nicola Pietrangeli,Cesare Guerci Lena,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
29-Apr-1963,Naples,3,,R64,,,1,,,Cesare Guerci Lena,P Taccone,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
21-May-1962,Roland Garros,5,Clay,R128,,,0,,,Neale Fraser,Cesare Guerci Lena,6-3 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
7-May-1962,Rome,3,Clay,R64,,,0,,,Miguel Olvera,Cesare Guerci Lena,6-0 6-1 6-0,,,,,,,,,,,,,,,,,,,,,
22-Aug-1961,Lesa,3,Clay,R16,,,0,,,Fausto Gardini,Cesare Guerci Lena,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
22-Aug-1961,Lesa,3,Clay,R32,,,1,,,Cesare Guerci Lena, Pelassa,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
17-Jul-1961,Gstaad,3,Clay,R32,,,0,,,Ken Fletcher,Cesare Guerci Lena,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
17-Jul-1961,Gstaad,3,Clay,R64,,,1,,,Cesare Guerci Lena,Thedy Stalder,7-5 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-May-1961,Turin,3,Clay,R64,,,0,,,Bob Hewitt,Cesare Guerci Lena,6-0 6-0 6-0,,,,,,,,,,,,,,,,,,,,,
1-May-1961,Naples,3,Clay,R32,,,0,,,Fausto Gardini,Cesare Guerci Lena,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
1-May-1961,Naples,3,Clay,R64,,,1,,,Cesare Guerci Lena,Valerio Mangoni,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
