Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
16-Nov-2015,Champaign CH,3,Hard,R32,344,290,0,Q,,Henri Laaksonen,Chase Buchanan,7-6(5) 6-3,0.63,3.8%,3.8%,68.4%,75.9%,40.0%,4/5,45.2%,22.4%,10.4%,17.6%,27.3%,0/0,146,3,3,79,54,25,7,
2-Nov-2015,Charlottesville CH,3,Hard,R32,335,316,0,,AL,Tommy Paul,Chase Buchanan,6-2 6-4,0.75,6.7%,5.0%,61.7%,43.2%,39.1%,5/11,42.9%,43.8%,3.8%,36.7%,54.8%,3/12,140,4,3,60,37,23,3,
26-Oct-2015,Monterrey CH,3,Hard,R32,330,72,0,,2,Paolo Lorenzi,Chase Buchanan,6-4 6-1,0.43,9.1%,4.5%,59.1%,61.5%,33.3%,2/6,36.0%,21.4%,11.9%,5.3%,34.8%,1/1,86,4,2,44,26,18,5,
19-Oct-2015,Las Vegas CH,3,Hard,R32,327,345,0,,Q,Eric Quigley,Chase Buchanan,6-0 7-6(4),0.71,6.0%,7.5%,50.7%,61.8%,36.4%,6/11,42.5%,35.8%,4.5%,27.9%,50.0%,2/8,134,4,5,67,34,33,3,
28-Sep-2015,Tiburon CH,3,Hard,R32,319,119,0,WC,6,Bjorn Fratangelo,Chase Buchanan,6-1 6-3,0.50,0.0%,6.8%,68.9%,64.7%,21.7%,6/10,41.2%,24.4%,2.2%,26.1%,22.7%,0/0,119,0,5,74,51,23,1,
21-Sep-2015,Columbus CH,3,Hard,QF,336,163,0,,8,Dennis Novikov,Chase Buchanan,6-4 6-4,0.70,12.3%,7.0%,61.4%,77.1%,40.9%,1/3,44.3%,25.9%,5.2%,18.4%,40.0%,0/1,115,7,4,57,35,22,3,
21-Sep-2015,Columbus CH,3,Hard,R16,336,109,1,,2,Chase Buchanan,John Patrick Smith,6-4 7-6(2),1.56,5.0%,3.3%,80.0%,87.5%,58.3%,0/0,53.1%,28.6%,10.0%,23.3%,37.0%,1/3,130,3,2,60,48,12,7,
21-Sep-2015,Columbus CH,3,Hard,R32,336,628,1,,PR,Chase Buchanan,Dennis Nevolo,7-5 6-3,1.13,8.0%,4.0%,64.0%,72.9%,59.3%,2/3,54.1%,36.2%,1.7%,31.6%,45.0%,3/8,133,6,3,75,48,27,1,
14-Sep-2015,Cary CH,3,Hard,R16,330,178,0,,6,Brydan Klein,Chase Buchanan,7-6(10) 6-4,0.71,5.1%,3.8%,62.8%,63.3%,58.6%,3/5,45.0%,27.4%,13.7%,16.7%,41.9%,1/5,151,4,3,78,49,29,10,
14-Sep-2015,Cary CH,3,Hard,R32,330,UNR,1,,WC,Chase Buchanan,Robbie Mudge,6-4 6-1,1.74,5.7%,3.8%,58.5%,80.6%,59.1%,2/2,59.5%,49.2%,0.0%,43.6%,58.3%,4/6,116,3,2,53,31,22,0,
7-Sep-2015,Canada F9,3,Clay,SF,325,262,0,4,1,Tennys Sandgren,Chase Buchanan,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Canada F9,3,Clay,QF,325,442,1,4,7,Chase Buchanan,Sekou Bangoura,7-6(5) 4-6 7-5,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Canada F9,3,Clay,R16,325,1254,1,4,WC,Chase Buchanan,Pavel Krainik,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
7-Sep-2015,Canada F9,3,Clay,R32,325,1165,1,4,Q,Chase Buchanan,Frederick Saba,6-4 7-6(0),,,,,,,,,,,,,,,,,,,,,
29-Jun-2015,Wimbledon Q,3,Grass,Q1,201,230,0,,,Tristan Lamasine,Chase Buchanan,1-6 1-2 RET,,,,,,,,,,,,,,,,,,,,,
8-Jun-2015,Surbiton CH,3,Grass,R32,197,189,0,,,Matthew Ebden,Chase Buchanan,6-3 6-2,0.57,0.0%,3.1%,73.4%,57.4%,35.3%,7/10,40.7%,27.8%,7.4%,24.4%,38.5%,0/1,118,0,2,64,47,17,4,
2-Jun-2015,Mestre CH,3,Clay,R16,182,197,0,,,Potito Starace,Chase Buchanan,6-0 6-2,0.56,3.7%,3.7%,63.0%,50.0%,15.0%,6/12,36.2%,35.0%,7.5%,37.5%,25.0%,1/2,94,2,2,54,34,20,3,0:59
2-Jun-2015,Mestre CH,3,Clay,R32,182,224,1,,WC,Chase Buchanan,Matteo Viola,6-3 6-2,1.39,0.0%,7.7%,64.6%,71.4%,52.2%,3/4,57.5%,49.1%,1.8%,33.3%,72.7%,4/7,120,0,5,65,42,23,1,1:17
