Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
10-Apr-1961,Houston,3,Clay,R64,,,0,,,Jack Kamrath,Cliff Vickery,3-6 7-5 6-3,,,,,,,,,,,,,,,,,,,,,
10-Apr-1961,Houston,3,Clay,R128,,,1,,,Cliff Vickery,Manuel Lopez,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
2-Sep-1960,US Open,5,Grass,R128,,,0,,,Robert Wilson,Cliff Vickery,6-3 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
14-Apr-1959,Houston,3,Clay,R32,,,0,,,John Sharpe,Cliff Vickery,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
12-Aug-1957,Newport,3,Grass,R64,,,0,,,Gil Shea,Cliff Vickery,W/O,,,,,,,,,,,,,,,,,,,,,
1-Aug-1957,Southampton,3,Grass,R16,,,0,,,Roy Emerson,Cliff Vickery,8-6 6-3,,,,,,,,,,,,,,,,,,,,,
1-Aug-1957,Southampton,3,Grass,R32,,,1,,,Cliff Vickery,Jim Farrin,8-6 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
1-Aug-1957,Southampton,3,Grass,R64,,,1,,,Cliff Vickery,Sidney Wood Jr,6-8 8-7 RET,,,,,,,,,,,,,,,,,,,,,
0-Aug-1957,South Orange,3,Grass,R64,,,0,,,Gil Shea,Cliff Vickery,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
22-Jul-1957,Haverford,3,Grass,R64,,,0,,,Ron Holmberg,Cliff Vickery,6-8 9-7 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jul-1957,River Forest,3,Clay,R64,,,0,,,Max Brown,Cliff Vickery,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
9-Jul-1957,Milwaukee,3,Clay,R32,,,0,,,Paul Wilkins,Cliff Vickery,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-1957,Houston,3,Clay,R64,,,0,,,Barry Mackay,Cliff Vickery,6-8 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-1957,Houston,3,Clay,R128,,,1,,,Cliff Vickery,Richard Dodson,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
20-Mar-1957,Miami Beach,3,Clay,R32,,,0,,,Johann Kupferburger,Cliff Vickery,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
20-Mar-1957,Miami Beach,3,Clay,R64,,,1,,,Cliff Vickery,Tom Freiberg,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
