Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
30-Dec-1968,Perth,3,Grass,R16,,,0,,,Phil Dent,Clive Wilderspin,6-4 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
30-Dec-1968,Perth,3,Grass,R32,,,1,,,Clive Wilderspin,Alan Gooch,7-5 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Western Australia Championships,3,Grass,QF,,,0,,,Bob Hewitt,Clive Wilderspin,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Western Australia Championships,3,Grass,R16,,,1,,,Clive Wilderspin,Frank Sedgman,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
27-Nov-1961,Perth,3,Grass,R16,,,0,,,Premjit Lall,Clive Wilderspin,3-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
21-Jan-1955,Australian Open,5,Grass,R32,,,0,,,Ashley Cooper,Clive Wilderspin,8-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
22-Jan-1954,Australian Open,5,Grass,R32,,,0,,,Ashley Cooper,Clive Wilderspin,6-4 2-6 7-5 6-3,,,,,,,,,,,,,,,,,,,,,
1-Aug-1953,US Open,5,Grass,R64,,,0,,,Art Larsen,Clive Wilderspin,6-2 1-6 6-2 8-6,,,,,,,,,,,,,,,,,,,,,
1-Aug-1953,US Open,5,Grass,R128,,,1,,,Clive Wilderspin,Atsushi Miyagi,6-4 10-8 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jun-1953,Wimbledon,5,Grass,R32,,,0,,,Ian G Ayre,Clive Wilderspin,7-5 6-2 7-5,,,,,,,,,,,,,,,,,,,,,
1-Jun-1953,Wimbledon,5,Grass,R64,,,1,,,Clive Wilderspin,Ed Bulmer,6-2 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
1-Jun-1953,Wimbledon,5,Grass,R128,,,1,,,Clive Wilderspin,Ernst Buchholz,6-4 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
1-May-1953,Roland Garros,5,Clay,R64,,,0,,,Staffan Stockenberg,Clive Wilderspin,6-3 6-2 2-6 6-1,,,,,,,,,,,,,,,,,,,,,
1-May-1953,Roland Garros,5,Clay,R128,,,1,,,Clive Wilderspin,Heinz Sanders,6-3 6-4 5-7 6-8 6-4,,,,,,,,,,,,,,,,,,,,,
9-Jan-1953,Australian Open,5,Grass,QF,,,0,,,Ian G Ayre,Clive Wilderspin,6-4 11-9 1-6 8-6,,,,,,,,,,,,,,,,,,,,,
9-Jan-1953,Australian Open,5,Grass,R16,,,1,,,Clive Wilderspin,Lew Hoad,9-7 6-2 9-7,,,,,,,,,,,,,,,,,,,,,
9-Jan-1953,Australian Open,5,Grass,R32,,,1,,,Clive Wilderspin,John Obrien,6-3 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
19-Jan-1952,Australian Open,5,Grass,R16,,,0,,,Mervyn Rose,Clive Wilderspin,6-2 6-4 4-6 9-7,,,,,,,,,,,,,,,,,,,,,
19-Jan-1952,Australian Open,5,Grass,R32,,,1,,,Clive Wilderspin,Don Goodger,6-1 6-0 6-1,,,,,,,,,,,,,,,,,,,,,
20-Jan-1951,Australian Open,5,Grass,R16,,,0,,,Ken Mcgregor,Clive Wilderspin,8-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
20-Jan-1951,Australian Open,5,Grass,R32,,,1,,,Clive Wilderspin,Jeff Robson,4-6 6-1 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
21-Jan-1950,Australian Open,5,Grass,R16,,,0,,,Colin Foster Long,Clive Wilderspin,8-6 6-1 1-6 6-4,,,,,,,,,,,,,,,,,,,,,
21-Jan-1950,Australian Open,5,Grass,R32,,,1,,,Clive Wilderspin,Allan Kendall,6-4 4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
22-Jan-1949,Australian Open,5,Grass,R16,,,0,,,Adrian Quist,Clive Wilderspin,7-5 6-4 6-0,,,,,,,,,,,,,,,,,,,,,
22-Jan-1949,Australian Open,5,Grass,R32,,,1,,,Clive Wilderspin,Frank Lonergan,6-3 6-0 6-1,,,,,,,,,,,,,,,,,,,,,
17-Jan-1948,Australian Open,5,Grass,R32,,,0,,,Lionel Brodie,Clive Wilderspin,1-6 6-3 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
18-Jan-1947,Australian Open,5,Grass,R32,,,0,,,Geoffrey Edmund Brown,Clive Wilderspin,6-2 8-6 6-2,,,,,,,,,,,,,,,,,,,,,
