Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
6-Apr-2012,Davis Cup G2 PO: EGY vs IRL,3,Clay,RR,312,688,0,,,Sherif Sabry,Conor Niland,2-6 6-1 6-0 6-2,,,,,,,,,,,,,,,,,,,,,
5-Mar-2012,Kyoto CH,3,Carpet,R32,318,280,0,,,Yuki Bhambri,Conor Niland,6-1 6-3,0.54,0.0%,6.7%,62.2%,50.0%,41.2%,3/7,37.2%,28.6%,14.3%,20.7%,40.0%,0/3,94,0,3,45,28,17,7,0:54
27-Feb-2012,Singapore CH,3,Hard,R32,310,81,0,,2,Go Soeda,Conor Niland,6-2 6-1,0.42,0.0%,13.9%,55.6%,50.0%,18.8%,1/6,30.9%,26.7%,8.9%,24.0%,30.0%,1/6,81,0,5,36,20,16,4,0:57
10-Feb-2012,Davis Cup G2 R1: HUN vs IRL,3,Carpet,RR,311,449,0,,,Attila Balazs,Conor Niland,6-1 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
10-Feb-2012,Davis Cup G2 R1: HUN vs IRL,3,Carpet,RR,311,575,0,,,Marton Fucsovics,Conor Niland,7-6(4) 6-4 6-7(3) 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
30-Jan-2012,Montpellier Q,3,Hard,Q2,321,143,0,,3,Pablo Carreno Busta,Conor Niland,4-6 6-2 7-6(5),0.80,0.0%,1.0%,78.4%,62.5%,36.4%,9/13,46.4%,34.4%,3.3%,25.9%,47.2%,3/4,192,0,1,102,80,22,3,2:14
30-Jan-2012,Montpellier Q,3,Hard,Q1,321,988,1,,,Conor Niland,Dorian Descloix,6-2 7-5,1.53,3.3%,9.8%,62.3%,78.9%,43.5%,2/4,59.3%,52.6%,10.5%,36.1%,81.0%,5/6,118,2,6,61,38,23,6,1:17
16-Jan-2012,Australian Open Q,3,Hard,Q1,286,206,0,,,Stephane Bohli,Conor Niland,6-3 6-2,0.47,0.0%,11.3%,66.2%,57.4%,33.3%,8/12,39.3%,23.9%,6.5%,16.7%,31.8%,1/3,117,0,8,71,47,24,3,1:48
14-Nov-2011,Salzburg CH,3,Hard,R16,209,269,0,,Q,Peter Gojowczyk,Conor Niland,6-3 6-3,0.63,3.2%,6.5%,51.6%,62.5%,36.7%,1/5,41.4%,31.5%,18.5%,17.6%,55.0%,1/5,116,2,4,62,32,30,10,1:08
14-Nov-2011,Salzburg CH,3,Hard,R32,209,184,1,,,Conor Niland,Ivan Navarro,6-1 6-0,1.93,8.7%,6.5%,71.7%,78.8%,46.2%,4/4,64.1%,58.7%,4.3%,50.0%,68.2%,5/14,92,4,3,46,33,13,2,0:57
