Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
21-Nov-2016,Tunisia F33,3,Clay,R32,1869,754,0,Q,,Jonathan Kanar,David Gorsic,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
3-Oct-2016,Hungary F8,3,Clay,R16,,413,0,Q,4,Sumit Nagal,David Gorsic,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
3-Oct-2016,Hungary F8,3,Clay,R32,,,1,Q,Q,David Gorsic,Gabor Janos Toth,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
15-Aug-2016,Austria F6,3,Clay,R32,1792,1213,0,Q,,Aljaz Radinski,David Gorsic,6-4 3-6 7-6(3),,,,,,,,,,,,,,,,,,,,,
29-Feb-2016,Croatia F1,3,Clay,R32,1448,,0,Q,Q,Kristijan Mesaros,David Gorsic,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
31-Aug-2015,Italy F25,3,Clay,R16,1562,835,0,Q,8,Nino Serdarusic,David Gorsic,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
31-Aug-2015,Italy F25,3,Clay,R32,1562,,1,Q,Q,David Gorsic,Alessandro Ceppellini,6-4 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
1-Jun-2015,Slovenia F1,3,Clay,R16,1747,438,0,Q,3,Kirill Dmitriev,David Gorsic,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
1-Jun-2015,Slovenia F1,3,Clay,R32,1747,1238,1,Q,Q,David Gorsic,Levente Godry,3-6 6-2 7-6(6),,,,,,,,,,,,,,,,,,,,,
4-May-2015,Croatia F8,3,Clay,R16,,595,0,Q,8,Jerome Inzerillo,David Gorsic,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
4-May-2015,Croatia F8,3,Clay,R32,,1651,1,Q,Q,David Gorsic,Antun Pehar,2-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
