Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
30-Jan-2023,M25 Antalya,3,Clay,R16,700,434,0,,8,Valerio Aboian,Davide Galoppini,2-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
30-Jan-2023,M25 Antalya,3,Clay,R32,700,1248,1,,WC,Davide Galoppini,Tuncay Duran,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15 Antalya,3,Clay,QF,673,482,0,,3,Yshai Oliel,Davide Galoppini,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15 Antalya,3,Clay,R16,673,647,1,,8,Davide Galoppini,Nicolas Zanellato,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15 Antalya,3,Clay,R32,673,971,1,,,Davide Galoppini,Adrian Oetzbach,4-6 6-2 6-0,,,,,,,,,,,,,,,,,,,,,
16-Jan-2023,M15 Antalya,3,Clay,R16,673,423,0,,3,Alex Marti Pujolras,Davide Galoppini,7-6(3) 6-3,,,,,,,,,,,,,,,,,,,,,
16-Jan-2023,M15 Antalya,3,Clay,R32,673,1408,1,,,Davide Galoppini,Matthias Ujvary,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
9-Jan-2023,M15 Antalya,3,Clay,R16,672,798,0,8,,Tom Gentzsch,Davide Galoppini,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
9-Jan-2023,M15 Antalya,3,Clay,R32,672,,1,8,WC,Davide Galoppini,Suleyman Deniz Gursoy,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
14-Nov-2022,M15 Antalya,3,Clay,QF,691,625,0,,7,Jorge Martinez Martinez,Davide Galoppini,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
14-Nov-2022,M15 Antalya,3,Clay,R16,691,384,1,,3,Davide Galoppini,Oleg Prihodko,6-0 0-6 7-6(1),,,,,,,,,,,,,,,,,,,,,
14-Nov-2022,M15 Antalya,3,Clay,R32,691,799,1,,,Davide Galoppini,Marsel Ilhan,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M25 Antalya,3,Clay,R16,692,244,0,,2,Daniel Michalski,Davide Galoppini,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M25 Antalya,3,Clay,R32,692,759,1,,,Davide Galoppini,Maxime Mora,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Antalya,3,Clay,R16,689,468,0,,6,Bogdan Bobrov,Davide Galoppini,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Antalya,3,Clay,R32,689,711,1,,,Davide Galoppini,Ivan Nedelko,7-6(4) 7-5,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Antalya,3,Clay,R32,697,,0,,WC,Nikola Basic,Davide Galoppini,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R16,695,263,0,,1,Daniel Michalski,Davide Galoppini,6-2 7-6(4),,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M25 Santa Margherita di Pula,3,Clay,R32,695,1965,1,,Q,Davide Galoppini,Federico Bertuccioli,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M25 Santa Margherita di Pula,3,Clay,QF,740,979,0,,,Andrea Basso,Davide Galoppini,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
