Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
16-Oct-2017,Israel F13,3,Hard,R16,630,2071,0,6,,Ram Kapach,Dekel Bar,6-2 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
16-Oct-2017,Israel F13,3,Hard,R32,630,,1,6,,Dekel Bar,Edan Bakshi,6-1 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
31-Jul-2017,USA F26,3,Hard,R32,593,980,0,4,,Evan Zhu,Dekel Bar,2-0 RET,,,,,,,,,,,,,,,,,,,,,
24-Jul-2017,Binghamton CH,3,Hard,R32,605,379,0,Q,Alt,Edward Corrie,Dekel Bar,6-3 6-2,0.74,1.5%,12.1%,48.5%,56.3%,47.1%,8/12,44.1%,36.1%,3.3%,31.6%,43.5%,1/4,127,1,8,66,32,34,2,1:22
24-Jul-2017,Binghamton CH,3,Hard,Q2,605,,1,4,WC,Dekel Bar,Shane Monroe,6-2 6-4,1.78,16.3%,4.1%,73.5%,75.0%,61.5%,3/4,61.0%,51.0%,2.0%,50.0%,52.6%,4/7,100,8,2,49,36,13,1,1:27
24-Jul-2017,Binghamton CH,3,Hard,Q1,605,,1,4,WC,Dekel Bar,Kushaan Nath,6-1 6-1,2.08,11.9%,11.9%,57.1%,87.5%,50.0%,2/2,65.5%,59.5%,2.4%,29.4%,80.0%,5/8,84,5,5,42,24,18,1,0:53
17-Jul-2017,Gatineau CH,3,Hard,Q2,604,312,0,,2,Sekou Bangoura,Dekel Bar,6-0 6-1,0.44,0.0%,2.3%,55.8%,45.8%,31.6%,1/6,33.3%,26.8%,4.9%,25.9%,28.6%,0/1,84,0,1,43,24,19,2,0:55
17-Jul-2017,Gatineau CH,3,Hard,Q1,604,,1,,WC,Dekel Bar,Edward Nguyen,4-6 6-4 6-4,1.04,4.3%,10.9%,53.3%,73.5%,46.5%,8/12,50.5%,40.6%,0.0%,24.4%,52.7%,5/11,188,4,10,92,49,43,0,2:11
10-Jul-2017,Winnipeg CH,3,Hard,Q2,620,1784,0,5,,Ronnie Schneider,Dekel Bar,6-2 7-6(1),0.70,4.6%,9.2%,60.0%,53.8%,57.7%,0/3,43.4%,31.3%,1.6%,25.0%,41.7%,1/5,129,3,6,65,39,26,1,1:30
26-Jun-2017,Israel F12,3,Hard,R16,622,917,0,4,,Vladimir Uzhylovsky,Dekel Bar,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
26-Jun-2017,Israel F12,3,Hard,R32,622,,1,4,WC,Dekel Bar,Ran Amar,6-1 7-6(3),,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Israel F11,3,Hard,QF,655,1090,0,4,,Fran Zvonimir Zgombic,Dekel Bar,7-6(3) 6-1,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Israel F11,3,Hard,R16,655,,1,4,Q,Dekel Bar,Jesse Flores,6-2 1-0 RET,,,,,,,,,,,,,,,,,,,,,
19-Jun-2017,Israel F11,3,Hard,R32,655,1976,1,4,Q,Dekel Bar,Franco Ribero,3-6 7-6(4) 6-4,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Israel F10,3,Hard,SF,659,299,0,,1,Albano Olivetti,Dekel Bar,4-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Israel F10,3,Hard,QF,659,893,1,,,Dekel Bar,Orel Ovil,6-2 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Israel F10,3,Hard,R16,659,502,1,,6,Dekel Bar,Peter Kobelt,6-7(3) 6-3 7-6(4),,,,,,,,,,,,,,,,,,,,,
12-Jun-2017,Israel F10,3,Hard,R32,659,1333,1,,Q,Dekel Bar,Yankel Zemel,6-2 6-7(5) 7-5,,,,,,,,,,,,,,,,,,,,,
5-Jun-2017,Israel F9,3,Hard,R32,699,827,0,6,,Mor Bulis,Dekel Bar,6-2 7-6(6),,,,,,,,,,,,,,,,,,,,,
22-May-2017,Israel F8,3,Hard,F,702,375,0,8,2,Filip Peliwo,Dekel Bar,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
22-May-2017,Israel F8,3,Hard,SF,702,306,1,8,1,Dekel Bar,Albano Olivetti,7-6(7) 6-4,,,,,,,,,,,,,,,,,,,,,
22-May-2017,Israel F8,3,Hard,QF,702,1191,1,8,Q,Dekel Bar,Shahar Elbaz,7-6(5) 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
22-May-2017,Israel F8,3,Hard,R16,702,1642,1,8,Q,Dekel Bar,Yannai Barkai,3-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
22-May-2017,Israel F8,3,Hard,R32,702,2074,1,8,Q,Dekel Bar,Daniel Dudockin,7-6(9) 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
15-May-2017,Israel F7,3,Hard,R16,703,379,0,,5,Filip Peliwo,Dekel Bar,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
15-May-2017,Israel F7,3,Hard,R32,703,1393,1,,Q,Dekel Bar,Jordan Hasson,7-6(4) 4-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
8-May-2017,Israel F6,3,Hard,R32,724,414,0,,4,Jared Hiltzik,Dekel Bar,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-2017,Israel F5,3,Hard,QF,729,392,0,8,4,David Guez,Dekel Bar,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
1-May-2017,Israel F5,3,Hard,R16,729,903,1,8,,Dekel Bar,Raphael Baltensperger,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
1-May-2017,Israel F5,3,Hard,R32,729,,1,8,Q,Dekel Bar,Nevo Gabriely,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
27-Mar-2017,Israel F3,3,Hard,QF,835,780,0,,7,Matias Franco Descotte,Dekel Bar,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
27-Mar-2017,Israel F3,3,Hard,R16,835,251,1,,1,Dekel Bar,Laurynas Grigelis,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
27-Mar-2017,Israel F3,3,Hard,R32,835,1378,1,,Q,Dekel Bar,Igor Smilansky,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
20-Mar-2017,Israel F2,3,Hard,QF,835,1378,0,,Q,Igor Smilansky,Dekel Bar,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
20-Mar-2017,Israel F2,3,Hard,R16,835,252,1,,1,Dekel Bar,Marsel Ilhan,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
20-Mar-2017,Israel F2,3,Hard,R32,835,812,1,,,Dekel Bar,Gabor Borsos,6-3 7-6(5),,,,,,,,,,,,,,,,,,,,,
13-Mar-2017,Israel F1,3,Hard,SF,826,405,0,,3,Edan Leshem,Dekel Bar,6-4 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
13-Mar-2017,Israel F1,3,Hard,QF,826,265,1,,2,Dekel Bar,Laurynas Grigelis,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
13-Mar-2017,Israel F1,3,Hard,R16,826,784,1,,8,Dekel Bar,Matias Franco Descotte,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
13-Mar-2017,Israel F1,3,Hard,R32,826,,1,,WC,Dekel Bar,Eitan Dray,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
6-Feb-2017,Turkey F5,3,Hard,QF,847,356,0,,2,Michal Konecny,Dekel Bar,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
6-Feb-2017,Turkey F5,3,Hard,R16,847,1010,1,,Q,Dekel Bar,Conor Berg,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
6-Feb-2017,Turkey F5,3,Hard,R32,847,865,1,,,Dekel Bar,Mircea Alexandru Jecan,3-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
30-Jan-2017,Turkey F4,3,Hard,R32,851,451,0,,3,Peter Kobelt,Dekel Bar,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
9-Jan-2017,USA F2,3,Hard,R32,854,581,0,,,Marcos Giron,Dekel Bar,2-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
2-Jan-2017,USA F1,3,Hard,R32,853,289,0,,2,Roberto Quiroz,Dekel Bar,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
12-Dec-2016,Israel F18,3,Hard,R16,748,847,0,8,,John Lamble,Dekel Bar,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
12-Dec-2016,Israel F18,3,Hard,R32,748,1393,1,8,PR,Dekel Bar,Eric Johnson,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
