Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Oct-2013,France F19,3,Hard,R32,UNR,UNR,0,Q,8,Mathieu Rodrigues,Diego Garcia,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
30-Sep-2013,France F18,3,Hard,R32,UNR,UNR,0,Q,4,Vincent Millot,Diego Garcia,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
16-Sep-2013,France F16,3,Hard,R32,UNR,UNR,0,Q,,Erik Crepaldi,Diego Garcia,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jul-2013,France F12,3,Clay,R32,UNR,UNR,0,WC,Q,Robin Almeida,Diego Garcia,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
24-Jun-2013,Belgium F2,3,Clay,R32,UNR,UNR,0,Q,Q,Christopher Heyman,Diego Garcia,6-7(4) 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
17-Jun-2013,Belgium F1,3,Clay,R32,UNR,UNR,0,Q,,Tak Khunn Wang,Diego Garcia,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
8-Apr-2013,France F7,3,Clay,R32,UNR,UNR,0,Q,1,Vincent Millot,Diego Garcia,6-7(3) 6-2 7-6(2),,,,,,,,,,,,,,,,,,,,,
21-Jan-2013,Mexico F1,3,Hard,R16,UNR,UNR,0,Q,6,Christopher Diaz Figueroa,Diego Garcia,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
21-Jan-2013,Mexico F1,3,Hard,R32,UNR,UNR,1,Q,Q,Diego Garcia,Alejandro Moreno Figueroa,6-7(2) 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
10-Sep-2012,France F16,3,Hard,R32,UNR,653,0,Q,,Kevin Botti,Diego Garcia,4-6 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
9-Jul-2012,France F13,3,Clay,R32,UNR,424,0,WC,,Olivier Patience,Diego Garcia,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
