Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Apr-2000,San Luis Potosi CH,3,Clay,R32,1138,90,0,WC,3,Nicolas Massu,Enrique Abaroa,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
3-Aug-1998,Tijuana CH,3,Hard,R32,1332,463,0,WC,,Adam Peterson,Enrique Abaroa,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
4-Oct-1993,Monterrey CH,3,Hard,R32,674,174,0,WC,,Lars Jonsson,Enrique Abaroa,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
28-Sep-1992,Monterrey CH,3,Hard,R32,753,153,0,WC,7,Danilo Marcelino,Enrique Abaroa,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
7-Sep-1992,US Open Jrs,3,Hard,QF,,,0,14,5,Mose Navarra,Enrique Abaroa,6-2 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
7-Sep-1992,US Open Jrs,3,Hard,R16,,,1,14,,Enrique Abaroa,Nicolas Lapentti,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
7-Sep-1992,US Open Jrs,3,Hard,R32,,,1,14,,Enrique Abaroa,Takao Suzuki,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
7-Sep-1992,US Open Jrs,3,Hard,R64,,,1,14,,Enrique Abaroa,Adam Peterson,2-6 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
27-Jun-1992,Wimbledon Jrs,3,Grass,R32,,,0,,10,David Skoch,Enrique Abaroa,6-4 0-6 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jun-1992,Wimbledon Jrs,3,Grass,R64,,,1,,,Enrique Abaroa,Tim Henman,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
31-May-1992,Roland Garros Jrs,3,Clay,R64,,,0,,,Mose Navarra,Enrique Abaroa,7-6(8) 6-1,,,,,,,,,,,,,,,,,,,,,
13-Apr-1992,San Luis Potosi CH,3,Clay,R32,1053,267,0,WC,Q,Alvaro Jordan,Enrique Abaroa,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
19-Jan-1992,Australian Open Jrs,3,Hard,R16,,,0,14,4,Taso Vasiliadis,Enrique Abaroa,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
19-Jan-1992,Australian Open Jrs,3,Hard,R32,,,1,14,,Enrique Abaroa,Mahesh Bhupathi,2-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
19-Jan-1992,Australian Open Jrs,3,Hard,R64,,,1,14,,Enrique Abaroa,Adam Norsworthy,6-4 5-7 7-5,,,,,,,,,,,,,,,,,,,,,
