Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-May-1972,Davis Cup EUR R1: ITA vs AUT,3,Clay,RR,,,0,,,Corrado Barazzutti,Ernst Blanke,6-2 0-6 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
19-Jul-1971,Kitzbuhel,3,Clay,R16,,,0,,,Geoff Masters,Ernst Blanke,6-2 6-7 5-7 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
19-Jul-1971,Kitzbuhel,3,Clay,R32,,,1,,,Ernst Blanke,Istvan Gulyas,7-5 7-5 1-6 1-6 7-5,,,,,,,,,,,,,,,,,,,,,
23-May-1969,Davis Cup EUR QF: ITA vs AUT,3,Clay,RR,,,0,,,Eugenio Castigliano,Ernst Blanke,1-6 6-3 3-6 4-4 RET,,,,,,,,,,,,,,,,,,,,,
23-May-1969,Davis Cup EUR QF: ITA vs AUT,3,Clay,RR,,,0,,,Nicola Pietrangeli,Ernst Blanke,3-6 7-5 6-2 1-6 8-6,,,,,,,,,,,,,,,,,,,,,
9-May-1969,Davis Cup EUR R1: NOR vs AUT,3,Clay,RR,,,1,,,Ernst Blanke,Jon Erik Ross,6-2 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
9-May-1969,Davis Cup EUR R1: NOR vs AUT,3,Clay,RR,,,1,,,Ernst Blanke,Finn Dag Jagge,6-2 6-2 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
6-May-1968,Rome,3,Clay,R128,,,0,,,Giuseppe Merlo,Ernst Blanke,6-1 6-0 7-5,,,,,,,,,,,,,,,,,,,,,
19-Aug-1967,Poertschach,3,Clay,SF,,,0,,,Tom Okker,Ernst Blanke,13-11 6-3,,,,,,,,,,,,,,,,,,,,,
19-Aug-1967,Poertschach,3,Clay,QF,,,1,,,Ernst Blanke,Patrick Hombergen,6-1 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
19-Aug-1967,Poertschach,3,Clay,R16,,,1,,,Ernst Blanke,Jiri Javorsky,6-4 0-6 6-3,,,,,,,,,,,,,,,,,,,,,
