Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
1-May-2023,Cagliari CH,3,Clay,Q1,1184,306,0,WC,6,Stefano Travaglia,Federico Bondioli,6-0 7-6(3),0.71,0.0%,12.7%,52.7%,37.9%,19.2%,4/11,39.3%,50.0%,1.9%,37.0%,64.0%,4/6,107,0,7,55,29,26,1,1:18
13-Mar-2023,M15 Sharm ElSheikh,3,Hard,R16,1229,789,0,,,Kareem Allaf,Federico Bondioli,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
13-Mar-2023,M15 Sharm ElSheikh,3,Hard,R32,1229,,1,,WC,Federico Bondioli,Artem Alekseychuk,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
6-Mar-2023,M15 Sharm ElSheikh,3,Hard,R32,1229,808,0,,,Duck Hee Lee,Federico Bondioli,6-2 RET,,,,,,,,,,,,,,,,,,,,,
28-Nov-2022,M15 Madrid,3,Hard,R16,1315,627,0,,5,Kalin Ivanovski,Federico Bondioli,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
28-Nov-2022,M15 Madrid,3,Hard,R32,1315,898,1,,,Federico Bondioli,Mario Mansilla Diez,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Salerno,3,Hard,QF,1666,717,0,,3,Marcello Serafini,Federico Bondioli,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Salerno,3,Hard,R16,1666,1124,1,,,Federico Bondioli,Lorenzo Bresciani,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Salerno,3,Hard,R32,1666,964,1,,8,Federico Bondioli,Stefanos Sakellaridis,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M15 Pescara,3,Clay,R16,1666,471,0,,1,Juan Bautista Otegui,Federico Bondioli,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M15 Pescara,3,Clay,R32,1666,1394,1,,Q,Federico Bondioli,Giovanni Calvano,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Lesa,3,Clay,R32,1652,467,0,Q,4,Gianmarco Ferrari,Federico Bondioli,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M25 Bolzano,3,Clay,R32,1612,457,0,WC,7,Luca Potenza,Federico Bondioli,7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M15 Frascati,3,Clay,R16,,448,0,,1,Benjamin Lock,Federico Bondioli,3-6 7-6(1) 6-1,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,M15 Frascati,3,Clay,R32,,688,1,,,Federico Bondioli,Francesco Vilardo,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
