Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Nov-2022,M15 Cordoba,3,Clay,R16,1391,449,0,WC,4,Valerio Aboian,Felipe De Dios,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M15 Cordoba,3,Clay,R32,1391,1183,1,WC,WC,Felipe De Dios,Mateo Del Pino,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Santa Cruz,3,Clay,R32,1510,451,0,Q,2,Valerio Aboian,Felipe De Dios,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Santa Cruz,3,Clay,R16,1714,631,0,Q,7,Tomas Farjat,Felipe De Dios,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Santa Cruz,3,Clay,R32,1714,1714,1,Q,Q,Felipe De Dios,Ignacio Novo,7-6(2) 6-3,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Cochabamba,3,Clay,R16,1706,784,0,,2,Nicolas Buitrago,Felipe De Dios,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Cochabamba,3,Clay,R32,1706,1238,1,,,Felipe De Dios,Sean Hess,6-2 2-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-Aug-2022,M25 Guayaquil,3,Clay,R16,,263,0,Q,1,Gonzalo Lama,Felipe De Dios,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
8-Aug-2022,M25 Guayaquil,3,Clay,R32,,1927,1,Q,WC,Felipe De Dios,Brandon Perez,6-2 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M25 Portoviejo,3,Clay,R32,,682,0,Q,,Matias Soto,Felipe De Dios,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
