Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
20-Mar-1973,Washington 2,3,Carpet,R32,,,0,,,Jimmy Connors,Francisco Castillo,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
15-Jul-1968,Milwaukee,3,Clay,R64,,,0,,,Clark Graebner,Francisco Castillo,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
8-Jul-1968,Indianapolis,3,Clay,R64,,,0,,,Butch Seewagen,Francisco Castillo,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
10-Jun-1968,Bristol,3,,R64,,,0,,,Keith Carpenter,Francisco Castillo,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
29-Apr-1968,Reggio Calabria,3,Clay,R32,,,0,,,Sergio Palmieri,Francisco Castillo,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
29-Apr-1968,Reggio Calabria,3,Clay,R64,,,1,,,Francisco Castillo,Giovanni Travia,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
22-Apr-1968,Naples,3,Clay,R32,,,0,,,Sergio Palmieri,Francisco Castillo,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
4-Jul-1965,Detroit,3,,R16,,,0,,,Lester Sack,Francisco Castillo,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
24-Jul-1961,River Forest,3,Clay,R64,,,0,,,Miguel Olvera,Francisco Castillo,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
14-Aug-1960,Newport,3,Grass,R64,,,0,,,Ramsey Earnhart,Francisco Castillo,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
8-Aug-1960,South Orange,3,Grass,R64,,,0,,,Bob Hewitt,Francisco Castillo,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
1-Aug-1960,Southampton,3,Grass,R64,,,0,,,John Sharpe,Francisco Castillo,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
18-Jul-1960,River Forest,3,Clay,R64,,,0,,,Tut Bartzen,Francisco Castillo,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
