Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
4-Jan-1964,Australian Open,5,Grass,R32,,,0,,,Ken Fletcher,Fred Sherriff,3-6 6-3 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
4-Jan-1964,Australian Open,5,Grass,R64,,,1,,,Fred Sherriff,A Morrell,6-1 6-0 6-3,,,,,,,,,,,,,,,,,,,,,
28-Aug-1963,US Open,5,Grass,R128,,,0,,,Billy Higgins,Fred Sherriff,6-2 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
22-Nov-1962,Sydney,3,Grass,R64,,,0,,,Graham Stilwell,Fred Sherriff,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
8-Oct-1962,Sydney Strathfield,3,Grass,R64,,,0,,,Geoff Pares,Fred Sherriff,7-5 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
30-Jan-1962,Hobart,3,Grass,QF,,,0,,,Rod Laver,Fred Sherriff,6-1 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
30-Jan-1962,Hobart,3,Grass,R16,,,1,,,Fred Sherriff,D Keogh,5-7 6-3 6-0,,,,,,,,,,,,,,,,,,,,,
5-Jan-1962,Australian Open,5,Grass,R32,,,0,,,Rod Laver,Fred Sherriff,6-0 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
5-Jan-1962,Australian Open,5,Grass,R64,,,1,,,Fred Sherriff,John Hession,6-2 8-6 6-2,,,,,,,,,,,,,,,,,,,,,
15-Dec-1961,Sydney,3,Grass,R64,,,0,,,Colin Stubs,Fred Sherriff,8-10 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
4-Dec-1961,Melbourne,3,Grass,R64,,,0,,,Barry Geraghty,Fred Sherriff,0-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
9-Nov-1961,Sydney Metro,3,Clay,R64,,,0,,,Alan Bailey,Fred Sherriff,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
16-Oct-1961,Rockdale,3,Clay,R32,,,0,,,Ian Paton,Fred Sherriff,6-4 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
9-Oct-1961,Sydney Strathfield,3,Grass,R32,,,0,,,Rod Laver,Fred Sherriff,4-6 8-6 6-3,,,,,,,,,,,,,,,,,,,,,
9-Oct-1961,Sydney Strathfield,3,Grass,R64,,,1,,,Fred Sherriff,G Herring,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
10-Nov-1960,Sydney,3,Grass,R64,,,0,,,Jim Shepherd,Fred Sherriff,6-1 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
29-Aug-1960,Sydney Metro Hard,3,Clay,R32,,,0,,,John Newcombe,Fred Sherriff,4-6 8-6 6-3,,,,,,,,,,,,,,,,,,,,,
29-Aug-1960,Sydney Metro Hard,3,Clay,R64,,,1,,,Fred Sherriff,Rod Humphries,7-5 10-8,,,,,,,,,,,,,,,,,,,,,
3-May-1960,Canterbury,3,Clay,R16,,,0,,,Allen Shapter,Fred Sherriff,6-2 6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
17-Mar-1960,Bathurst,3,Clay,R32,,,0,,,Graham Lovett,Fred Sherriff,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
12-Oct-1959,Sydney Strathfield,3,Grass,R32,,,0,,,Max Anderson,Fred Sherriff,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
