Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
27-Feb-2023,M15 Antalya,3,Clay,QF,873,364,0,WC,4,Edoardo Lavagno,Gabriel Donev,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
27-Feb-2023,M15 Antalya,3,Clay,R16,873,,1,WC,,Gabriel Donev,Daniel Vallejo,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
27-Feb-2023,M15 Antalya,3,Clay,R32,873,1414,1,WC,,Gabriel Donev,Matthias Ujvary,6-4 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
20-Feb-2023,M15 Antalya,3,Clay,R32,874,405,0,,5,Andrey Chepelev,Gabriel Donev,5-7 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
5-Dec-2022,M15 Antalya,3,Clay,R32,868,907,0,,,Fabrizio Andaloro,Gabriel Donev,1-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Sozopol,3,Hard,R16,879,482,0,,4,Maks Kasnikowski,Gabriel Donev,6-0 7-6(2),,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Sozopol,3,Hard,R32,879,1793,1,,Q,Gabriel Donev,Gabriel Matuszewski,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M15 Sozopol,3,Hard,R16,892,504,0,,3,Maks Kasnikowski,Gabriel Donev,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M15 Sozopol,3,Hard,R32,892,821,1,,,Gabriel Donev,Petr Nesterov,6-3 7-6(3),,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M15 Sozopol,3,Hard,R16,884,564,0,,5,Robert Strombachs,Gabriel Donev,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M15 Sozopol,3,Hard,R32,884,1213,1,,Q,Gabriel Donev,Dominik Recek,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
19-Sep-2022,M25 Pirot,3,Clay,QF,944,517,0,,5,Corentin Denolly,Gabriel Donev,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-2022,M25 Pirot,3,Clay,R16,944,885,1,,,Gabriel Donev,Domagoj Biljesko,5-7 6-2 7-5,,,,,,,,,,,,,,,,,,,,,
19-Sep-2022,M25 Pirot,3,Clay,R32,944,,1,,WC,Gabriel Donev,Niksa Arsic,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
