Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
10-Oct-2016,Ecuador F1,3,Clay,R32,2002,772,0,,6,Luis Patino,Gerardo Irarrazabal,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
4-Jul-2016,Brazil F2,3,Clay,R32,2086,670,0,Q,3,Alexandre Tsuchiya,Gerardo Irarrazabal,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jun-2016,Brazil F1,3,Clay,R32,2086,586,0,Q,3,Thales Turini,Gerardo Irarrazabal,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
16-May-2016,Argentina F7,3,Clay,R32,2047,733,0,Q,,Gabriel Alejandro Hidalgo,Gerardo Irarrazabal,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
7-Dec-2015,Chile F9,3,Clay,R32,2173,486,0,WC,6,Guillermo Rivera Aranguiz,Gerardo Irarrazabal,6-2 3-6 6-0,,,,,,,,,,,,,,,,,,,,,
12-Oct-2015,Chile F7,3,Clay,R16,UNR,290,0,WC,2,Gonzalo Lama,Gerardo Irarrazabal,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
12-Oct-2015,Chile F7,3,Clay,R32,UNR,1880,1,WC,Q,Gerardo Irarrazabal,Vicente Lagos,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
5-Oct-2015,Chile F6,3,Clay,R32,UNR,691,0,WC,6,Jorge Montero,Gerardo Irarrazabal,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
22-Jun-2015,Brazil F3,3,Clay,R32,UNR,565,0,Q,7,Orlando Luz,Gerardo Irarrazabal,6-1 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
16-Feb-2015,Chile F1,3,Clay,R32,UNR,425,0,WC,,Tomas Lipovsek Puches,Gerardo Irarrazabal,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
15-Dec-2014,Chile F11,3,Clay,R32,UNR,437,0,Q,5,Guillermo Rivera Aranguiz,Gerardo Irarrazabal,6-1 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
1-Dec-2014,Chile F9,3,Clay,R32,UNR,1503,0,WC,WC,Michel Vernier,Gerardo Irarrazabal,6-2 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
29-Sep-2014,Chile F4,3,Clay,R32,UNR,1052,0,Q,,Joao Walendowsky,Gerardo Irarrazabal,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
30-Sep-2013,Chile F5,3,Clay,R32,UNR,1069,0,WC,Q,Francisco Bahamonde,Gerardo Irarrazabal,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
