Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
12-Dec-2016,Chile F7,3,Clay,R32,1298,718,0,WC,,Alejandro Tabilo,Geronimo Barrios,6-1 7-6(5),,,,,,,,,,,,,,,,,,,,,
28-Nov-2016,Chile F5,3,Clay,R32,1513,1268,0,WC,,Tomas Gerini,Geronimo Barrios,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
21-Nov-2016,Colombia F8,3,Clay,QF,1516,431,0,Q,4,Alejandro Gomez Gb42,Geronimo Barrios,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
21-Nov-2016,Colombia F8,3,Clay,R16,1516,,1,Q,Q,Geronimo Barrios,Alejandro Hoyos Franco,6-7(5) 7-5 7-5,,,,,,,,,,,,,,,,,,,,,
21-Nov-2016,Colombia F8,3,Clay,R32,1516,538,1,Q,6,Geronimo Barrios,Lucas Gomez,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
17-Oct-2016,Colombia F6,3,Clay,R16,,1339,0,,,Michel Vernier,Geronimo Barrios,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
17-Oct-2016,Colombia F6,3,Clay,R32,,,1,,Q,Geronimo Barrios,Alexandre Gabriel Rodrigues Girotto,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-2016,Colombia F5,3,Clay,R16,1752,433,0,Q,1,Marcelo Tomas Barrios Vera,Geronimo Barrios,6-2 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
10-Oct-2016,Colombia F5,3,Clay,R32,1752,862,1,Q,,Geronimo Barrios,Wilson Leite,6-2 4-6 7-6(4),,,,,,,,,,,,,,,,,,,,,
4-Jul-2016,Cali CH,3,Clay,Q1,2029,632,0,,8,Manuel Sanchez,Geronimo Barrios,6-1 6-4,0.64,4.4%,17.8%,40.0%,66.7%,48.1%,0/3,40.0%,28.3%,8.3%,16.2%,47.8%,0/0,105,2,8,45,18,27,5,1:06
27-Jun-2016,Colombia F3,3,Clay,R32,2029,987,0,Q,Q,Victor Nunez,Geronimo Barrios,4-6 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
7-Mar-2016,Santiago CH,3,Clay,Q2,1656,341,0,WC,2,Maximiliano Estevez,Geronimo Barrios,6-3 6-3,0.49,2.1%,10.4%,50.0%,70.8%,50.0%,1/4,40.4%,19.6%,2.2%,18.9%,22.2%,0/2,94,1,5,48,24,24,1,1:00
7-Mar-2016,Santiago CH,3,Clay,Q1,1656,847,1,WC,8,Geronimo Barrios,Ricardo Urzua Rivera,3-6 7-6(2) 6-2,1.15,3.0%,7.9%,49.5%,62.0%,58.8%,10/15,52.6%,45.5%,0.0%,34.3%,62.2%,6/14,213,3,8,101,50,51,0,2:20
5-Oct-2015,Chile F6,3,Clay,R16,2127,1992,0,Q,Q,Vicente Lagos,Geronimo Barrios,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
5-Oct-2015,Chile F6,3,Clay,R32,2127,2063,1,Q,,Geronimo Barrios,Joaquin Moriones,4-6 7-6(2) 6-4,,,,,,,,,,,,,,,,,,,,,
31-Aug-2015,Turkey F35,3,Hard,R32,2095,769,0,,8,Jaume Pla Malfeito,Geronimo Barrios,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
6-Jul-2015,Colombia F5,3,Clay,R32,1907,1354,0,Q,,Michael Quintero,Geronimo Barrios,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-Jun-2015,Colombia F4,3,Hard,R32,1907,1532,0,Q,,Mateo Andres Ruiz Naranjo,Geronimo Barrios,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
25-May-2015,Colombia F3,3,Clay,R16,,509,0,Q,7,Ricardo Hocevar,Geronimo Barrios,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
25-May-2015,Colombia F3,3,Clay,R32,,1686,1,Q,WC,Geronimo Barrios,Mateo Andres Ruiz Naranjo,3-6 6-4 7-6(11),,,,,,,,,,,,,,,,,,,,,
16-Feb-2015,Chile F1,3,Clay,R32,,885,0,WC,WC,Jorge Montero,Geronimo Barrios,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
