Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-Aug-2024,M15 Curtea de Arges,3,Clay,R16,2088,953,0,Q,,Rafael Tosetto,Gheorghe Claudiu Schinteie,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
5-Aug-2024,M15 Curtea de Arges,3,Clay,R32,2088,,1,Q,LL,Gheorghe Claudiu Schinteie,Constantin Radu,1-6 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
24-Jun-2024,M25 Satu Mare,3,Clay,R32,2050,1915,0,LL,Q,Filip Gabriel Bara,Gheorghe Claudiu Schinteie,2-6 6-3 7-6(5),,,,,,,,,,,,,,,,,,,,,
27-May-2024,M15 Constanta,3,Clay,R32,1999,,0,Q,WC,Yannick Alexandrescou,Gheorghe Claudiu Schinteie,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
1-Apr-2024,M25 Hammamet,3,Clay,R32,1982,,0,Q,Q,Matteo Fondriest,Gheorghe Claudiu Schinteie,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M15 Alaminos-Larnaca,3,Clay,R32,1862,,0,Q,Q,Iannis Miletich,Gheorghe Claudiu Schinteie,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M15 Alaminos-Larnaca,3,Clay,R32,1854,1160,0,LL,Q,Michael Shaw,Gheorghe Claudiu Schinteie,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M25 Antalya,3,,R16,,478,0,Q,7,Jay Clarke,Gheorghe Claudiu Schinteie,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M25 Antalya,3,,R32,,,1,Q,WC,Gheorghe Claudiu Schinteie,Alp Horoz,6-2 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M15 Satu Mare,3,Clay,R32,,958,0,WC,8,Calin Manda,Gheorghe Claudiu Schinteie,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
24-Apr-2023,M15 Alaminos-Larnaca,3,Clay,R32,,,0,Q,Q,Shunsuke Wakita,Gheorghe Claudiu Schinteie,6-4 6-7(6) 6-4,,,,,,,,,,,,,,,,,,,,,
23-Jan-2023,M15 Cairo,3,Clay,R32,,725,0,Q,8,Lorenzo Bocchi,Gheorghe Claudiu Schinteie,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Constanta,3,Clay,R32,,1666,0,Q,Q,Valerio Perruzza,Gheorghe Claudiu Schinteie,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M25 Pitesti,3,Clay,R32,,378,0,Q,8,Alex Marti Pujolras,Gheorghe Claudiu Schinteie,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
27-Jun-2022,M15 Belgrade,3,Clay,R32,,658,0,Q,6,Calin Manda,Gheorghe Claudiu Schinteie,6-2 3-0 RET,,,,,,,,,,,,,,,,,,,,,
6-Dec-2021,M15 Antalya,3,Clay,R32,,1861,0,Q,Q,Federico Marchetti,Gheorghe Claudiu Schinteie,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
