Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-May-1961,Davis Cup EUR R1: ROU vs RSA,3,Clay,RR,,,0,,,Abe Segal,Gheorghe Viziru,6-1 7-5 6-4,,,,,,,,,,,,,,,,,,,,,
5-May-1961,Davis Cup EUR R1: ROU vs RSA,3,Clay,RR,,,0,,,Julius Mayer,Gheorghe Viziru,8-10 7-5 3-6 7-5 6-0,,,,,,,,,,,,,,,,,,,,,
22-Apr-1960,Davis Cup EUR R1: ROU vs POL,3,Clay,RR,,,1,,,Gheorghe Viziru,Wieslaw Gasiorek,6-3 3-6 6-4 2-6 6-3,,,,,,,,,,,,,,,,,,,,,
22-Apr-1960,Davis Cup EUR R1: ROU vs POL,3,Clay,RR,,,1,,,Gheorghe Viziru,Wladyslaw Skonecki,6-1 6-2 8-6,,,,,,,,,,,,,,,,,,,,,
12-Jun-1959,Davis Cup EUR QF: FRA vs ROU,3,Clay,RR,,,0,,,Robert Haillet,Gheorghe Viziru,6-4 6-2 6-0,,,,,,,,,,,,,,,,,,,,,
12-Jun-1959,Davis Cup EUR QF: FRA vs ROU,3,Clay,RR,,,0,,,Pierre Darmon,Gheorghe Viziru,6-3 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
15-May-1959,Davis Cup EUR R2: ROU vs NZL,3,Clay,RR,,,1,,,Gheorghe Viziru,Mark Otway,3-6 7-5 6-0 6-1,,,,,,,,,,,,,,,,,,,,,
15-May-1959,Davis Cup EUR R2: ROU vs NZL,3,Clay,RR,,,1,,,Gheorghe Viziru,Lew Gerrard,6-0 6-4 8-6,,,,,,,,,,,,,,,,,,,,,
17-Apr-1959,Davis Cup EUR R1: EGY vs ROU,3,,RR,,,1,,,Gheorghe Viziru,Ibrahim Badreldin Sayed,6-1 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
17-Apr-1959,Davis Cup EUR R1: EGY vs ROU,3,,RR,,,1,,,Gheorghe Viziru,Kamel Moubarek,6-4 3-6 0-6 8-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jun-1958,Budapest,3,,SF,,,0,,,Istvan Gulyas,Gheorghe Viziru,6-3 4-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
8-Jun-1958,Budapest,3,,QF,,,1,,,Gheorghe Viziru,Sheng Kang Wu,6-3 6-2 6-8 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
8-Jun-1958,Budapest,3,,R16,,,1,,,Gheorghe Viziru,Wolfgang Stuck,7-5 7-5,,,,,,,,,,,,,,,,,,,,,
8-Jun-1958,Budapest,3,,R32,,,1,,,Gheorghe Viziru,Laszlo Lenart,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
1-May-1958,Roland Garros,5,Clay,R128,,,0,,,Mario Llamas,Gheorghe Viziru,4-6 2-6 6-1 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
27-Apr-1957,Davis Cup EUR R1: ROU vs AUT,3,Clay,RR,,,0,,,Alfred Huber,Gheorghe Viziru,6-1 6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
27-Apr-1957,Davis Cup EUR R1: ROU vs AUT,3,Clay,RR,,,0,,,Franz Saiko,Gheorghe Viziru,5-7 2-6 8-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-1948,Davis Cup EUR R1: ROU vs FRA,3,Clay,RR,,,1,,,Gheorghe Viziru,Bernard Destremeau,6-3 6-2 7-5,,,,,,,,,,,,,,,,,,,,,
1-May-1948,Davis Cup EUR R1: ROU vs FRA,3,Clay,RR,,,0,,,Marcel Bernard,Gheorghe Viziru,6-2 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
