Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
19-Aug-2024,M25 Lesa,3,Clay,QF,1065,570,0,,,Gianluca Cadenasso,Gian Marco Ortenzi,6-7(7) 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
19-Aug-2024,M25 Lesa,3,Clay,R16,1065,311,1,,2,Gian Marco Ortenzi,Giovanni Fonio,7-6(6) 6-4,,,,,,,,,,,,,,,,,,,,,
19-Aug-2024,M25 Lesa,3,Clay,R32,1065,1531,1,,Q,Gian Marco Ortenzi,Marco Furlanetto,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
12-Aug-2024,M15 Sofia,3,Clay,R32,1107,,0,,WC,Ivan Ivanov,Gian Marco Ortenzi,6-4 0-6 6-1,,,,,,,,,,,,,,,,,,,,,
5-Aug-2024,M25 Montesilvano,3,Clay,R16,1114,378,0,,2,Moez Echargui,Gian Marco Ortenzi,7-5 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
5-Aug-2024,M25 Montesilvano,3,Clay,R32,1114,1117,1,,,Gian Marco Ortenzi,Alessandro Bellifemine,6-3 7-6(3),,,,,,,,,,,,,,,,,,,,,
8-Jul-2024,M15 Umag,3,Clay,R32,1098,635,0,,4,Mili Poljicak,Gian Marco Ortenzi,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
10-Jun-2024,M15 Chieti,3,Clay,R32,1096,785,0,Q,,Samuele Pieri,Gian Marco Ortenzi,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
27-May-2024,M15 Gyula,3,Clay,SF,1237,684,0,,3,Peter Fajta,Gian Marco Ortenzi,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
27-May-2024,M15 Gyula,3,Clay,QF,1237,592,1,,2,Gian Marco Ortenzi,Pawel Cias,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
27-May-2024,M15 Gyula,3,Clay,R16,1237,842,1,,5,Gian Marco Ortenzi,Aleksandr Braynin,6-4 7-6(2),,,,,,,,,,,,,,,,,,,,,
27-May-2024,M15 Gyula,3,Clay,R32,1237,,1,,WC,Gian Marco Ortenzi,Botond Kisantal,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M15 Antalya,3,Clay,QF,1373,788,0,Q,,Stijn Slump,Gian Marco Ortenzi,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M15 Antalya,3,Clay,R16,1373,876,1,Q,,Gian Marco Ortenzi,Arthur Reymond,6-3 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M15 Antalya,3,Clay,R32,1373,420,1,Q,2,Gian Marco Ortenzi,Marat Sharipov,6-4 6-7(6) 6-0,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Antalya,3,Clay,R16,1660,643,0,Q,4,Gian Marco Moroni,Gian Marco Ortenzi,3-1 RET,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M15 Antalya,3,Clay,R32,1660,1167,1,Q,Q,Gian Marco Ortenzi,Mihai Razvan Marinescu,6-4 2-6 7-6(4),,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Antalya,3,Clay,R16,1663,387,0,Q,1,Martin Krumich,Gian Marco Ortenzi,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Antalya,3,Clay,R32,1663,838,1,Q,,Gian Marco Ortenzi,Niccolo Catini,2-6 7-6(3) 6-3,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M15 San Gregorio di Catania,3,,R32,1649,287,0,Q,1,Salvatore Caruso,Gian Marco Ortenzi,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
23-Oct-2023,M25 Santa Margherita di Pula,3,Clay,R32,1668,515,0,Q,,Fausto Tabacco,Gian Marco Ortenzi,6-4 7-6(5),,,,,,,,,,,,,,,,,,,,,
9-Oct-2023,M25 Santa Margherita di Pula,3,Clay,R16,1683,244,0,Q,2,Goncalo Oliveira,Gian Marco Ortenzi,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
9-Oct-2023,M25 Santa Margherita di Pula,3,Clay,R32,1683,488,1,Q,,Gian Marco Ortenzi,Gianmarco Ferrari,6-2 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
11-Sep-2023,M25 Pozzuoli,3,Hard,R32,1483,2027,0,Q,Q,Stefano Dagostino,Gian Marco Ortenzi,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,M15 Bucharest,3,Clay,R16,1674,940,0,Q,8,Jesse Flores,Gian Marco Ortenzi,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
