Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
28-Sep-2015,Turkey F39,3,Hard,R32,1322,1278,0,,,Ken Onishi,Halit Berke Mangaloglu,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jul-2015,Spain F23,3,Clay,R16,1422,450,0,,4,Marc Giner,Halit Berke Mangaloglu,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
27-Jul-2015,Spain F23,3,Clay,R32,1422,UNR,1,,WC,Halit Berke Mangaloglu,Fariduni Bakhodur,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
18-May-2015,Algeria F3,3,Clay,R16,1739,805,0,Q,6,Sadio Doumbia,Halit Berke Mangaloglu,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
18-May-2015,Algeria F3,3,Clay,R32,1739,UNR,1,Q,Q,Halit Berke Mangaloglu,Khalil Boudjadi,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
11-May-2015,Algeria F2,3,Clay,R16,UNR,UNR,0,Q,WC,Abdelhak Hameurlaine,Halit Berke Mangaloglu,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
11-May-2015,Algeria F2,3,Clay,R32,UNR,UNR,1,Q,WC,Halit Berke Mangaloglu,Youcef Ghezal,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
4-May-2015,Algeria F1,3,Clay,R16,UNR,700,0,Q,3,Yannick Thivant,Halit Berke Mangaloglu,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
4-May-2015,Algeria F1,3,Clay,R32,UNR,UNR,1,Q,Q,Halit Berke Mangaloglu,Danyal Sualehe,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
27-May-2013,Morocco F1,3,Clay,R32,UNR,247,0,Q,1,Sergio Gutierrez Ferrol,Halit Berke Mangaloglu,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
