Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
3-Jun-1991,Furth CH,3,Clay,R16,363,163,0,Q,,Marcos Aurelio Gorriz,Hans Schwaier,1-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
3-Jun-1991,Furth CH,3,Clay,R32,363,28,1,Q,1,Hans Schwaier,Ronald Agenor,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 1,3,Clay,F,378,518,0,,LL,Ingo Kroll,Hans Schwaier,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 1,3,Clay,SF,378,339,1,,8,Hans Schwaier,Markus Zillner,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 1,3,Clay,QF,378,306,1,,6,Hans Schwaier,Sander Groen,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 1,3,Clay,R16,378,253,1,,3,Hans Schwaier,Francesco Michelotti,6-7 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 2,3,Clay,R16,378,339,0,,7,Markus Zillner,Hans Schwaier,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 4,3,Clay,R16,378,525,0,7,,Dirk Leppen,Hans Schwaier,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 1,3,Clay,R32,378,405,1,,,Hans Schwaier,Jorgen Windahl,6-4 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 2,3,Clay,R32,378,717,1,,Q,Hans Schwaier,Stephane Huet,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
14-Apr-1991,Germany 2 Masters 3,3,Clay,R32,378,502,0,5,,Heiner Moraing,Hans Schwaier,6-4 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
8-Oct-1990,Casablanca CH,3,Clay,QF,310,296,0,Q,LL,Jose Luis Aparisi,Hans Schwaier,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
8-Oct-1990,Casablanca CH,3,Clay,R16,310,110,1,Q,4,Hans Schwaier,Fernando Luna,W/O,,,,,,,,,,,,,,,,,,,,,
8-Oct-1990,Casablanca CH,3,Clay,R32,310,262,1,Q,,Hans Schwaier,Frederik Fetterlein,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
16-Jul-1990,Stuttgart Outdoor,3,Clay,R64,277,72,0,Q,,Tomas Carbonell,Hans Schwaier,2-6 7-6 6-3,,,,,,,,,,,,,,,,,,,,,
25-Jun-1990,Turin CH,3,Clay,R16,284,149,0,Q,,Renzo Furlan,Hans Schwaier,2-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
25-Jun-1990,Turin CH,3,Clay,R32,284,518,1,Q,Q,Hans Schwaier,Nicola Bruno,7-6 6-1,,,,,,,,,,,,,,,,,,,,,
28-May-1990,Roland Garros,5,Clay,R128,274,199,0,Q,WC,Eric Winogradsky,Hans Schwaier,6-4 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
30-Apr-1990,Munich,3,Clay,R32,270,69,0,WC,,Karel Novacek,Hans Schwaier,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
16-Apr-1990,Mexico City CH,3,Clay,R32,237,169,0,,,Leonardo Lavalle,Hans Schwaier,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
9-Apr-1990,San Luis Potosi CH,3,Clay,R32,240,119,0,,4,Malivai Washington,Hans Schwaier,4-6 6-3 6-2,,,,,,,,,,,,,,,,,,,,,
22-Jan-1990,Heilbronn CH,3,Carpet,R32,233,218,0,,,Martin Sinner,Hans Schwaier,3-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
2-Oct-1989,Casablanca CH,3,Clay,QF,323,71,0,WC,1,Mark Koevermans,Hans Schwaier,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
2-Oct-1989,Casablanca CH,3,Clay,R16,323,215,1,WC,,Hans Schwaier,Christian Miniussi,3-6 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
2-Oct-1989,Casablanca CH,3,Clay,R32,323,361,1,WC,Q,Hans Schwaier,Daniel Orsanic,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
