Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
13-May-2024,M25 Pensacola FL,3,Clay,QF,556,374,0,8,4,Andres Andrade,Harrison Adams,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
13-May-2024,M25 Pensacola FL,3,Clay,R16,556,1376,1,8,WC,Harrison Adams,Ryan Dickerson,3-6 6-4 7-6(5),,,,,,,,,,,,,,,,,,,,,
13-May-2024,M25 Pensacola FL,3,Clay,R32,556,1701,1,8,Q,Harrison Adams,Phillip Jordan,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
29-Apr-2024,M25 Anapoima,3,Clay,SF,654,291,0,4,1,Nicolas Mejia,Harrison Adams,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
29-Apr-2024,M25 Anapoima,3,Clay,QF,654,758,1,4,6,Harrison Adams,Mateo Barreiros Reyes,7-5 7-6(9),,,,,,,,,,,,,,,,,,,,,
29-Apr-2024,M25 Anapoima,3,Clay,R16,654,,1,4,WC,Harrison Adams,Salvador Price,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
29-Apr-2024,M25 Anapoima,3,Clay,R32,654,1256,1,4,,Harrison Adams,Pavlos Tsitsipas,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,F,654,1048,0,3,,Juan Sebastian Gomez,Harrison Adams,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,SF,654,1331,1,3,,Harrison Adams,Thijmen Loof,7-6(4) 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,QF,654,1091,1,3,,Harrison Adams,Juan Estevez,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,R16,654,1940,1,3,Q,Harrison Adams,Pranav Kumar,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,R32,654,1035,1,3,,Harrison Adams,Leonid Sheyngezikht,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M25 Maceio,3,Clay,QF,764,381,0,5,1,Mateus Alves,Harrison Adams,7-6(5) 7-6(2),,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M25 Maceio,3,Clay,R16,764,1862,1,5,Q,Harrison Adams,Enrique Bogo,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M25 Maceio,3,Clay,R32,764,1248,1,5,,Harrison Adams,Petr Iamachkine,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M25 Feira de Santana,3,Hard,F,771,276,0,,1,Dmitry Popko,Harrison Adams,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M25 Feira de Santana,3,Hard,SF,771,392,1,,4,Harrison Adams,Mateus Alves,6-4 7-6(7),,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M25 Feira de Santana,3,Hard,QF,771,,1,,Q,Harrison Adams,Joaquim Almeida,7-6(3) 6-0,,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M25 Feira de Santana,3,Hard,R16,771,336,1,,2,Harrison Adams,Pedro Sakamoto,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
11-Mar-2024,M25 Feira de Santana,3,Hard,R32,771,834,1,,,Harrison Adams,Mateo Barreiros Reyes,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M25 Recife,3,Clay,R16,771,250,0,,1,Juan Pablo Ficovich,Harrison Adams,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,M25 Recife,3,Clay,R32,771,,1,,WC,Harrison Adams,Wallace Oliveira,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
5-Feb-2024,M15 Sunrise FL,3,Clay,R16,779,758,0,,,Peter Bertran,Harrison Adams,7-5 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
5-Feb-2024,M15 Sunrise FL,3,Clay,R32,779,959,1,,LL,Harrison Adams,Jaycer Lyeons,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
22-Jan-2024,M25 Wesley Chapel FL,3,Hard,QF,812,321,0,,1,Toby Alex Kodat,Harrison Adams,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
22-Jan-2024,M25 Wesley Chapel FL,3,Hard,R16,812,493,1,,5,Harrison Adams,Nathan Ponwith,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
22-Jan-2024,M25 Wesley Chapel FL,3,Hard,R32,812,922,1,,,Harrison Adams,Collin Altamirano,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
15-Jan-2024,M25 Ithaca NY,3,Hard,R32,812,857,0,,,Karue Sell,Harrison Adams,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
18-Dec-2023,M15 Papamoa,3,,QF,834,1177,0,6,,Corban Crowther,Harrison Adams,3-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
18-Dec-2023,M15 Papamoa,3,,R16,834,,1,6,Q,Harrison Adams,Sam Ryan Ziegann,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
18-Dec-2023,M15 Papamoa,3,,R32,834,1014,1,6,,Harrison Adams,James Watt,6-3 6-7(5) 6-3,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M25 Kalaburagi,3,,R16,941,695,0,,7,David Pichler,Harrison Adams,7-6(6) 6-3,,,,,,,,,,,,,,,,,,,,,
27-Nov-2023,M25 Kalaburagi,3,,R32,941,1467,1,,PR,Harrison Adams,Dev Javia,7-5 6-1,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M25 Mumbai,3,,SF,969,874,0,Q,,Siddharth Vishwakarma,Harrison Adams,7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M25 Mumbai,3,,QF,969,263,1,Q,1,Harrison Adams,Evgeny Donskoy,6-3 7-6(4),,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M25 Mumbai,3,,R16,969,701,1,Q,8,Harrison Adams,David Pichler,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
20-Nov-2023,M25 Mumbai,3,,R32,969,759,1,Q,,Harrison Adams,Karan Singh,6-4 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M15 Sharm ElSheikh,3,,R16,969,821,0,WC,,Petr Bar Biryukov,Harrison Adams,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M15 Sharm ElSheikh,3,,R32,969,,1,WC,WC,Harrison Adams,Carson Baker,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
30-Oct-2023,M25 Sharm ElSheikh,3,Hard,SF,1295,1077,0,Q,Q,Petr Bar Biryukov,Harrison Adams,6-3 7-6(4),,,,,,,,,,,,,,,,,,,,,
30-Oct-2023,M25 Sharm ElSheikh,3,Hard,QF,1295,498,1,Q,8,Harrison Adams,Jay Clarke,6-2 3-1 RET,,,,,,,,,,,,,,,,,,,,,
30-Oct-2023,M25 Sharm ElSheikh,3,Hard,R16,1295,365,1,Q,1,Harrison Adams,Marek Gengel,7-6(1) 6-1,,,,,,,,,,,,,,,,,,,,,
30-Oct-2023,M25 Sharm ElSheikh,3,Hard,R32,1295,610,1,Q,,Harrison Adams,Amr Elsayed Abdou Ahmed Mohamed,6-4 3-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
23-Oct-2023,M15 Sharm ElSheikh,3,Hard,R16,,392,0,Q,2,Mohamed Safwat,Harrison Adams,7-6(6) 7-6(8),,,,,,,,,,,,,,,,,,,,,
23-Oct-2023,M15 Sharm ElSheikh,3,Hard,R32,,1490,1,Q,LL,Harrison Adams,Saveliy Ivanov,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M15 Sharm ElSheikh,3,Hard,SF,,984,0,Q,PR,Vadym Ursu,Harrison Adams,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M15 Sharm ElSheikh,3,Hard,QF,,497,1,Q,3,Harrison Adams,Alex Knaff,6-4 5-7 6-4,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M15 Sharm ElSheikh,3,Hard,R16,,,1,Q,Q,Harrison Adams,Jakub Kroslak,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M15 Sharm ElSheikh,3,Hard,R32,,706,1,Q,8,Harrison Adams,Sergey Fomin,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jun-2023,Tyler CH,3,Hard,Q1,,288,0,WC,2,Adam Walton,Harrison Adams,6-3 6-3,0.69,11.1%,2.2%,57.8%,65.4%,57.9%,0/3,42.4%,25.9%,14.8%,22.9%,31.6%,0/1,99,5,1,45,26,19,8,1:09
7-Nov-2022,Knoxville CH,3,Hard,Q1,,532,0,WC,5,Donald Young,Harrison Adams,3-6 7-6(8) 2-1 RET,1.11,12.5%,5.7%,62.5%,81.8%,51.5%,7/8,52.7%,32.9%,6.3%,29.1%,41.7%,1/4,167,11,5,88,55,33,5,1:48
27-Sep-2021,M15 Lubbock TX,3,Hard,R32,978,1274,0,,,Tyler Zink,Harrison Adams,6-3 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
18-Nov-2019,M15 Austin TX,3,Hard,QF,739,647,0,,5,Ruan Roelofse,Harrison Adams,6-2 1-6 6-2,,,,,,,,,,,,,,,,,,,,,
18-Nov-2019,M15 Austin TX,3,Hard,R16,739,1599,1,,,Harrison Adams,Cleeve Harper,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
18-Nov-2019,M15 Austin TX,3,Hard,R32,739,1320,1,,,Harrison Adams,Kai Breitbach,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
28-Oct-2019,M25 Naples FL,3,Clay,R32,589,750,0,,,Adrian Andreev,Harrison Adams,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
21-Oct-2019,M25 Fort Worth TX,3,Hard,R32,589,377,0,,,Ryan Peniston,Harrison Adams,7-6(6) 6-0,,,,,,,,,,,,,,,,,,,,,
14-Oct-2019,M25 Waco TX,3,Hard,R32,596,447,0,,6,Michael Geerts,Harrison Adams,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
23-Sep-2019,M25 Harlingen TX,3,Hard,R16,574,1241,0,,Q,Timo Stodder,Harrison Adams,7-6(8) 6-3,,,,,,,,,,,,,,,,,,,,,
23-Sep-2019,M25 Harlingen TX,3,Hard,R32,574,1220,1,,Q,Harrison Adams,George Goldhoff,7-5 7-6(6),,,,,,,,,,,,,,,,,,,,,
