Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
29-Oct-1960,French Club,3,,RR,,,0,,,Lord Ronaldshay,Henri Cochet,5-7 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
29-Oct-1960,French Club,3,,RR,,,1,,,Henri Cochet,Don Butler,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
10-Aug-1960,St. Moritz Kulm,3,,R32,,,0,,, Poignon,Henri Cochet,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
10-Aug-1960,St. Moritz Kulm,3,,R64,,,1,,,Henri Cochet, Mendelsohn,6-8 6-3 8-6,,,,,,,,,,,,,,,,,,,,,
22-Aug-1958,St. Moritz Palace,3,Clay,R32,,,0,,,Ivan Esente,Henri Cochet,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
16-Aug-1958,St. Moritz Suvretta,3,Clay,R64,,,0,,,P Ayrton,Henri Cochet,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
18-May-1958,Paris International Club,3,,RR,,,0,,,Dennis Coombe,Henri Cochet,6-4 5-7 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jun-1933,Wimbledon,5,Grass,SF,,,0,,,Henry Ellsworth Vines,Henri Cochet,6-2 8-6 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
1-Jun-1933,Wimbledon,5,Grass,QF,,,1,,,Henri Cochet,Lester Rollo Stoefen,3-6 6-4 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
1-Jun-1933,Wimbledon,5,Grass,R16,,,1,,,Henri Cochet,Dave N Jones Jr,6-4 6-8 8-6 6-0,,,,,,,,,,,,,,,,,,,,,
1-Jun-1933,Wimbledon,5,Grass,R32,,,1,,,Henri Cochet,Teddy Burwell,2-6 6-4 6-3 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
1-Jun-1933,Wimbledon,5,Grass,R64,,,1,,,Henri Cochet,Raymond Tuckey,4-6 6-2 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jun-1933,Wimbledon,5,Grass,R128,,,1,,,Henri Cochet,Henry S Burrows,6-2 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
1-May-1933,Roland Garros,5,Clay,F,,,0,,,Jack Crawford,Henri Cochet,8-6 6-1 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-1933,Roland Garros,5,Clay,SF,,,1,,,Henri Cochet,Harry Lee,9-11 6-3 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
1-May-1933,Roland Garros,5,Clay,QF,,,1,,,Henri Cochet,Roderich Ferdinand Ottomar Menzel,7-5 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-May-1933,Roland Garros,5,Clay,R16,,,1,,,Henri Cochet,Eikishi Itoh,6-1 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
1-May-1933,Roland Garros,5,Clay,R32,,,1,,,Henri Cochet,Maurice Papillon,6-0 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
1-May-1933,Roland Garros,5,Clay,R64,,,1,,,Henri Cochet,Jiri Novotny,7-5 6-1 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
1-Aug-1932,US Open,5,Grass,F,,,0,,,Henry Ellsworth Vines,Henri Cochet,6-4 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
1-Aug-1932,US Open,5,Grass,SF,,,1,,,Henri Cochet,Wilmer Lawson Allison,6-1 10-12 4-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
1-Aug-1932,US Open,5,Grass,QF,,,1,,,Henri Cochet,Frank Shields,4-6 6-3 6-4 6-0,,,,,,,,,,,,,,,,,,,,,
1-Aug-1932,US Open,5,Grass,R16,,,1,,,Henri Cochet,John William Van Ryn,6-2 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-Aug-1932,US Open,5,Grass,R32,,,1,,,Henri Cochet,Manuel Alonso De Areyzaga,6-2 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-Aug-1932,US Open,5,Grass,R64,,,1,,,Henri Cochet,Jake Hess,8-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-Jul-1932,Davis Cup WG CR: FRA vs USA,3,Clay,RR,,,1,,,Henri Cochet,Wilmer Lawson Allison,5-7 7-5 7-5 6-2,,,,,,,,,,,,,,,,,,,,,
