Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
14-Feb-1976,Salisbury,3,Carpet,R64,,,0,,,John Whitlinger,Ian Crookenden,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
2-Feb-1976,Boca Raton,3,Hard,R32,,,0,,3,Cliff Richey,Ian Crookenden,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
11-Mar-1975,Hampton,3,Carpet,R16,265,73,0,,,Clark Graebner,Ian Crookenden,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
11-Mar-1975,Hampton,3,Carpet,R32,265,228,1,,,Ian Crookenden,Nick Saviano,4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
10-Feb-1975,Salisbury,3,Carpet,R64,,108,0,,,Robert Kreiss,Ian Crookenden,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
3-Feb-1975,Little Rock,3,Carpet,R32,,168,0,,,George Hardie,Ian Crookenden,6-7 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Jan-1975,Roanoke,3,,R32,,41,0,,,Roger Taylor,Ian Crookenden,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
20-Jan-1975,Birmingham,3,Carpet,R32,,41,0,,,Roger Taylor,Ian Crookenden,7-6 3-6 7-6,,,,,,,,,,,,,,,,,,,,,
18-Jan-1975,Bahamas,3,,R32,,72,0,,,Ion Tiriac,Ian Crookenden,6-7 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
7-Apr-1974,Washington,3,,QF,169,4,0,,,Jimmy Connors,Ian Crookenden,6-7 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
27-Mar-1974,Tempe,3,Hard,R16,169,71,0,8,,Jeff Austin,Ian Crookenden,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
27-Mar-1974,Tempe,3,Hard,R32,169,,1,8,,Ian Crookenden,Ionel Santeiu,6-4 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
24-Mar-1974,Salt Lake City,3,,QF,169,155,0,,,Dick R Bohrnstedt,Ian Crookenden,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
24-Mar-1974,Salt Lake City,3,,R16,169,63,1,,,Ian Crookenden,Kjell Johansson,W/O,,,,,,,,,,,,,,,,,,,,,
24-Mar-1974,Salt Lake City,3,,R32,169,,1,,,Ian Crookenden,Jose Moreno,1-6 7-5 6-1,,,,,,,,,,,,,,,,,,,,,
17-Mar-1974,Calgary,3,,SF,169,156,0,,,Byron Bertram,Ian Crookenden,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
17-Mar-1974,Calgary,3,,QF,169,131,1,,,Ian Crookenden,Jose Higueras,3-6 3-0 RET,,,,,,,,,,,,,,,,,,,,,
17-Mar-1974,Calgary,3,,R16,169,109,1,,,Ian Crookenden,Frantisek Pala,7-6 6-2,,,,,,,,,,,,,,,,,,,,,
17-Mar-1974,Calgary,3,,R32,169,,1,,,Ian Crookenden,Tony Bardsley,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
24-Feb-1974,Salisbury,3,Carpet,R16,,78,0,,,Frew Mcmillan,Ian Crookenden,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
24-Feb-1974,Salisbury,3,Carpet,R32,,145,1,,,Ian Crookenden,Billy Martin,6-4 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
24-Feb-1974,Salisbury,3,Carpet,R64,,38,1,,6,Ian Crookenden,Erik Van Dillen,6-3 6-7 7-6,,,,,,,,,,,,,,,,,,,,,
10-Feb-1974,Little Rock,3,Carpet,R32,,149,0,,,Dick R Bohrnstedt,Ian Crookenden,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
3-Feb-1974,Baltimore,3,Carpet,R16,,,0,,,John Austin,Ian Crookenden,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
27-Jan-1974,Omaha,3,,SF,,3,0,,,Jimmy Connors,Ian Crookenden,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jan-1974,Omaha,3,,QF,,56,1,,,Ian Crookenden,Jeff Austin,6-2 7-6,,,,,,,,,,,,,,,,,,,,,
