Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
8-Apr-2019,M15 Sharm El Sheikh,3,Hard,QF,,567,0,,5,Jakub Paul,Issam Al Tawil,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
8-Apr-2019,M15 Sharm El Sheikh,3,Hard,R16,,,1,,Q,Issam Al Tawil,Mattia Bellucci,6-3 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
8-Apr-2019,M15 Sharm El Sheikh,3,Hard,R32,,,1,,,Issam Al Tawil,Niklas Johansson,7-6(6) 6-3,,,,,,,,,,,,,,,,,,,,,
10-Dec-2018,Egypt F31,3,Clay,R32,1211,762,0,,,Samuel Brosset,Issam Al Tawil,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
19-Nov-2018,Egypt F28,3,Hard,R32,1155,1162,0,,,Jesper De Jong,Issam Al Tawil,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
12-Nov-2018,Egypt F27,3,Hard,R32,1154,1184,0,,,Yann Wojcik,Issam Al Tawil,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
5-Nov-2018,Egypt F26,3,Hard,R32,1120,835,0,,8,Alexander Weis,Issam Al Tawil,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
29-Oct-2018,Egypt F25,3,Hard,R32,1084,,0,,,Omni Kumar,Issam Al Tawil,6-3 7-6(6),,,,,,,,,,,,,,,,,,,,,
22-Oct-2018,Egypt F24,3,Hard,R32,1083,677,0,,5,Ergi Kirkin,Issam Al Tawil,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
15-Oct-2018,Egypt F23,3,Hard,R32,1084,358,0,Q,,David Perez Sanz,Issam Al Tawil,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
1-Oct-2018,Egypt F21,3,Hard,R32,1055,1423,0,,,Yann Wojcik,Issam Al Tawil,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
17-Sep-2018,Egypt F19,3,Clay,R32,991,998,0,,,Luca Prevosto,Issam Al Tawil,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
10-Sep-2018,Egypt F18,3,Clay,R32,959,1083,0,,,Anas Fattar,Issam Al Tawil,6-4 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
23-Jul-2018,Georgia F3,3,Clay,R16,901,1186,0,,,George Tsivadze,Issam Al Tawil,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
23-Jul-2018,Georgia F3,3,Clay,R32,901,715,1,,4,Issam Al Tawil,Alexandr Igoshin,5-7 7-5 6-3,,,,,,,,,,,,,,,,,,,,,
16-Jul-2018,Georgia F2,3,Clay,R32,907,1243,0,,,Franco Feitt,Issam Al Tawil,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
9-Jul-2018,Georgia F1,3,Clay,R32,863,759,0,,,Bogdan Bobrov,Issam Al Tawil,7-5 6-7(1) 6-1,,,,,,,,,,,,,,,,,,,,,
25-Jun-2018,Tunisia F25,3,Clay,R32,864,912,0,,,Diego Hidalgo,Issam Al Tawil,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
18-Jun-2018,Tunisia F24,3,Clay,R32,865,1467,0,,LL,Robertas Vrzesinski,Issam Al Tawil,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Egypt F17,3,Clay,R16,852,1016,0,,,Felipe Meligeni Rodrigues Alves,Issam Al Tawil,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
7-May-2018,Egypt F17,3,Clay,R32,852,317,1,,,Issam Al Tawil,Youssef Hossam,2-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
30-Apr-2018,Egypt F16,3,Clay,R32,819,1073,0,,,Neven Krivokuca,Issam Al Tawil,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
23-Apr-2018,Egypt F15,3,Clay,R32,717,1284,0,,Q,Maxence Broville,Issam Al Tawil,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
16-Apr-2018,Egypt F14,3,Hard,R16,716,1089,0,8,,Michel Vernier,Issam Al Tawil,6-1 3-6 7-6(5),,,,,,,,,,,,,,,,,,,,,
16-Apr-2018,Egypt F14,3,Hard,R32,716,,1,8,,Issam Al Tawil,Ziga Papez,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
2-Apr-2018,Egypt F12,3,Hard,QF,742,468,0,,4,Vladyslav Manafov,Issam Al Tawil,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
2-Apr-2018,Egypt F12,3,Hard,R16,742,653,1,,,Issam Al Tawil,Marek Gengel,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
2-Apr-2018,Egypt F12,3,Hard,R32,742,646,1,,,Issam Al Tawil,Dejan Katic,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
19-Mar-2018,Egypt F10,3,Hard,R32,735,797,0,,,Igor Ribeiro Marcondes,Issam Al Tawil,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
12-Mar-2018,Egypt F9,3,Hard,R32,743,302,0,,2,Youssef Hossam,Issam Al Tawil,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
