Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
29-Apr-2024,M25 Anapoima,3,Clay,R16,1186,693,0,,5,Peter Bertran,Ivan Denisov,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Apr-2024,M25 Anapoima,3,Clay,R32,1186,,1,,WC,Ivan Denisov,Samuel Heredia,2-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,R16,1186,1091,0,,,Juan Estevez,Ivan Denisov,6-4 6-7(3) 7-5,,,,,,,,,,,,,,,,,,,,,
22-Apr-2024,M25 Mosquera,3,Clay,R32,1186,872,1,,7,Ivan Denisov,Collin Altamirano,6-4 3-6 6-4,,,,,,,,,,,,,,,,,,,,,
15-Apr-2024,San Miguel De Tucuman CH,3,Clay,Q1,1184,714,0,,2,Felix Corwin,Ivan Denisov,7-5 4-6 6-2,0.77,0.9%,2.7%,56.6%,56.3%,38.8%,15/22,44.8%,39.5%,2.5%,21.3%,64.7%,5/8,194,1,3,113,64,49,2,2:47
4-Mar-2024,Kigali 2 CH,3,Clay,Q2,1203,706,0,,5,Stefan Kozlov,Ivan Denisov,2-6 6-3 6-1,0.84,4.7%,2.3%,61.6%,62.3%,45.5%,8/12,46.7%,37.0%,0.0%,23.5%,60.0%,2/8,167,4,2,86,53,33,0,2:35
4-Mar-2024,Kigali 2 CH,3,Clay,Q1,1203,893,1,,9,Ivan Denisov,Preston Brown,3-6 7-6(4) 6-1,1.10,9.1%,1.0%,61.6%,59.0%,65.8%,6/9,52.1%,42.1%,11.6%,27.5%,59.1%,5/9,194,9,1,99,61,38,11,2:35
26-Feb-2024,Kigali 1 CH,3,Clay,R32,1463,420,0,Q,,Yshai Oliel,Ivan Denisov,6-4 6-2,0.73,3.7%,7.4%,55.6%,60.0%,45.8%,4/8,43.9%,34.0%,0.0%,35.9%,28.6%,1/5,107,2,4,54,30,24,0,1:32
26-Feb-2024,Kigali 1 CH,3,Clay,Q2,1463,1091,1,11,6,Ivan Denisov,Seita Watanabe,6-4 6-7(5) 6-4,1.26,4.2%,0.0%,62.1%,72.9%,58.3%,3/5,52.5%,41.0%,1.6%,32.9%,54.3%,4/11,217,4,0,95,59,36,2,2:50
26-Feb-2024,Kigali 1 CH,3,Clay,Q1,1463,,1,11,Alt,Ivan Denisov,Takeru Yuzuki,7-6(5) 6-3,1.44,8.8%,4.4%,60.3%,87.8%,59.3%,2/2,54.2%,33.8%,4.1%,30.0%,41.7%,1/5,142,6,3,68,41,27,3,1:44
20-Nov-2023,M25 Antalya,3,,R32,1347,1076,0,Q,Q,Maxim Zhukov,Ivan Denisov,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
23-Oct-2023,M15 Telavi,3,Clay,R16,1484,528,0,Q,3,Svyatoslav Gulin,Ivan Denisov,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Oct-2023,M15 Telavi,3,Clay,R32,1484,1584,1,Q,Q,Ivan Denisov,George Tsivadze,6-2 7-6(4),,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M25 Telavi,3,Clay,R16,1494,369,0,Q,4,Michael Vrbensky,Ivan Denisov,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M25 Telavi,3,Clay,R32,1494,,1,Q,LL,Ivan Denisov,Bekhan Atlangeriev,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,Zhangjiagang CH,3,Hard,Q1,1496,852,0,Alt,11,Hanyi Liu,Ivan Denisov,7-5 6-2,0.52,1.5%,10.8%,67.7%,68.2%,23.8%,5/9,40.9%,24.0%,8.0%,13.5%,53.8%,1/2,115,1,7,65,44,21,4,1:37
14-Aug-2023,M25 Tainan,3,Clay,R32,1490,711,0,,6,Matyas Fuele,Ivan Denisov,7-6(7) 7-5,,,,,,,,,,,,,,,,,,,,,
10-Jul-2023,M25 Uriage,3,Clay,R16,1375,698,0,LL,,Alexandre Aubriot,Ivan Denisov,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
10-Jul-2023,M25 Uriage,3,Clay,R32,1375,1255,1,LL,Q,Ivan Denisov,Alexander Chepik,6-2 7-6(5),,,,,,,,,,,,,,,,,,,,,
19-Jun-2023,M25 Poprad,3,Clay,R32,1351,1027,0,Q,,Daniel Paty,Ivan Denisov,6-3 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
12-Jun-2023,M25 RisskovAarhus,3,Clay,R32,1348,1626,0,,Q,Anders Grinderslev,Ivan Denisov,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
5-Jun-2023,M15 Vaasa,3,Hard,R32,1276,843,0,Q,6,Nicolas Kobelt,Ivan Denisov,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
24-Apr-2023,M25 Tbilisi,3,Hard,R32,1271,701,0,Q,,Aleksandre Bakshi,Ivan Denisov,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M15 Bhilai,3,Hard,R32,1363,579,0,LL,3,Sidharth Rawat,Ivan Denisov,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
14-Nov-2022,M25 Mumbai,3,Hard,R16,1353,584,0,LL,,Digvijaypratap Singh,Ivan Denisov,2-6 6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
14-Nov-2022,M25 Mumbai,3,Hard,R32,1353,410,1,LL,2,Ivan Denisov,Ben Patael,6-1 4-3 RET,,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Al Zahra,3,Hard,R16,1337,,0,,5,Bekhan Atlangeriev,Ivan Denisov,6-3 7-6(2),,,,,,,,,,,,,,,,,,,,,
31-Oct-2022,M15 Al Zahra,3,Hard,R32,1337,1807,1,,Q,Ivan Denisov,Daniil Savelev,6-2 RET,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Al Zahra,3,Hard,R32,1328,900,0,,8,Palaphoom Kovapitukted,Ivan Denisov,7-6(1) 6-7(2) 6-3,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M15 Heraklion,3,Hard,R32,1317,597,0,,3,Simone Roncalli,Ivan Denisov,6-3 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
15-Aug-2022,M15 Malmo,3,Clay,R32,1245,552,0,Q,4,Karl Friberg,Ivan Denisov,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
8-Aug-2022,M15 Helsinki,3,Hard,R32,1549,,0,,PR,Benedikt Henning,Ivan Denisov,3-6 7-5 6-0,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M15 Ust-Kamenogorsk,3,Hard,QF,1579,636,0,8,2,Savriyan Danilov,Ivan Denisov,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M15 Ust-Kamenogorsk,3,Hard,R16,1579,,1,8,Q,Ivan Denisov,Aliaksey Matsiush,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
1-Aug-2022,M15 Ust-Kamenogorsk,3,Hard,R32,1579,1735,1,8,,Ivan Denisov,Alexey Dubinin,4-6 6-0 6-4,,,,,,,,,,,,,,,,,,,,,
4-Jul-2022,M15 Casablanca,3,Clay,R32,1639,1114,0,Q,Q,Mehdi Sadaoui,Ivan Denisov,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
27-Jun-2022,M25 Poprad,3,Clay,R32,1639,473,0,Q,4,Gergely Madarasz,Ivan Denisov,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
16-May-2022,M15 Kouvola,3,Hard,R16,2077,377,0,,1,Otto Virtanen,Ivan Denisov,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
16-May-2022,M15 Kouvola,3,Hard,R32,2077,1202,1,,,Ivan Denisov,Adil Kalyanpur,5-7 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
21-Feb-2022,M25 Nur-Sultan,3,Hard,R32,2192,,0,WC,Q,Bekhan Atlangeriev,Ivan Denisov,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
