Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
6-Jul-2015,Netherlands F4,3,Clay,R16,2163,849,0,LL,,Greg Ouellette,Jack Jaede,7-6(1) 7-5,,,,,,,,,,,,,,,,,,,,,
6-Jul-2015,Netherlands F4,3,Clay,R32,2163,1278,1,LL,WC,Jack Jaede,Botic Van De Zandschulp,4-6 6-4 7-5,,,,,,,,,,,,,,,,,,,,,
29-Jun-2015,Netherlands F3,3,Clay,R16,2163,167,0,Q,1,Niels Desein,Jack Jaede,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
29-Jun-2015,Netherlands F3,3,Clay,R32,2163,UNR,1,Q,Q,Jack Jaede,Gijs Brouwer,6-2 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
15-Jun-2015,Netherlands F1,3,Clay,R32,2070,1693,0,Q,Q,Max De Vroome,Jack Jaede,6-3 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
30-Mar-2015,Australia F5,3,Clay,R16,UNR,186,0,Q,2,Luke Saville,Jack Jaede,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
30-Mar-2015,Australia F5,3,Clay,R32,UNR,UNR,1,Q,WC,Jack Jaede,Daniel Nolan,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
23-Mar-2015,Australia F4,3,Clay,R32,UNR,243,0,WC,1,Jordan Thompson,Jack Jaede,6-1 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
2-Mar-2015,Australia F2,3,Hard,R32,UNR,509,0,WC,5,Matthew Barton,Jack Jaede,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
13-Oct-2014,Australia F8,3,Hard,R32,UNR,UNR,0,Q,Q,Michael Look,Jack Jaede,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
