Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-Nov-2022,M15 Heraklion,3,Hard,R16,1056,1125,0,Q,WC,Florian Broska,Jacob Bradshaw,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
7-Nov-2022,M15 Heraklion,3,Hard,R32,1056,,1,Q,Q,Jacob Bradshaw,Damian Rodriguez,6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Sharm ElSheikh,3,Hard,SF,1225,792,0,Q,5,Bor Artnak,Jacob Bradshaw,5-0 RET,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Sharm ElSheikh,3,Hard,QF,1225,1245,1,Q,,Jacob Bradshaw,Petr Bar Biryukov,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Sharm ElSheikh,3,Hard,R16,1225,744,1,Q,6,Jacob Bradshaw,Amr Elsayed Abdou Ahmed Mohamed,6-4 7-6(3),,,,,,,,,,,,,,,,,,,,,
24-Oct-2022,M15 Sharm ElSheikh,3,Hard,R32,1225,,1,Q,Q,Jacob Bradshaw,Semen Voronin,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Sharm ElSheikh,3,Hard,R32,1431,685,0,WC,2,Lukas Pokorny,Jacob Bradshaw,7-6(6) 6-3,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M15 Sharm ElSheikh,3,Hard,QF,1415,671,0,Q,4,Alec Deckers,Jacob Bradshaw,3-6 7-6(6) 6-2,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M15 Sharm ElSheikh,3,Hard,R16,1415,877,1,Q,,Jacob Bradshaw,Lukas Palovic,6-1 2-0 RET,,,,,,,,,,,,,,,,,,,,,
10-Oct-2022,M15 Sharm ElSheikh,3,Hard,R32,1415,1230,1,Q,,Jacob Bradshaw,Nico Hornitschek,7-5 7-6(10),,,,,,,,,,,,,,,,,,,,,
3-Oct-2022,M15 Sharm ElSheikh,3,Hard,R32,1572,662,0,Q,8,Alec Deckers,Jacob Bradshaw,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
26-Sep-2022,M15 Sharm ElSheikh,3,Hard,R16,1571,,0,Q,Q,Tae Woo Lee,Jacob Bradshaw,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
26-Sep-2022,M15 Sharm ElSheikh,3,Hard,R32,1571,1528,1,Q,WC,Jacob Bradshaw,Jesse De Jager,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
12-Sep-2022,M15 Sharm ElSheikh,3,Hard,R16,,558,0,Q,1,Simone Roncalli,Jacob Bradshaw,4-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
12-Sep-2022,M15 Sharm ElSheikh,3,Hard,R32,,1027,1,Q,Q,Jacob Bradshaw,Giuseppe Tresca,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Monastir,3,Hard,R16,,762,0,Q,Q,Matthew Dellavedova,Jacob Bradshaw,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
5-Sep-2022,M15 Monastir,3,Hard,R32,,1285,1,Q,Q,Jacob Bradshaw,Adrian Oetzbach,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M15 Monastir,3,Hard,R32,,1560,0,WC,Q,Luc Koenig,Jacob Bradshaw,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
15-Aug-2022,M15 Monastir,3,Hard,R32,,1272,0,Q,Q,Kris Van Wyk,Jacob Bradshaw,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
23-May-2022,M25 Monastir,3,Hard,R32,,340,0,Q,2,Skander Mansouri,Jacob Bradshaw,6-3 0-6 6-3,,,,,,,,,,,,,,,,,,,,,
16-May-2022,M25 Monastir,3,Hard,R32,,474,0,Q,7,Omni Kumar,Jacob Bradshaw,6-4 7-5,,,,,,,,,,,,,,,,,,,,,
2-May-2022,M15 Antalya,3,Clay,R32,,749,0,Q,,Diego Augusto Barreto Sanchez,Jacob Bradshaw,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
