Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
29-Apr-2024,Porto Alegre CH,3,Clay,Q1,709,671,0,,12,Igor Gimenez,Jacob Brumm,6-2 6-2,0.68,0.0%,5.3%,50.9%,58.6%,35.7%,7/12,41.6%,35.7%,3.6%,26.7%,46.2%,1/6,113,0,3,57,29,28,2,1:28
22-Apr-2024,Concepcion CH,3,Clay,Q2,709,633,0,9,3,Jose Pereira,Jacob Brumm,6-0 6-3,0.69,12.2%,6.1%,53.1%,65.4%,30.4%,5/9,41.3%,35.0%,3.3%,26.2%,55.6%,0/4,109,6,3,49,26,23,2,1:29
15-Apr-2024,San Miguel De Tucuman CH,3,Clay,R32,703,714,0,Alt,Q,Felix Corwin,Jacob Brumm,6-1 6-3,0.70,5.4%,5.4%,66.1%,56.8%,42.1%,5/9,42.6%,33.9%,6.8%,22.6%,46.4%,0/3,115,3,3,56,37,19,4,1:35
18-Mar-2024,Merida CH,3,Clay,R16,741,317,0,Q,,Nick Hardt,Jacob Brumm,6-1 6-3,0.71,5.7%,3.8%,62.3%,45.5%,40.0%,2/8,42.0%,40.4%,8.5%,37.9%,44.4%,2/3,100,3,2,53,33,20,4,1:23
18-Mar-2024,Merida CH,3,Clay,R32,741,203,1,Q,1,Jacob Brumm,Oliver Crawford,7-6(0) 2-6 6-3,1.01,4.9%,5.8%,56.3%,65.5%,51.1%,4/8,50.2%,41.0%,10.0%,36.1%,48.7%,3/10,203,5,6,103,58,45,10,2:52
18-Mar-2024,Merida CH,3,Clay,Q2,741,1862,1,3,9,Jacob Brumm,Rodolfo Jauregui Sainz De Rozas,6-2 6-1,2.00,5.3%,0.0%,42.1%,81.3%,68.2%,0/0,61.1%,52.6%,0.0%,44.7%,68.4%,5/8,95,2,0,38,16,22,0,1:25
11-Mar-2024,M25 Bakersfield CA,3,Hard,R32,738,239,0,,1,Tung Lin Wu,Jacob Brumm,6-4 6-0,,,,,,,,,,,,,,,,,,,,,
4-Mar-2024,Kigali 2 CH,3,Clay,R32,738,208,0,,4,Marco Trungelliti,Jacob Brumm,7-5 6-2,0.77,3.6%,1.8%,46.4%,57.7%,56.7%,2/6,44.4%,32.8%,6.6%,29.5%,41.2%,1/7,117,2,1,56,26,30,4,1:28
26-Feb-2024,Kigali 1 CH,3,Clay,R32,732,960,0,,WC,Guy Orly Iradukunda,Jacob Brumm,3-6 6-4 7-6(3),1.11,5.8%,4.7%,62.8%,70.4%,59.4%,1/4,51.1%,37.5%,8.3%,19.0%,65.8%,4/5,182,5,4,86,54,32,8,2:06
19-Feb-2024,M25 Naples FL,3,Clay,R32,730,325,0,,3,Dmitry Popko,Jacob Brumm,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Palm Coast FL,3,Clay,R32,721,601,0,,6,Alex Rybakov,Jacob Brumm,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
5-Feb-2024,M15 Sunrise FL,3,Clay,R32,722,1344,0,,Q,Arthur Bonnaud,Jacob Brumm,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
29-Jan-2024,Cleveland CH,3,Hard,Q1,714,1023,0,8,Alt,Patrick Maloney,Jacob Brumm,6-3 6-1,0.49,8.5%,3.4%,57.6%,52.9%,40.0%,3/8,38.8%,25.6%,12.8%,17.9%,45.5%,1/1,98,5,2,59,34,25,5,1:11
22-Jan-2024,Indian Wells 2 CH,3,Hard,Q1,713,590,0,Alt,8,Keegan Smith,Jacob Brumm,6-4 7-5,0.86,1.4%,4.2%,54.9%,66.7%,40.6%,4/8,46.6%,39.0%,11.7%,36.2%,43.3%,2/5,148,1,3,71,39,32,9,1:37
15-Jan-2024,Indian Wells 1 CH,3,Hard,Q1,713,641,0,,11,Quinn Vandecasteele,Jacob Brumm,6-2 6-2,0.69,2.3%,14.0%,53.5%,47.8%,25.0%,4/10,40.7%,43.1%,4.6%,30.3%,56.3%,2/4,108,1,6,43,23,20,3,1:17
13-Nov-2023,M15 Santo Domingo,3,,R16,734,1258,0,4,,Ricardo Rodriguez,Jacob Brumm,6-3 5-7 6-4,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M15 Santo Domingo,3,,R32,734,1146,1,4,,Jacob Brumm,Alexander Chepik,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
6-Nov-2023,M15 Santo Domingo,3,Hard,QF,729,844,0,4,,Felix Corwin,Jacob Brumm,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
6-Nov-2023,M15 Santo Domingo,3,Hard,R16,729,,1,4,Q,Jacob Brumm,Pietro Orlando Fellin,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
6-Nov-2023,M15 Santo Domingo,3,Hard,R32,729,1667,1,4,,Jacob Brumm,Enrique Pena,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
30-Oct-2023,M15 Fayetteville AR,3,Hard,R32,736,982,0,6,,Noah Schachter,Jacob Brumm,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
