Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
10-Sep-2001,Tarzana CH,3,Hard,R16,469,504,0,,Q,Phillip King,James Sekulov,6-3 7-6(5),,,,,,,,,,,,,,,,,,,,,
10-Sep-2001,Tarzana CH,3,Hard,R32,469,643,1,,Q,James Sekulov,Fazaluddin Syed,7-6(0) 7-6(1),,,,,,,,,,,,,,,,,,,,,
6-Aug-2001,Binghamton CH,3,Hard,R32,385,532,0,,WC,Mashiska Washington,James Sekulov,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
30-Jul-2001,Lexington CH,3,Hard,R32,351,495,0,,Q,Alex Kim,James Sekulov,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
23-Jul-2001,Budaors CH,3,Clay,R32,340,242,0,,,Alessio Di Mauro,James Sekulov,1-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
4-Jun-2001,Tallahassee CH,3,Hard,R32,UNR,UNR,0,,Q,Nicolas Todero,James Sekulov,6-1 1-0 RET,,,,,,,,,,,,,,,,,,,,,
12-Mar-2001,Perth CH,3,Hard,R16,331,175,0,WC,3,Martin Lee,James Sekulov,4-6 7-5 6-1,,,,,,,,,,,,,,,,,,,,,
12-Mar-2001,Perth CH,3,Hard,R32,331,229,1,WC,,James Sekulov,Filippo Messori,6-2 5-7 6-3,,,,,,,,,,,,,,,,,,,,,
20-Nov-2000,Brighton,3,Hard,R32,244,99,0,LL,,Hyung Taik Lee,James Sekulov,6-1 6-2,0.56,4.4%,8.9%,55.6%,56.0%,20.0%,5/10,36.7%,33.3%,2.2%,16.0%,55.0%,1/3,90,2,4,45,25,20,1,0:54
13-Nov-2000,Osaka CH,3,Hard,R32,244,197,0,,5,Noam Behr,James Sekulov,6-1 6-1,,,,,,,,,,,,,,,,,,,,,
6-Nov-2000,Seoul CH,3,Hard,R32,236,120,0,,1,Hyung Taik Lee,James Sekulov,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
30-Oct-2000,Las Vegas CH,3,Hard,R32,237,123,0,,4,Cecil Mamiit,James Sekulov,6-2 RET,,,,,,,,,,,,,,,,,,,,,
9-Oct-2000,Tulsa CH,3,Hard,R16,202,280,0,,,Matthew Breen,James Sekulov,6-1 7-6(4),,,,,,,,,,,,,,,,,,,,,
9-Oct-2000,Tulsa CH,3,Hard,R32,202,1151,1,,WC,James Sekulov,David Martin,7-6(8) 6-1,,,,,,,,,,,,,,,,,,,,,
2-Oct-2000,Austin CH,3,Hard,R32,201,172,0,,,Michael Russell,James Sekulov,6-4 6-7(5) 6-0,,,,,,,,,,,,,,,,,,,,,
25-Sep-2000,San Antonio CH,3,Hard,R32,UNR,UNR,0,,,Vadim Kutsenko,James Sekulov,6-0 6-7(4) 6-3,,,,,,,,,,,,,,,,,,,,,
18-Sep-2000,Houston CH,3,Hard,R32,181,159,0,,7,Marcos Ondruska,James Sekulov,6-2 6-0,,,,,,,,,,,,,,,,,,,,,
14-Aug-2000,Indianapolis,3,Hard,R32,191,50,0,,,Gianluca Pozzi,James Sekulov,6-2 6-4,0.17,2.7%,8.0%,53.3%,72.5%,37.1%,6/9,39.5%,7.7%,10.3%,5.3%,10.0%,0/0,114,2,6,75,40,35,4,1:16
14-Aug-2000,Indianapolis,3,Hard,R64,191,40,1,,,James Sekulov,Roger Federer,6-4 7-5,1.23,3.2%,4.8%,58.7%,75.7%,50.0%,2/4,53.3%,43.1%,2.8%,28.9%,58.8%,4/10,135,2,3,63,37,26,2,1:22
31-Jul-2000,Canada Masters,3,Hard,R64,196,46,0,LL,,Karol Kucera,James Sekulov,6-4 6-4,0.66,1.5%,3.1%,66.2%,67.4%,40.9%,4/7,44.2%,27.3%,16.4%,9.4%,52.2%,1/3,120,1,2,65,43,22,9,1:22
24-Jul-2000,Los Angeles,3,Hard,R32,146,87,0,,,Justin Gimelstob,James Sekulov,6-3 6-3,0.82,3.1%,1.6%,56.3%,61.1%,42.9%,8/12,45.5%,38.2%,5.9%,36.8%,40.0%,1/7,132,2,1,64,36,28,4,1:24
17-Jul-2000,Aptos CH,3,Hard,R32,144,235,0,5,,Glenn Weiner,James Sekulov,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
10-Jul-2000,Newport,3,Grass,R32,142,154,0,,7,Wayne Arthurs,James Sekulov,6-2 6-2,0.39,4.3%,14.9%,42.6%,65.0%,37.0%,2/6,35.6%,20.0%,25.0%,15.8%,23.8%,0/0,87,2,7,47,20,27,10,0:55
3-Jul-2000,Ulm CH,3,Clay,R32,UNR,UNR,0,,1,Julien Boutter,James Sekulov,7-6(4) 6-1,,,,,,,,,,,,,,,,,,,,,
12-Jun-2000,Szczecin CH,3,Clay,R16,136,526,0,,WC,Krystian Pfeiffer,James Sekulov,4-6 6-4 7-6(5),,,,,,,,,,,,,,,,,,,,,
12-Jun-2000,Szczecin CH,3,Clay,R32,136,118,1,,7,James Sekulov,Alex Lopez Moron,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
5-Jun-2000,Prostejov CH,3,Clay,R32,UNR,UNR,0,,Q,Jakub Herm Zahlava,James Sekulov,7-6(3) 6-3,,,,,,,,,,,,,,,,,,,,,
15-May-2000,Armonk CH,3,Clay,R32,137,500,0,5,Q,Jeff Salzenstein,James Sekulov,6-7(4) 6-1 7-5,,,,,,,,,,,,,,,,,,,,,
8-May-2000,Birmingham CH,3,Clay,R32,136,175,0,8,,Herbert Wiltschnig,James Sekulov,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
24-Apr-2000,Bermuda CH,3,Clay,R32,129,109,0,,,Jan Siemerink,James Sekulov,6-1 6-7(4) 6-2,,,,,,,,,,,,,,,,,,,,,
17-Apr-2000,San Luis Potosi CH,3,Clay,R16,126,151,0,7,,Petr Kralert,James Sekulov,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
17-Apr-2000,San Luis Potosi CH,3,Clay,R32,126,174,1,7,,James Sekulov,Sebastian Prieto,7-6(4) 7-5,,,,,,,,,,,,,,,,,,,,,
10-Apr-2000,Atlanta,3,Clay,R32,127,89,0,,,Nicolas Massu,James Sekulov,6-4 6-1,0.43,3.8%,0.0%,54.7%,44.8%,50.0%,4/9,36.6%,22.5%,7.5%,10.5%,33.3%,1/3,93,2,0,53,29,24,3,1:07
13-Mar-2000,Salinas CH,3,Hard,R32,126,264,0,3,,Alexandre Simoni,James Sekulov,4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,,
14-Feb-2000,Memphis,3,Hard,R64,123,175,0,LL,Q,Harel Levy,James Sekulov,6-4 6-1,0.53,4.8%,4.8%,54.8%,64.7%,28.6%,3/8,39.6%,27.3%,4.5%,15.0%,37.5%,1/4,106,3,3,62,34,28,2,1:05
17-Jan-2000,Australian Open,5,Hard,R64,133,56,0,WC,,Chris Woodruff,James Sekulov,6-3 6-2 6-2,0.22,3.0%,3.0%,62.1%,61.0%,44.0%,5/10,33.6%,10.2%,13.6%,12.5%,5.3%,0/0,125,2,2,66,41,25,8,1:13
17-Jan-2000,Australian Open,5,Hard,R128,133,72,1,WC,,James Sekulov,Ivan Ljubicic,7-6(5) 4-6 4-6 7-5 6-0,1.08,5.0%,3.9%,55.0%,69.7%,53.1%,20/24,51.7%,40.8%,7.5%,30.3%,49.0%,6/19,354,9,7,180,99,81,13,3:41
3-Jan-2000,Adelaide,3,Hard,R16,UNR,UNR,0,,,Alberto Martin,James Sekulov,7-6(2) 7-6(5),0.94,2.6%,6.4%,59.0%,73.9%,40.6%,2/5,48.2%,37.2%,1.2%,30.6%,54.2%,3/5,164,2,5,78,46,32,1,1:43
3-Jan-2000,Adelaide,3,Hard,R32,UNR,UNR,1,,,James Sekulov,Gianluca Pozzi,6-4 2-6 6-2,1.03,2.7%,4.1%,67.6%,64.0%,58.3%,3/6,51.4%,39.1%,12.5%,15.4%,55.3%,4/6,138,2,3,74,50,24,8,1:29
6-Dec-1999,Burbank CH,3,Hard,R32,133,300,0,4,,Dusan Vemic,James Sekulov,4-0 RET,,,,,,,,,,,,,,,,,,,,,
15-Nov-1999,Rancho Mirage CH,3,Hard,R32,134,334,0,4,WC,Taylor Dent,James Sekulov,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
8-Nov-1999,Miami CH,3,Hard,R16,136,200,0,6,,Jeff Coetzee,James Sekulov,6-2 2-6 6-2,,,,,,,,,,,,,,,,,,,,,
8-Nov-1999,Miami CH,3,Hard,R32,136,376,1,6,WC,James Sekulov,Brian Macphie,7-6 0-6 6-4,,,,,,,,,,,,,,,,,,,,,
18-Oct-1999,Houston CH,3,Hard,F,151,219,0,3,,Marcos Ondruska,James Sekulov,7-6(8) 6-1,,,,,,,,,,,,,,,,,,,,,
18-Oct-1999,Houston CH,3,Hard,SF,151,212,1,3,,James Sekulov,Edwin Kempes,6-4 6-7(5) 6-0,,,,,,,,,,,,,,,,,,,,,
18-Oct-1999,Houston CH,3,Hard,QF,151,157,1,3,5,James Sekulov,Petr Kralert,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
18-Oct-1999,Houston CH,3,Hard,R16,151,646,1,3,WC,James Sekulov,Phillip King,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
