Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
24-Sep-2012,Bangkok,3,Hard,Q2,,35,0,,1,Kevin Anderson,Jamie Murray,6-2 6-1,0.35,3.8%,7.7%,53.8%,39.3%,54.2%,6/10,34.0%,19.0%,14.3%,15.2%,33.3%,0/3,94,2,4,52,28,24,6,0:58
24-Sep-2012,Bangkok,3,Hard,Q1,,1240,1,,,Jamie Murray,Kelsey Stevenson,6-1 3-6 6-4,1.19,9.8%,5.4%,53.3%,67.3%,53.5%,5/8,54.0%,46.4%,3.6%,46.7%,46.2%,5/9,176,9,5,92,49,43,3,1:47
25-Jul-2011,Los Angeles,3,Hard,Q1,,,0,,,Marcelo Melo,Jamie Murray,6-2 6-0,0.43,0.0%,19.4%,50.0%,50.0%,22.2%,1/6,31.6%,27.5%,0.0%,14.8%,53.8%,0/0,76,0,7,36,18,18,0,0:43
9-Jun-2008,Queen's Club Q,3,Grass,Q1,,202,0,WC,,Lukasz Kubot,Jamie Murray,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
28-Jan-2008,Vina del Mar Q,3,Clay,Q1,,125,0,,1,Marcel Granollers,Jamie Murray,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
6-Apr-2007,Davis Cup G1 R2: GBR vs NED,3,Hard,RR,1507,141,0,,,Robin Haase,Jamie Murray,4-6 7-6(0) 6-2,,,,,,,,,,,,,,,,,,,,,
1-Jan-2007,Doha Q,3,Hard,Q2,1149,185,0,,5,Tomas Cakl,Jamie Murray,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jan-2007,Doha Q,3,Hard,Q1,1149,,1,,,Jamie Murray,Jaroslav Levinsky,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
27-Mar-2006,Cuba F2,3,Hard,R16,,1252,0,,,Timothy Neilly,Jamie Murray,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
27-Mar-2006,Cuba F2,3,Hard,R32,,,1,,Q,Jamie Murray,Alejandro Lacruz,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
20-Mar-2006,Cuba F1,3,Hard,QF,897,910,0,,,Andreas Haider Maurer,Jamie Murray,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
20-Mar-2006,Cuba F1,3,Hard,R16,897,1347,1,,WC,Jamie Murray,Edgar Hernandez Perez,7-5 7-6(2),,,,,,,,,,,,,,,,,,,,,
20-Mar-2006,Cuba F1,3,Hard,R32,897,,1,,3,Jamie Murray,Alexander Satschko,7-6(5) 6-4,,,,,,,,,,,,,,,,,,,,,
