Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
6-Nov-2000,St. Petersburg,3,Hard,QF,761,49,0,Q,,Jonas Bjorkman,Jared Palmer,6-1 6-3,0.36,6.3%,3.1%,76.6%,51.0%,33.3%,5/9,35.8%,19.0%,4.8%,10.7%,35.7%,0/0,106,4,2,64,49,15,2,1:01
6-Nov-2000,St. Petersburg,3,Hard,R16,761,27,1,Q,5,Jared Palmer,Sjeng Schalken,5-7 6-3 6-2,1.20,5.0%,5.9%,59.4%,70.0%,53.7%,6/8,53.8%,43.9%,4.1%,34.9%,60.0%,4/7,199,5,6,101,60,41,4,2:04
6-Nov-2000,St. Petersburg,3,Hard,R32,761,48,1,Q,,Jared Palmer,Jiri Novak,6-0 6-2,2.27,0.0%,2.6%,60.5%,82.6%,60.0%,1/2,65.3%,59.6%,5.3%,52.5%,76.5%,6/14,95,0,1,38,23,15,3,0:49
19-Jun-2000,Nottingham,3,Grass,R32,519,28,0,Q,3,Fabrice Santoro,Jared Palmer,3-6 7-6(5) 6-4,0.92,4.1%,2.4%,61.0%,68.0%,54.2%,7/9,49.6%,34.3%,3.8%,34.8%,33.3%,2/8,228,5,3,123,75,48,4,2:12
16-Aug-1999,Indianapolis,3,Hard,R32,242,20,0,Q,11,Nicolas Lapentti,Jared Palmer,6-2 6-2,0.56,9.1%,2.3%,59.1%,53.8%,50.0%,2/6,39.3%,26.7%,11.1%,17.9%,41.2%,0/3,89,4,1,44,26,18,5,0:52
16-Aug-1999,Indianapolis,3,Hard,R64,242,29,1,Q,,Jared Palmer,Goran Ivanisevic,6-7(6) 6-4 6-3,1.30,9.5%,4.2%,68.4%,80.0%,56.7%,3/4,53.6%,35.6%,14.9%,18.9%,54.2%,4/8,196,9,4,95,65,30,15,1:41
12-Jul-1999,Aptos CH,3,Hard,R32,231,77,0,,2,Cecil Mamiit,Jared Palmer,3-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
12-Apr-1999,Bermuda CH,3,Clay,QF,228,103,0,,3,Hernan Gumy,Jared Palmer,6-3 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
12-Apr-1999,Bermuda CH,3,Clay,R16,228,128,1,,5,Jared Palmer,Lucas Arnold Ker,6-3 7-5,,,,,,,,,,,,,,,,,,,,,
12-Apr-1999,Bermuda CH,3,Clay,R32,228,226,1,,Q,Jared Palmer,Paulo Taicher,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
1-Feb-1999,Amarillo CH,3,Hard,R32,173,426,0,,WC,Mike Bryan,Jared Palmer,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-Nov-1998,Burbank CH,3,Hard,QF,175,151,0,,,Cecil Mamiit,Jared Palmer,4-6 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
