Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
29-May-1968,Berlin,3,Clay,R16,,,0,,,Harald Elschenbroich,Jaroslav Drobny,6-2 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
29-May-1968,Berlin,3,Clay,R32,,,1,,,Jaroslav Drobny,Manfred Gastler,6-4 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
17-May-1965,Roland Garros,5,Clay,R128,,,0,,,Sergio Palmieri,Jaroslav Drobny,7-5 6-1 6-1,,,,,,,,,,,,,,,,,,,,,
2-Sep-1964,US Open,5,Grass,R128,,,0,,,Roy Emerson,Jaroslav Drobny,7-9 6-3 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
19-May-1964,Roland Garros,5,Clay,R64,,,0,,,Wolfgang Stuck,Jaroslav Drobny,6-2 7-5 6-1,,,,,,,,,,,,,,,,,,,,,
19-May-1964,Roland Garros,5,Clay,R128,,,1,,,Jaroslav Drobny,Ronnie Fisher,2-6 6-2 6-2 6-3,,,,,,,,,,,,,,,,,,,,,
13-May-1963,Roland Garros,5,Clay,R32,,,0,,,Christian Kuhnke,Jaroslav Drobny,6-3 6-0 7-5,,,,,,,,,,,,,,,,,,,,,
13-May-1963,Roland Garros,5,Clay,R64,,,1,,,Jaroslav Drobny,John Hillebrand,3-6 6-4 3-6 6-2 8-6,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Torquay Palace,3,Carpet,SF,,,0,,,Tony Pickard,Jaroslav Drobny,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Torquay Palace,3,Carpet,QF,,,1,,,Jaroslav Drobny,Alan Mills,6-2 7-5,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Torquay Palace,3,Carpet,R16,,,1,,,Jaroslav Drobny,Charles Michael Tang,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Torquay Palace,3,Carpet,R32,,,1,,,Jaroslav Drobny,T Bingham,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
5-Nov-1962,Torquay Palace,3,Carpet,R64,,,1,,,Jaroslav Drobny,Roy Dixon,6-1 6-0,,,,,,,,,,,,,,,,,,,,,
6-Sep-1962,South of England Championships,3,Grass,QF,,,0,,,Mark Cox,Jaroslav Drobny,9-7 10-8,,,,,,,,,,,,,,,,,,,,,
6-Sep-1962,South of England Championships,3,Grass,R16,,,1,,,Jaroslav Drobny,DUPE John Blizard,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
27-Aug-1962,Budleigh Salterton,3,Grass,F,,,1,,,Jaroslav Drobny,Mark Cox,6-4 0-6 6-2,,,,,,,,,,,,,,,,,,,,,
27-Aug-1962,Budleigh Salterton,3,Grass,SF,,,1,,,Jaroslav Drobny,Charlie Applewhaite,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
27-Aug-1962,Budleigh Salterton,3,Grass,QF,,,1,,,Jaroslav Drobny,R H Hodgkinson,6-1 7-5,,,,,,,,,,,,,,,,,,,,,
20-Aug-1962,Exmouth,3,Grass,F,,,1,,,Jaroslav Drobny,Roger Becker,8-6 6-4,,,,,,,,,,,,,,,,,,,,,
20-Aug-1962,Exmouth,3,Grass,SF,,,1,,,Jaroslav Drobny,John Hillebrand,3-6 6-4 9-7,,,,,,,,,,,,,,,,,,,,,
