Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
1-Aug-2022,Washington,3,Hard,Q2,497,162,0,12,3,Michael Mmoh,Jc Aragone,6-3 6-1,0.59,2.2%,8.9%,62.2%,50.0%,35.3%,5/9,38.1%,32.7%,13.5%,23.5%,50.0%,0/2,97,1,4,45,28,17,7,1:11
1-Aug-2022,Washington,3,Hard,Q1,497,,1,12,Alt,Jc Aragone,Bruno Kuzuhara,6-3 6-7(3) 6-4,1.09,4.0%,7.0%,69.0%,72.5%,38.7%,2/4,51.5%,41.3%,0.0%,35.4%,51.3%,5/9,204,4,7,100,69,31,0,
13-Jun-2022,M25 Wichita KS,3,Hard,R32,440,1809,0,3,Q,Isaac Becroft,Jc Aragone,1-6 7-5 6-1,,,,,,,,,,,,,,,,,,,,,
6-Jun-2022,Orlando CH,3,Hard,Q1,368,470,0,5,,Nick Chappell,Jc Aragone,6-1 6-1,0.53,0.0%,3.5%,68.4%,51.3%,33.3%,6/11,38.2%,28.9%,4.4%,27.6%,31.3%,0/2,102,0,2,57,39,18,2,1:12
30-May-2022,Little Rock CH,3,Hard,Q1,367,564,0,4,WC,Strong Kirchheimer,Jc Aragone,3-6 6-3 6-3,0.97,1.1%,5.7%,58.0%,60.8%,51.4%,4/9,48.9%,41.8%,0.0%,35.3%,56.7%,3/9,186,1,5,88,51,37,0,2:07
25-Apr-2022,Cuernavaca CH,3,Hard,Q2,348,416,0,1,10,Shintaro Mochizuki,Jc Aragone,6-1 2-6 6-1,0.82,3.5%,9.4%,74.1%,55.6%,31.8%,4/10,45.6%,41.3%,2.7%,29.4%,51.2%,3/9,160,3,8,85,63,22,2,1:47
25-Apr-2022,Cuernavaca CH,3,Hard,Q1,348,632,1,1,PR,Jc Aragone,Saketh Myneni,6-3 4-6 6-4,1.22,4.5%,2.3%,77.3%,69.1%,75.0%,5/6,52.7%,36.2%,10.6%,21.1%,59.5%,3/6,182,4,2,88,68,20,10,1:36
18-Apr-2022,Aguascalientes CH,3,Clay,Q2,353,384,0,4,11,Akira Santillan,Jc Aragone,3-6 7-5 6-2,0.97,2.2%,7.7%,69.2%,66.7%,28.6%,5/11,49.0%,43.7%,10.7%,31.0%,60.0%,5/12,194,2,7,91,63,28,11,1:58
11-Apr-2022,San Luis Potosi CH,3,Clay,Q1,346,465,0,6,,Nick Chappell,Jc Aragone,7-5 6-1,0.50,1.9%,5.6%,72.2%,46.2%,60.0%,2/6,37.7%,25.0%,3.8%,18.8%,35.0%,1/1,106,1,3,54,39,15,2,1:05
4-Apr-2022,Salinas CH,3,Hard,QF,376,365,0,,,Roberto Quiroz,Jc Aragone,2-6 7-6(6) 6-4,1.03,1.0%,2.0%,77.2%,62.8%,56.5%,3/7,50.8%,39.8%,1.0%,41.1%,36.0%,5/7,199,1,2,101,78,23,1,2:22
