Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
5-May-2024,Wuxi CH,3,Hard,R32,431,176,1,Q,6,Jie Cui,Mattia Bellucci,2-6 7-6(5) 6-2,1.06,4.5%,4.5%,60.2%,67.9%,48.6%,3/7,50.8%,42.1%,5.3%,28.3%,59.5%,4/9,183,4,4,88,53,35,5,2:38
5-May-2024,Wuxi CH,3,Hard,Q2,431,324,1,12,1,Jie Cui,Ricardas Berankis,6-2 4-6 6-4,1.27,3.4%,4.6%,71.3%,72.6%,48.0%,9/11,53.6%,43.9%,4.7%,33.9%,56.3%,4/8,194,3,4,87,62,25,5,2:34
5-May-2024,Wuxi CH,3,Hard,Q1,431,765,1,12,WC,Jie Cui,Aoran Wang,6-1 6-0,4.34,15.2%,0.0%,60.6%,95.0%,69.2%,0/0,75.0%,65.7%,5.7%,50.0%,86.7%,5/6,68,5,0,33,20,13,2,0:54
29-Apr-2024,Guangzhou CH,3,Hard,R32,443,223,0,Q,,Mark Lajal,Jie Cui,4-6 6-1 6-4,0.78,1.2%,3.7%,60.5%,75.5%,43.8%,10/13,45.7%,28.9%,19.3%,18.9%,46.7%,1/3,164,1,3,81,49,32,16,2:11
29-Apr-2024,Guangzhou CH,3,Hard,Q2,443,393,1,WC,Alt,Jie Cui,Blake Ellis,6-7(3) 6-3 6-2,1.32,13.6%,6.2%,56.8%,73.9%,62.9%,2/4,54.1%,40.7%,15.4%,31.9%,50.0%,5/10,172,11,5,81,46,35,14,2:28
29-Apr-2024,Guangzhou CH,3,Hard,Q1,443,359,1,WC,12,Jie Cui,Kamil Majchrzak,6-2 6-3,1.73,8.3%,4.2%,52.1%,80.0%,65.2%,2/2,58.2%,46.8%,4.8%,38.2%,57.1%,4/10,110,4,2,48,25,23,3,1:26
15-Apr-2024,Gwangju CH,3,Hard,Q1,444,402,0,,11,Altug Celikbilek,Jie Cui,7-6(1) 6-2,0.74,6.6%,6.6%,65.6%,57.5%,28.6%,0/5,42.7%,38.6%,5.7%,26.8%,55.2%,3/5,131,4,4,61,40,21,4,1:33
8-Apr-2024,Busan CH,3,Hard,Q1,445,347,0,,5,Yanki Erel,Jie Cui,6-3 7-6(8),0.78,0.0%,8.1%,60.5%,59.6%,50.0%,7/9,45.3%,34.5%,8.3%,25.9%,50.0%,1/8,170,0,7,86,52,34,7,2:09
18-Mar-2024,M15 Nishi-Tokyo,3,Hard,QF,447,604,0,4,8,Hikaru Shiraishi,Jie Cui,3-6 6-3 6-0,,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M15 Nishi-Tokyo,3,Hard,R16,447,1572,1,4,Q,Jie Cui,Shunsuke Nakagawa,6-0 6-4,,,,,,,,,,,,,,,,,,,,,
18-Mar-2024,M15 Nishi-Tokyo,3,Hard,R32,447,1136,1,4,Q,Jie Cui,Taiyo Yamanaka,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,F,479,477,1,4,3,Jie Cui,Stefanos Sakellaridis,6-4 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,SF,479,452,1,4,2,Jie Cui,Orel Kimhi,7-5 6-0,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,QF,479,578,1,4,7,Jie Cui,Sander Jong,6-4 7-6(4),,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R16,479,939,1,4,Q,Jie Cui,Thanapet Chanta,7-6(2) 6-1,,,,,,,,,,,,,,,,,,,,,
26-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R32,479,1249,1,4,Q,Jie Cui,Linghao Zhang,6-3 6-1,,,,,,,,,,,,,,,,,,,,,
19-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R32,501,731,0,4,,Gabriel Decamps,Jie Cui,7-6(1) 6-2,,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,F,503,732,0,3,,Gabriel Decamps,Jie Cui,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,SF,503,486,1,3,2,Jie Cui,Stefanos Sakellaridis,6-2 7-6(3),,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,QF,503,581,1,3,5,Jie Cui,Maximus Jones,7-5 7-6(4),,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R16,503,842,1,3,,Jie Cui,Ofek Shimanov,7-6(4) 6-2,,,,,,,,,,,,,,,,,,,,,
12-Feb-2024,M15 Nakhon Si Thammarat ,3,Hard,R32,503,651,1,3,,Jie Cui,Ye Cong Mo,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M25 Hua Hin,3,,QF,503,234,0,6,1,Goncalo Oliveira,Jie Cui,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M25 Hua Hin,3,,R16,503,993,1,6,,Jie Cui,Koki Matsuda,2-6 6-2 6-2,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M25 Hua Hin,3,,R32,503,952,1,6,PR,Jie Cui,Shintaro Imai,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
6-Nov-2023,Matsuyama CH,3,Hard,Q1,508,415,0,,6,Blake Ellis,Jie Cui,6-1 6-4,0.77,5.9%,9.8%,47.1%,70.8%,37.0%,3/7,44.0%,36.2%,10.3%,29.7%,47.6%,1/6,109,3,5,51,24,27,6,
16-Oct-2023,Shenzhen CH,3,Hard,Q2,517,904,0,3,12,Wishaya Trongcharoenchaikul,Jie Cui,6-4 3-6 7-6(5),1.05,2.8%,2.8%,62.3%,63.6%,52.5%,3/7,51.5%,42.7%,5.2%,33.3%,51.0%,4/6,202,3,3,106,66,40,5,2:41
16-Oct-2023,Shenzhen CH,3,Hard,Q1,517,888,1,3,,Jie Cui,Yuichiro Inui,6-2 6-4,1.82,8.7%,6.5%,52.2%,70.8%,77.3%,0/1,57.3%,47.4%,7.7%,39.0%,56.8%,4/10,124,4,3,46,24,22,6,1:37
9-Oct-2023,Shenzhen CH,3,Hard,R16,585,260,0,Q,,Denis Yevseyev,Jie Cui,6-4 6-0,0.51,0.0%,13.0%,56.5%,50.0%,25.0%,2/7,35.2%,31.1%,6.7%,20.0%,45.0%,1/3,91,0,6,46,26,20,3,0:59
9-Oct-2023,Shenzhen CH,3,Hard,R32,585,1181,1,Q,WC,Jie Cui,Qian Sun,6-3 6-3,1.30,0.0%,1.7%,68.3%,73.2%,42.1%,3/4,55.4%,47.5%,16.4%,35.1%,66.7%,4/9,121,0,1,60,41,19,10,1:37
9-Oct-2023,Shenzhen CH,3,Hard,Q2,585,793,1,12,,Jie Cui,Aoran Wang,6-4 6-2,1.21,6.6%,3.3%,62.3%,76.3%,60.9%,1/1,56.3%,35.7%,16.7%,20.8%,55.6%,3/6,103,4,2,61,38,23,7,1:10
9-Oct-2023,Shenzhen CH,3,Hard,Q1,585,742,1,12,Alt,Jie Cui,Jimmy Yang,6-4 6-0,2.61,0.0%,0.0%,62.8%,74.1%,87.5%,3/3,66.7%,54.5%,2.3%,45.8%,65.0%,4/5,87,0,0,43,27,16,1,1:14
27-Sep-2023,Beijing,3,Hard,Q1,585,99,0,WC,Alt,Cristian Garin,Jie Cui,7-5 6-2,0.65,0.0%,1.7%,59.3%,57.1%,54.2%,5/9,42.6%,28.6%,3.6%,16.1%,44.0%,1/2,115,0,1,59,35,24,2,1:34
20-Sep-2023,Chengdu,3,Hard,R32,583,70,0,WC,,Juan Pablo Varillas,Jie Cui,6-1 6-3,0.66,11.9%,2.4%,59.5%,60.0%,47.1%,2/6,41.3%,30.0%,10.0%,19.4%,47.4%,0/0,92,5,1,42,25,17,5,1:17
11-Sep-2023,Guangzhou CH,3,Hard,Q1,589,1495,0,5,WC,Qian Sun,Jie Cui,3-6 6-2 6-2,0.81,4.3%,2.9%,52.9%,56.8%,42.4%,1/8,45.1%,40.3%,5.6%,31.8%,53.6%,4/5,142,3,2,70,37,33,4,1:55
4-Sep-2023,M25 Hong Kong,3,Hard,R16,601,812,0,8,,Kazuki Nishiwaki,Jie Cui,7-5 6-4,,,,,,,,,,,,,,,,,,,,,
4-Sep-2023,M25 Hong Kong,3,Hard,R32,601,683,1,8,,Jie Cui,Kasidit Samrej,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
28-Aug-2023,Zhangjiagang CH,3,Hard,R32,601,497,0,Q,LL,Yusuke Takahashi,Jie Cui,6-2 6-2,0.68,10.6%,4.3%,55.3%,57.7%,42.9%,5/9,41.6%,33.3%,3.7%,38.7%,26.1%,0/2,101,5,2,47,26,21,2,1:17
28-Aug-2023,Zhangjiagang CH,3,Hard,Q2,601,621,1,9,6,Jie Cui,Shuichi Sekiguchi,6-1 6-2,2.44,20.9%,9.3%,48.8%,95.2%,63.6%,0/0,65.1%,51.2%,0.0%,26.9%,88.2%,4/7,86,9,4,43,21,22,0,0:59
