Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
29-Aug-2022,M15 Haren,3,Clay,R16,1824,518,0,LL,4,Ignacio Monzon,Jing Long Weng,6-0 7-5,,,,,,,,,,,,,,,,,,,,,
29-Aug-2022,M15 Haren,3,Clay,R32,1824,,1,LL,WC,Jing Long Weng,Abel Forger,6-2 1-6 6-4,,,,,,,,,,,,,,,,,,,,,
22-Aug-2022,M25 Oldenzaal,3,Clay,R32,1800,1323,0,WC,,Elgin Khoeblal,Jing Long Weng,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
18-Jul-2022,M25 EschAlzette,3,Clay,R32,1876,785,0,LL,,Alex Knaff,Jing Long Weng,6-4 7-6(5),,,,,,,,,,,,,,,,,,,,,
13-Dec-2021,M15 Monastir,3,Hard,R16,2044,792,0,Q,7,Samuel Vincent Ruggeri,Jing Long Weng,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
13-Dec-2021,M15 Monastir,3,Hard,R32,2044,,1,Q,WC,Jing Long Weng,Cesar Bourgois,5-7 6-3 7-6(2),,,,,,,,,,,,,,,,,,,,,
29-Nov-2021,M15 Heraklion,3,Hard,R32,2035,1250,0,LL,,Alexandros Skorilas,Jing Long Weng,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
25-Oct-2021,M25 Sarreguemines,3,Carpet,R32,1916,413,0,LL,2,Jelle Sels,Jing Long Weng,6-3 7-6(4),,,,,,,,,,,,,,,,,,,,,
8-Mar-2021,M15 Sharm El Sheikh,3,Hard,R32,1740,1068,0,WC,Q,Lukas Krainer,Jing Long Weng,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
25-Nov-2019,M15 Monastir,3,Hard,R32,1585,1060,0,WC,,Tom Pisane,Jing Long Weng,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
1-Jul-2019,M15 Den Haag,3,Clay,R16,,,0,,,Michiel De Krom,Jing Long Weng,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
1-Jul-2019,M15 Den Haag,3,Clay,R32,,,1,,LL,Jing Long Weng,Alec Deckers,6-0 0-6 6-3,,,,,,,,,,,,,,,,,,,,,
