Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
19-May-2014,Portugal F5,3,Hard,R16,1933,475,0,Q,3,David Vega Hernandez,Joao Barra,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
19-May-2014,Portugal F5,3,Hard,R32,1933,UNR,1,Q,Q,Joao Barra,Henrique Wojciechowski Osorio,6-2 6-2,,,,,,,,,,,,,,,,,,,,,
18-Nov-2013,Croatia F16,3,Clay,R32,1917,1069,0,Q,,Alessandro Colella,Joao Barra,7-6(4) RET,,,,,,,,,,,,,,,,,,,,,
14-Oct-2013,Portugal F10,3,Hard,R32,UNR,827,0,Q,,Leonardo Tavares,Joao Barra,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
7-Oct-2013,Portugal F9,3,Clay,R16,UNR,761,0,Q,,Frederico Ferreira Silva,Joao Barra,6-0 6-0,,,,,,,,,,,,,,,,,,,,,
7-Oct-2013,Portugal F9,3,Clay,R32,UNR,UNR,1,Q,Q,Joao Barra,Danyal Sualehe,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
6-May-2013,Portugal F5,3,Hard,R32,UNR,1187,0,Q,,Frederico Ferreira Silva,Joao Barra,6-2 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
29-Apr-2013,Estoril Q,3,Clay,Q1,UNR,74,0,WC,1,Robin Haase,Joao Barra,6-0 6-2,0.42,0.0%,8.3%,50.0%,37.5%,33.3%,4/10,32.1%,27.3%,0.0%,21.7%,40.0%,1/1,81,0,4,48,24,24,0,0:56
22-Oct-2012,Algeria F3,3,Clay,R32,UNR,1665,0,Q,Q,Goncalo Loureiro,Joao Barra,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
30-Apr-2012,Estoril Q,3,Clay,Q1,UNR,174,0,WC,2,Javier Marti,Joao Barra,6-1 6-0,0.26,0.0%,7.7%,61.5%,33.3%,33.3%,1/7,26.5%,17.2%,3.4%,15.4%,18.8%,0/0,68,0,3,39,24,15,1,0:47
