Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
7-May-2018,Aix En Provence Challenger,3,Clay,Q1,UNR,388,0,WC,5,Antoine Escoffier,Jonathan Hilaire,6-4 6-1,0.69,0.0%,1.4%,62.0%,45.5%,48.1%,8/14,42.7%,37.0%,4.3%,26.1%,47.8%,2/4,117,0,1,71,44,27,2,1:22
8-May-2017,Aix En Provence CH,3,Clay,Q2,,297,0,WC,4,Maxime Hamou,Jonathan Hilaire,6-2 7-5,0.79,1.7%,1.7%,50.0%,62.1%,27.6%,5/11,44.3%,43.8%,2.7%,31.9%,65.4%,3/13,131,1,1,58,29,29,2,1:15
8-May-2017,Aix En Provence CH,3,Clay,Q1,,525,1,WC,,Jonathan Hilaire,Adelchi Virgili,3-6 6-3 6-0,1.27,1.2%,6.0%,60.2%,66.0%,51.5%,7/10,55.3%,50.6%,2.3%,29.5%,72.1%,6/13,170,1,5,83,50,33,2,1:31
8-Sep-2015,St Remy CH,3,Hard,R16,1768,186,0,WC,,David Guez,Jonathan Hilaire,7-5 6-3,0.85,2.9%,2.9%,45.7%,62.5%,36.8%,7/13,46.1%,43.7%,1.4%,35.4%,60.9%,4/7,141,2,2,70,32,38,1,
8-Sep-2015,St Remy CH,3,Hard,R32,1768,600,1,WC,WC,Jonathan Hilaire,Martin Vaisse,4-6 7-6(6) 7-6(3),0.85,3.0%,3.7%,50.7%,67.6%,51.5%,5/9,48.2%,34.2%,2.7%,22.2%,50.0%,3/8,245,4,5,134,68,66,3,
22-Jun-2015,France F11,3,Clay,R16,,283,0,Q,3,Alexis Musialek,Jonathan Hilaire,3-6 6-2 6-1,,,,,,,,,,,,,,,,,,,,,
22-Jun-2015,France F11,3,Clay,R32,,,1,Q,Q,Jonathan Hilaire,Arthur Rinderknech,5-7 7-6(4) 7-6(4),,,,,,,,,,,,,,,,,,,,,
17-Feb-2014,Marseille Q,3,Hard,Q1,,200,0,WC,,Thomas Schoorel,Jonathan Hilaire,3-6 6-2 6-3,0.60,6.0%,6.0%,48.2%,72.5%,48.8%,4/7,44.0%,23.9%,17.9%,19.6%,33.3%,1/2,150,5,5,83,40,43,12,1:40
5-Sep-2011,St. Remy CH,3,Hard,R32,959,178,0,WC,,Uladzimir Ignatik,Jonathan Hilaire,6-7(2) 6-4 6-1,0.79,2.2%,11.8%,46.2%,65.1%,46.0%,1/7,45.4%,35.6%,14.4%,21.7%,63.3%,3/9,183,2,11,93,43,50,13,1:54
14-Feb-2011,Marseille Q,3,Hard,Q2,941,365,0,WC,,Andrey Kumantsov,Jonathan Hilaire,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
14-Feb-2011,Marseille Q,3,Hard,Q1,941,,1,WC,WC,Jonathan Hilaire,Mathias Bourgue,6-1 7-6(2),,,,,,,,,,,,,,,,,,,,,
