Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
21-Nov-1994,Guadalajara CH,3,Clay,R16,,100,0,WC,5,Karim Alami,Jorge Lozano,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
21-Nov-1994,Guadalajara CH,3,Clay,R32,,156,1,WC,,Jorge Lozano,Emilio Benfele Alvarez,7-6 3-6 6-1,,,,,,,,,,,,,,,,,,,,,
5-Apr-1993,San Luis Potosi CH,3,Clay,R32,758,85,0,WC,3,Gilbert Schaller,Jorge Lozano,6-2 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
29-Mar-1993,Acapulco CH,3,Clay,R32,763,113,0,WC,5,Slava Dosedel,Jorge Lozano,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
22-Feb-1993,Mexico City,3,Clay,R32,,300,0,Q,WC,Agustin Moreno,Jorge Lozano,6-4 6-3,0.72,1.8%,8.8%,35.1%,70.0%,37.8%,2/7,42.7%,36.7%,3.3%,31.3%,42.9%,2/11,117,1,5,57,20,37,2,1:17
30-Jul-1990,Los Angeles,3,Hard,R32,238,83,0,Q,,Brad Pearce,Jorge Lozano,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
30-Apr-1990,Munich,3,Clay,R32,246,45,0,Q,,Kevin Curren,Jorge Lozano,6-3 4-6 6-4,,,,,,,,,,,,,,,,,,,,,
16-Apr-1990,Mexico City CH,3,Clay,SF,312,437,0,,WC,Luis Herrera,Jorge Lozano,3-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
16-Apr-1990,Mexico City CH,3,Clay,QF,312,150,1,,6,Jorge Lozano,Bryan Shelton,7-6 7-5,,,,,,,,,,,,,,,,,,,,,
16-Apr-1990,Mexico City CH,3,Clay,R16,312,143,1,,4,Jorge Lozano,Mario Tabares,6-3 6-2,,,,,,,,,,,,,,,,,,,,,
16-Apr-1990,Mexico City CH,3,Clay,R32,312,465,1,,Q,Jorge Lozano,Maurice Ruah,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
9-Apr-1990,San Luis Potosi CH,3,Clay,R32,314,255,0,,,Alejandro Aramburu,Jorge Lozano,7-6 7-5,,,,,,,,,,,,,,,,,,,,,
16-Mar-1990,Miami Masters,3,Hard,R128,242,73,0,,,Eric Jelen,Jorge Lozano,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
12-Feb-1990,Toronto Indoor,3,Carpet,R16,348,12,0,Q,6,Tim Mayotte,Jorge Lozano,6-2 4-6 6-2,,,,,,,,,,,,,,,,,,,,,
12-Feb-1990,Toronto Indoor,3,Carpet,R32,348,117,1,Q,,Jorge Lozano,Marian Vajda,7-5 4-6 7-5,,,,,,,,,,,,,,,,,,,,,
12-Feb-1990,Toronto Indoor,3,Carpet,R64,348,96,1,Q,,Jorge Lozano,Robert Seguso,7-6 1-0 RET,,,,,,,,,,,,,,,,,,,,,
20-Nov-1989,Itaparica,3,Hard,R32,359,80,0,Q,,Paul Haarhuis,Jorge Lozano,6-4 6-4,,,,,,,,,,,,,,,,,,,,,
31-Jul-1989,Kitzbuhel,3,Clay,R64,159,162,0,,,Gustavo Giussani,Jorge Lozano,7-5 3-6 7-6,,,,,,,,,,,,,,,,,,,,,
21-Jul-1989,Davis Cup WG PO: MEX vs URS,3,Clay,RR,,,1,,,Jorge Lozano,Andrei Cherkasov,7-6(5) 4-6 7-6(3) 6-4,,,,,,,,,,,,,,,,,,,,,
21-Jul-1989,Davis Cup WG PO: MEX vs URS,3,Clay,RR,,,1,,,Jorge Lozano,Andrei Chesnokov,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
26-Jun-1989,Wimbledon,5,Grass,R128,144,107,0,,Q,Martin Laurendeau,Jorge Lozano,6-2 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
29-May-1989,Roland Garros,5,Clay,R128,128,92,0,,,Pete Sampras,Jorge Lozano,6-3 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
10-Apr-1989,Rio De Janeiro,3,Carpet,R32,113,242,0,,,Patrick Baur,Jorge Lozano,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
20-Feb-1989,Philadelphia,3,Carpet,R64,71,206,0,,WC,Ken Flach,Jorge Lozano,4-6 6-3 7-6,,,,,,,,,,,,,,,,,,,,,
6-Feb-1989,Rotterdam,3,Carpet,R32,67,26,0,,6,Darren Cahill,Jorge Lozano,6-2 6-7 6-3,,,,,,,,,,,,,,,,,,,,,
8-Nov-1988,Wembley,3,Carpet,R32,61,15,0,,4,Jakob Hlasek,Jorge Lozano,6-0 6-1,,,,,,,,,,,,,,,,,,,,,
31-Oct-1988,Stockholm,3,Hard,R64,58,102,0,,,Jan Gunnarsson,Jorge Lozano,5-7 7-5 6-3,,,,,,,,,,,,,,,,,,,,,
19-Sep-1988,Los Angeles,3,Hard,R16,51,4,0,,1,Andre Agassi,Jorge Lozano,6-4 5-7 6-2,,,,,,,,,,,,,,,,,,,,,
19-Sep-1988,Los Angeles,3,Hard,R32,51,111,1,,,Jorge Lozano,Michael Robertson,7-6 6-4,,,,,,,,,,,,,,,,,,,,,
29-Aug-1988,US Open,5,Hard,R16,68,6,0,,6,Jimmy Connors,Jorge Lozano,6-1 6-2 6-0,,,,,,,,,,,,,,,,,,,,,
29-Aug-1988,US Open,5,Hard,R32,68,14,1,,12,Jorge Lozano,Guillermo Perez Roldan,6-4 6-4 5-7 7-6,,,,,,,,,,,,,,,,,,,,,
29-Aug-1988,US Open,5,Hard,R64,68,54,1,,,Jorge Lozano,Robert Seguso,7-5 6-0 2-6 6-7 6-4,,,,,,,,,,,,,,,,,,,,,
29-Aug-1988,US Open,5,Hard,R128,68,64,1,,,Jorge Lozano,Jim Grabb,6-2 7-5 3-6 7-5,,,,,,,,,,,,,,,,,,,,,
15-Aug-1988,Cincinnati,3,Hard,R64,71,34,0,,,David Pate,Jorge Lozano,4-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
8-Aug-1988,Montreal / Toronto,3,Hard,R64,66,147,0,,,Glenn Michibata,Jorge Lozano,7-5 6-3,,,,,,,,,,,,,,,,,,,,,
1-Aug-1988,Indianapolis,3,Hard,R32,68,181,0,16,,Rick Leach,Jorge Lozano,4-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
1-Aug-1988,Indianapolis,3,Hard,R64,68,159,1,16,,Jorge Lozano,Scott Davis,7-6 6-3,,,,,,,,,,,,,,,,,,,,,
18-Jul-1988,Washington,3,Hard,R16,68,8,0,15,1,Jimmy Connors,Jorge Lozano,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
18-Jul-1988,Washington,3,Hard,R32,68,138,1,15,,Jorge Lozano,Grant Connell,4-6 6-1 7-6,,,,,,,,,,,,,,,,,,,,,
18-Jul-1988,Washington,3,Hard,R64,68,173,1,15,,Jorge Lozano,Scott Davis,4-6 6-4 6-3,,,,,,,,,,,,,,,,,,,,,
23-May-1988,Roland Garros,5,Clay,R64,86,256,0,,Q,Andres Vysand,Jorge Lozano,6-0 6-3 6-3,,,,,,,,,,,,,,,,,,,,,
23-May-1988,Roland Garros,5,Clay,R128,86,121,1,,,Jorge Lozano,Broderick Dyke,6-4 6-3 7-5,,,,,,,,,,,,,,,,,,,,,
2-May-1988,Forest Hills,3,Clay,R64,76,128,0,,,Jimmy Brown,Jorge Lozano,6-1 7-6,,,,,,,,,,,,,,,,,,,,,
25-Apr-1988,Charleston,3,Clay,R32,75,173,0,,WC,Jim Courier,Jorge Lozano,3-6 6-3 6-1,,,,,,,,,,,,,,,,,,,,,
8-Apr-1988,Davis Cup WG PO: SUI vs MEX,3,Carpet,RR,,,0,,,Claudio Mezzadri,Jorge Lozano,6-0 11-9 6-2,,,,,,,,,,,,,,,,,,,,,
8-Apr-1988,Davis Cup WG PO: SUI vs MEX,3,Carpet,RR,,,1,,,Jorge Lozano,Roland Stadler,4-6 3-6 6-4 6-4 6-2,,,,,,,,,,,,,,,,,,,,,
14-Mar-1988,Key Biscayne,3,Hard,R128,73,79,0,,,Francesco Cancellotti,Jorge Lozano,6-1 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
29-Feb-1988,Indian Wells,3,Hard,R32,74,20,0,,9,David Pate,Jorge Lozano,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
29-Feb-1988,Indian Wells,3,Hard,R64,74,81,1,,,Jorge Lozano,Gary Muller,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
22-Feb-1988,Philadelphia,3,Carpet,SF,152,57,0,,16,John Fitzgerald,Jorge Lozano,6-1 6-4,,,,,,,,,,,,,,,,,,,,,
22-Feb-1988,Philadelphia,3,Carpet,QF,152,53,1,,14,Jorge Lozano,Dan Goldie,4-6 6-1 6-4,,,,,,,,,,,,,,,,,,,,,
22-Feb-1988,Philadelphia,3,Carpet,R16,152,44,1,,12,Jorge Lozano,Jim Pugh,6-3 6-7 6-4,,,,,,,,,,,,,,,,,,,,,
22-Feb-1988,Philadelphia,3,Carpet,R32,152,24,1,,5,Jorge Lozano,Amos Mansdorf,7-6 7-6,,,,,,,,,,,,,,,,,,,,,
22-Feb-1988,Philadelphia,3,Carpet,R64,152,64,1,,,Jorge Lozano,Wally Masur,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
15-Feb-1988,Memphis,3,Hard,R32,152,39,0,,9,Mikael Pernfors,Jorge Lozano,4-6 6-1 6-2,,,,,,,,,,,,,,,,,,,,,
15-Feb-1988,Memphis,3,Hard,R64,152,111,1,,Q,Jorge Lozano,Grant Connell,6-4 2-6 7-6,,,,,,,,,,,,,,,,,,,,,
23-Nov-1987,Itaparica,3,Hard,R32,100,17,0,,4,Emilio Sanchez,Jorge Lozano,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
5-Oct-1987,Scottsdale,3,Hard,QF,129,483,0,,WC,Michael Chang,Jorge Lozano,6-4 6-1,,,,,,,,,,,,,,,,,,,,,
5-Oct-1987,Scottsdale,3,Hard,R16,129,15,1,,2,Jorge Lozano,Tim Mayotte,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
5-Oct-1987,Scottsdale,3,Hard,R32,129,102,1,,WC,Jorge Lozano,Ken Flach,7-6 4-6 6-1,,,,,,,,,,,,,,,,,,,,,
1-Sep-1987,US Open,5,Hard,R128,132,55,0,,,Thomas Muster,Jorge Lozano,7-6 6-2 6-4,,,,,,,,,,,,,,,,,,,,,
24-Aug-1987,Rye Brook,3,Hard,R16,130,116,0,,,Marty Davis,Jorge Lozano,6-2 6-4,,,,,,,,,,,,,,,,,,,,,
24-Aug-1987,Rye Brook,3,Hard,R32,130,68,1,,7,Jorge Lozano,Matt Anger,4-6 7-6 7-6,,,,,,,,,,,,,,,,,,,,,
17-Aug-1987,Cincinnati,3,Hard,R64,129,21,0,WC,11,Mikael Pernfors,Jorge Lozano,6-0 6-2,,,,,,,,,,,,,,,,,,,,,
24-Jul-1987,Davis Cup WG QF: AUS vs MEX,3,Grass,RR,,,0,,,Wally Masur,Jorge Lozano,6-3 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
24-Jul-1987,Davis Cup WG QF: AUS vs MEX,3,Grass,RR,,,0,,,Pat Cash,Jorge Lozano,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
6-Jul-1987,Boston,3,Clay,R64,121,180,0,,,Fernando Luna,Jorge Lozano,6-4 7-6,,,,,,,,,,,,,,,,,,,,,
15-Jun-1987,Bristol,3,Grass,R64,133,341,0,,,Ricardo Acioly,Jorge Lozano,6-3 7-6,,,,,,,,,,,,,,,,,,,,,
