Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
26-Aug-2024,M15 Cap d'Agde,3,Clay,SF,1642,594,0,,1,Lucas Bouquet,Joris Moret,2-6 6-4 6-4,,,,,,,,,,,,,,,,,,,,,
26-Aug-2024,M15 Cap d'Agde,3,Clay,QF,1642,759,1,,6,Joris Moret,Louis Tessa,0-6 6-4 6-1,,,,,,,,,,,,,,,,,,,,,
26-Aug-2024,M15 Cap d'Agde,3,Clay,R16,1642,1107,1,,,Joris Moret,Rayane Oumaouche,6-4 7-6(2),,,,,,,,,,,,,,,,,,,,,
26-Aug-2024,M15 Cap d'Agde,3,Clay,R32,1642,1505,1,,Q,Joris Moret,Pierre Antoine Tailleu,6-2 7-6(1),,,,,,,,,,,,,,,,,,,,,
4-Dec-2023,M15 Madrid,3,Clay,R32,1558,491,0,Q,6,Andrey Chepelev,Joris Moret,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M15 Valencia,3,Clay,R16,1924,634,0,LL,Q,Georgii Kravchenko,Joris Moret,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
13-Nov-2023,M15 Valencia,3,Clay,R32,1924,,1,LL,Q,Joris Moret,Milan Markovits,6-3 3-6 6-2,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M15 Castellon,3,Clay,R16,,660,0,Q,,Georgii Kravchenko,Joris Moret,7-6(3) 4-6 6-3,,,,,,,,,,,,,,,,,,,,,
16-Oct-2023,M15 Castellon,3,Clay,R32,,1177,1,Q,,Joris Moret,Reda Bennani,6-4 6-7(5) 6-2,,,,,,,,,,,,,,,,,,,,,
9-Oct-2023,M15 Vigo,3,Clay,R32,,1333,0,Q,,Alejandro Melero Kretzer,Joris Moret,6-2 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
12-Jun-2023,M25 Grasse,3,Clay,R32,,352,0,Q,5,Mathys Erhard,Joris Moret,6-1 7-6(1),,,,,,,,,,,,,,,,,,,,,
21-Nov-2022,M15 Monastir,3,Hard,R32,,846,0,Q,7,Stefano Battaglino,Joris Moret,7-5 6-2,,,,,,,,,,,,,,,,,,,,,
11-Jul-2022,M15 Casablanca,3,Clay,R32,1982,704,0,Q,,Simon Beaupain,Joris Moret,6-4 6-2,,,,,,,,,,,,,,,,,,,,,
20-Jun-2022,M15 Alkmaar,3,Clay,R32,1990,559,0,Q,3,Daniele Capecchi,Joris Moret,7-6(6) 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
14-Feb-2022,M15 Monastir,3,Hard,R32,1997,595,0,Q,5,Guy Den Ouden,Joris Moret,6-0 6-3,,,,,,,,,,,,,,,,,,,,,
10-Jan-2022,M15+H Bagnoles de l'Orne,3,Clay,R32,1882,942,0,Q,,Ronan Joncour,Joris Moret,7-6(4) 6-1,,,,,,,,,,,,,,,,,,,,,
1-Nov-2021,M15 Torello,3,Hard,R32,1735,479,0,Q,1,Benjamin Lock,Joris Moret,6-3 6-3,,,,,,,,,,,,,,,,,,,,,
20-Sep-2021,M15 Ulcinj,3,Clay,R16,,1104,0,Q,,Samuel Vincent Ruggeri,Joris Moret,3-6 6-1 6-0,,,,,,,,,,,,,,,,,,,,,
20-Sep-2021,M15 Ulcinj,3,Clay,R32,,,1,Q,WC,Joris Moret,Milo Gazivoda,6-2 6-1,,,,,,,,,,,,,,,,,,,,,
