Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
28-Aug-2023,US Open,5,Hard,R64,74,9,0,,9,Taylor Fritz,Juan Pablo Varillas,6-1 6-2 6-2,0.67,1.7%,3.4%,57.6%,61.8%,40.0%,1/7,40.6%,31.6%,12.7%,17.8%,50.0%,0/3,138,1,2,59,34,25,10,1:41
28-Aug-2023,US Open,5,Hard,R128,74,46,1,,,Juan Pablo Varillas,Miomir Kecmanovic,1-6 7-5 7-5 6-4,0.97,10.6%,2.8%,57.4%,65.4%,51.7%,7/13,49.8%,39.1%,3.1%,35.8%,42.6%,6/18,269,15,4,141,81,60,4,3:13
21-Aug-2023,Winston-Salem,3,Hard,R64,74,133,0,,WC,Alex Michelsen,Juan Pablo Varillas,6-3 6-7(3) 6-0,0.62,7.4%,1.1%,55.3%,59.6%,50.0%,7/12,42.8%,27.8%,8.9%,16.7%,45.2%,1/2,173,7,1,94,52,42,7,2:18
31-Jul-2023,Kitzbuhel,3,Clay,R32,77,82,0,,,Albert Ramos,Juan Pablo Varillas,6-1 7-5,0.72,5.2%,1.3%,50.6%,66.7%,39.5%,8/12,43.9%,33.8%,11.3%,26.7%,46.2%,0/8,148,4,1,77,39,38,8,1:55
17-Jul-2023,Gstaad,3,Clay,QF,66,79,0,,,Albert Ramos,Juan Pablo Varillas,6-7(2) 6-1 6-4,0.86,2.1%,0.0%,52.6%,64.0%,51.1%,7/12,46.7%,36.3%,2.0%,33.3%,41.7%,2/5,197,2,0,95,50,45,2,2:40
17-Jul-2023,Gstaad,3,Clay,R16,66,136,1,,Q,Juan Pablo Varillas,Facundo Bagnis,6-2 6-1,2.44,2.5%,7.5%,52.5%,85.7%,68.4%,2/2,63.7%,54.8%,8.1%,57.1%,50.0%,5/11,102,1,3,40,21,19,5,1:11
17-Jul-2023,Gstaad,3,Clay,R32,66,132,1,,LL,Juan Pablo Varillas,Otto Virtanen,6-2 6-3,2.00,2.3%,0.0%,55.8%,87.5%,63.2%,0/0,59.4%,46.6%,6.9%,27.6%,65.5%,4/9,101,1,0,43,24,19,4,1:09
10-Jul-2023,Salzburg CH,3,Clay,R16,63,169,0,2,,Elias Ymer,Juan Pablo Varillas,7-6(3) 6-2,0.73,2.9%,1.4%,53.6%,67.6%,40.6%,4/7,43.7%,32.9%,2.7%,27.7%,42.3%,1/4,142,2,1,69,37,32,2,1:49
10-Jul-2023,Salzburg CH,3,Clay,R32,63,207,1,2,WC,Juan Pablo Varillas,Federico Delbonis,6-4 6-1,1.52,2.0%,6.0%,58.0%,82.8%,42.9%,3/4,58.3%,51.7%,6.9%,38.9%,72.7%,5/8,108,1,3,50,29,21,4,1:21
3-Jul-2023,Wimbledon,5,Grass,R128,63,16,0,,14,Lorenzo Musetti,Juan Pablo Varillas,6-3 6-1 7-5,0.67,4.8%,3.6%,61.9%,61.5%,46.9%,6/12,42.4%,29.5%,5.7%,20.3%,48.3%,1/4,172,4,3,84,52,32,5,2:02
