Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA,Time
17-Oct-2022,M15 Cochabamba,3,Clay,R16,1863,1110,0,Q,8,Elio Jose Ribeiro Lago,Julian Cundom,6-4 3-6 6-3,,,,,,,,,,,,,,,,,,,,,
17-Oct-2022,M15 Cochabamba,3,Clay,R32,1863,1291,1,Q,,Julian Cundom,Paulo Andre Saraiva Dos Santos,7-6(4) 6-3,,,,,,,,,,,,,,,,,,,,,
13-Jun-2022,Corrientes CH,3,Clay,Q2,,510,0,Alt,1,Naoki Nakagawa,Julian Cundom,6-2 7-5,0.66,0.0%,6.1%,68.2%,60.0%,23.8%,2/7,41.6%,33.9%,5.1%,24.2%,46.2%,2/4,125,0,4,66,45,21,3,1:32
13-Jun-2022,Corrientes CH,3,Clay,Q1,,1809,1,Alt,11,Julian Cundom,Benjamin Denis Alarcon,6-3 6-3,1.25,0.0%,0.0%,82.1%,50.9%,58.3%,7/11,55.8%,59.7%,0.0%,58.1%,63.2%,7/13,129,0,0,67,55,12,0,1:46
18-Apr-2022,M15 Antalya,3,Clay,R32,,718,0,WC,SE,Mathys Erhard,Julian Cundom,6-3 6-0,,,,,,,,,,,,,,,,,,,,,
13-Dec-2021,M15 Lambare,3,Clay,R32,,867,0,Q,3,Juan Bautista Otegui,Julian Cundom,6-4 6-3,,,,,,,,,,,,,,,,,,,,,
11-Oct-2021,M15 Cancun,3,Hard,R32,1923,1429,0,WC,Q,Mateo Gomez,Julian Cundom,6-1 6-3,,,,,,,,,,,,,,,,,,,,,
20-Sep-2021,M15 Cancun,3,Hard,R32,1825,1482,0,Q,,Perry Gregg,Julian Cundom,6-1 6-2,,,,,,,,,,,,,,,,,,,,,
14-Oct-2019,M15 Tabarka,3,Clay,R32,,766,0,,,Daniele Capecchi,Julian Cundom,6-2 6-3,,,,,,,,,,,,,,,,,,,,,
7-Oct-2019,M15 Tabarka,3,Clay,R16,,832,0,Q,,Nicolas Moreno De Alboran,Julian Cundom,6-3 6-4,,,,,,,,,,,,,,,,,,,,,
7-Oct-2019,M15 Tabarka,3,Clay,R32,,1380,1,Q,,Julian Cundom,Jose Joaquin Miranda Cisneros,7-5 2-1 RET,,,,,,,,,,,,,,,,,,,,,
